tweet,dates
"On this #MilitarySpouseAppreciationDay, I extend a special thank you to all military spouses who stand alongside our servicemen &amp; women. Thank you for the sacrifices you make in service to our country. https://t.co/f2dlM8SF9Z",2020-05-08 19:20:39
"#PublicServiceRecognitionWeek reminds us to give much-deserved recognition &amp; thanks to the public servants who work day in &amp; day out - especially during this pandemic - to serve their fellow Americans. 
 
Health care workers, volunteers, grocery store clerks &amp; more - THANK YOU! https://t.co/sidKPjWKik",2020-05-07 22:28:21
"#PPP is DELIVERING for Georgians. Thanks to round 1 + round 2, Georgia has received so far... 
 
$14,127,489,521 → Approved Dollars
 
113,116 → Approved Loans
 
Thank you @realDonaldTrump! https://t.co/pG60Ox5Kl4",2020-05-05 14:37:44
"Absolutely abhorrent. 

Hundreds of thousands of deaths are on China’s hands because of its incomprehensible, selfish deception.

China must be held accountable.

https://t.co/N0ZiTs5S0I",2020-05-04 22:08:13
"More than ever before, this year’s #MentalHealthAwarenessMonth reminds us how important it is to pay close attention to your mental health. During these challenging times, remember to take care of yourself and reach out to those around you. We are in this together. https://t.co/ElWK6e2Mik",2020-05-04 16:45:26
"This month and every month, let us remember: Freedom isn’t free.
 
Thank you to our military men &amp; women - and their families - for their unyielding sacrifice to keep our country safe. #NationalMilitaryAppreciationMonth https://t.co/6koYHs9sh7",2020-05-03 20:55:12
"With over 30 million Americans unemployed, we need to revitalize our economy.

That's why I've developed the USA RISE Plan to bring back our thriving economy based on Georgians' feedback combined with my nearly three-decade career in business.
 
More: https://t.co/VaZdqDpozF",2020-05-03 17:11:24
#AmericaStrong https://t.co/IioCQelkaK,2020-05-02 18:40:30
"Georgia is a longstanding hub and supporter of our military, which is why I urged @SecAFOfficial to select Savannah as the home of a new fleet of military transport aircrafts, C-130Js. This move is a commonsense win-win for our state and the @usairforce. https://t.co/Jod5jTEgua",2020-05-01 17:21:34
Stopped by the Dinglewood Pharmacy while in Columbus yesterday to grab one of their famous scramble dogs for lunch. I also got a mask upgrade thanks to Columbus’ own Larkin Lane Designs. Thank you both for the warm welcome! https://t.co/n11VhfCM7M,2020-04-30 22:55:05
Grateful to be in Moultrie touring the Colquitt Regional Medical Center &amp; talking with local farmers about how they’re coping with the damage of recent storms. Incredible to see how this community has united in the face of insurmountable odds. We'll overcome this together. https://t.co/e1V67e3llu,2020-04-30 01:11:28
"Today, I visited @FortBenning with @SecArmy to see how the base is combating COVID-19 while continuing training operations, including the live fire exercise we observed.
 
Thanks for having me &amp; thank you to the men and women of Fort Benning for working to keep us safe. https://t.co/os9tZBTamB",2020-04-29 19:52:59
"On behalf of Georgia hospitals and long term care facilities, thank you @SeemaCMS for your time and leadership! https://t.co/4mUM8PTMLk",2020-04-29 19:12:38
Honored to host a conference call for GA hospitals &amp; nursing homes with @CMSGov @SeemaCMS. We discussed the concerns of health care &amp; long term care facilities in their battle against #COVID19 &amp; how the federal government is working to support them.,2020-04-29 00:12:06
"The time has come to begin rebuilding our economy.
 
To do so, we must enable the private sector to kickstart without federal red tape &amp; mitigate the risks of relying on other countries for critical resources by incentivizing American businesses to manufacture on American soil.",2020-04-28 16:52:18
"🚨GOOD NEWS🚨
 
#PaycheckProtectionProgram applications resume today after weeks of unnecessary delays by Democrats. 
 
Own a #smallbiz in need of financial assistance due to #COVID19? How to apply ⬇️ https://t.co/mPXX853jRX",2020-04-27 15:05:24
"As we battle COVID-19 &amp; prepare for potential health emergencies in the future, it's critical the U.S. maintains its military edge.
 
I joined @SenJoniErnst in emphasizing to @EsperDoD the importance of military readiness during public health emergencies. https://t.co/nSomRj8IAr",2020-04-26 17:46:56
"Congratulations to Andrea Hipwell of the great state of Georgia for being appointed by @POTUS to the U.S. Advisory Council on Human Trafficking.
 
I trust her expertise will be put to good use as this administration takes rightful and decisive action to eradicate this atrocity.",2020-04-24 22:15:18
"Southern hospitality is shining through these trying times. Thank you to Georgia's own @ChickfilA for supporting those in need throughout our local communities.

Amid a crisis, you can count on Georgians and Americans to come together to help one another. https://t.co/ijz5SNR5Wa",2020-04-24 00:41:11
"Outstanding work happening in Augusta to take care of their own during this historic pandemic - providing 25,000 meals weekly through partnerships between local authorities &amp; nonprofits. 
 
I know the Augusta community thanks you all! @WCKitchen @ghfbEndHunger @CityofAugusta https://t.co/y1OjMR6DFx",2020-04-23 21:17:13
"Georgians: severe storms are again sweeping through our state. Please stay safe! 

You can find more information at https://t.co/yeQSoa4aEs https://t.co/DLnENVVv9k",2020-04-23 19:27:06
"Proud to join this effort. Chinese laboratories that pose security concerns and lack proper oversight, like the Wuhan Institute of Virology, should not benefit from American taxpayer funding. 

That’s why we’re asking Senate &amp; House leadership to cut off this funding. https://t.co/Kji0v4kC8T",2020-04-23 15:48:39
"China must pay the price for its role in COVID-19, which has cost American lives, wrecked our economy, pushed our health care system to the brink, &amp; devastated families &amp; communities.
 
@realDonaldTrump must hold China accountable. I'm confident he will.

https://t.co/NdC0W0TbJJ",2020-04-22 17:39:19
"Thank you @iingwen &amp; the people of Taiwan for their generous donation of 100,000 masks for @GeorgiaEMA to distribute across the state.
 
In times of unparalleled adversity, help is coming from across the country and from across the globe.

https://t.co/tib95wZdiv",2020-04-22 14:31:46
"MAJOR news in our fight against the invisible enemy. With the FDA's approval of the first at-home diagnostic test for #COVIDー19, American ingenuity is once again helping us combat the spread of the virus, which is critical to reopening America.

https://t.co/gBIambDduH",2020-04-22 00:50:46
"Despite Democrats' sad - but not surprising - political games, #PPP is getting a much-needed replenishment &amp; the front lines are getting more money to keep saving lives and #slowthespread.
 
To Georgia's small businesses still awaiting aid: Help is FINALLY on the way. https://t.co/neh4cNalhZ",2020-04-21 22:13:10
"All facets of our society are affected by this war-like situation.
 
That’s why I’m working every day to ensure our front-line heroes — medical professionals, scientists, farmers, truck drivers, grocers and manufacturers — are well-equipped for this battle.https://t.co/2eIg7K1pM7",2020-04-21 20:09:53
"This morning, I spoke with the @romechamber about how we're looking ahead to rebuild our strong economy and safely reopen America.
 
Half of Americans are employed by #smallbiz. These small businesses will be a critical part of getting Americans back to work safely.",2020-04-21 18:34:32
"On Holocaust Remembrance Day, we honor the lives lost at the hands of the evil Nazi regime. Today we reaffirm America’s commitment to the Jewish people and our commitment to #NeverAgain. https://t.co/BJrAGm5QZ0",2020-04-21 17:21:45
"GA-based @UPS is donating $15M to help address food security, health care, education &amp; financial sustainability amid #COVID19. This money will also maintain nonprofits during &amp; after recovery.
 
Thanks @UPS for helping communities as we navigate through &amp; recover from COVID-19.",2020-04-21 16:16:54
"Thank you, @emoryuniversity, for your dedication and tireless work to develop a vaccine for #COVIDー19. https://t.co/r2ppEkbHlb",2020-04-21 12:46:12
"NEWS: @Kia is set to distribute donations of critically needed face shields to the surrounding West Point, GA area as well as to @GeorgiaEMA this week.
 
Thank you, @Kia for using your resources at the manufacturing plant in West Point to make this life-saving PPE! https://t.co/XtGNvOWn66",2020-04-20 22:39:41
"Many heroes of #COVIDー19 are those we may have taken for granted previously - truck drivers, store clerks, public transit operators. We owe a deep sense of gratitude to our everyday essential workers.
 
More on how GA essential workers are helping our state remain operational: https://t.co/0ggsALf62p",2020-04-20 17:56:17
"Across the country, #NationalVolunteerWeek strikes a different chord than years before.
 
We have never needed volunteerism more than we do today, and we thank our volunteers for their selfless service to their fellow Americans in this battle against #COVID19.",2020-04-20 15:55:53
#SavannahStrong https://t.co/ScO8XBnVBv,2020-04-19 19:39:23
"Today I visited Murray County, where - while social distancing - I toured the recent tornado damage &amp; brought donations to @BMS_Murray.
 
Though the region has suffered great devastation, I am impressed by the resiliency of this community determined to rebuild. God bless you all. https://t.co/i4GXAAzhv7",2020-04-18 23:09:39
"Couldn’t agree more, @ChuckRobbins! 

Thank you, @Cisco for your generous donation of this desperately needed PPE, N-95 masks. This welcomed contribution will make a tangible difference in Georgia’s fight against #COVID19 https://t.co/RB0S6wl7s1",2020-04-18 16:29:07
"Thank you @realdonaldtrump and @secretarysonny for listening to the needs of America’s farmers and ranchers, and delivering this much-needed relief during these uncertain times. The ag community has a great partner in the Trump administration. https://t.co/2SWFH5XLY9",2020-04-17 23:24:04
"Though I'm social distancing, we had 100 meals dropped off for front-line workers at Emory University Hospital today.

I virtually ""dropped them off"" via FaceTime with @EmoryUniversity's Matt Wain &amp; some hospital team members. Thank you for your life-saving &amp; selfless work! https://t.co/jnwuCfXjg2",2020-04-17 21:17:34
"Yesterday I heard from business leaders &amp; #smallbiz owners from Jackson, Clinch &amp; Echols counties. Their biggest concern was that #PPP funding has run out.

For the small business owners &amp; workers across GA &amp; the country, we must immediately add funding to this critical program.",2020-04-17 19:07:21
"Georgia’s need for tests is critical, and I am fighting every day and working with the state to bring more kits to Georgians who need it most.

I will not allow China to cost any more American lives than it already has.

China: America is not playing your games. https://t.co/SCk9d3JN7V",2020-04-17 18:02:24
"I challenge Democrats to explain to the 861,000+ Georgians who filed jobless claims in the last month WHY they won't replenish #PPP.
 
#PPP has run out. MILLIONS of people still need help. Why are @SenSchumer &amp; @SpeakerPelosi holding the program hostage? https://t.co/iC2mawmsL1",2020-04-17 14:53:54
"As I heard on my call with @GAFoodBankAssn &amp; other GA food banks, families are relying on local food banks more than ever because of #COVID19.
 
We discussed the need for deregulation so food banks across GA can meet increased demand. I'm working to make sure that happens.",2020-04-16 23:55:18
"My top priority is helping our incredible small businesses and employees stay afloat.

Now is not the time to hold vital funds hostage.
 
Unfortunately, once again, Democrats have put politics over people by blocking additional dollars to the #PaycheckProtectionProgram. https://t.co/N4ZhiZeLdz",2020-04-16 22:36:25
"Thank you, @realDonaldTrump for appointing me to your task force on re-opening America safely in the wake of #COVID19.

With 22 million Americans filing for unemployment, it’s clear we must start working to revive our economy and get the American people back to work safely.",2020-04-16 17:22:29
"The #PaycheckProtectionProgram has run dry. Why?
 
Because @SenSchumer &amp; @SpeakerPelosi blocked $251 billion in relief funding to push their own political agenda.
 
Democrats continue to play politics while small businesses are closing and 22 million Americans are now jobless. https://t.co/KWF1JoAWIC",2020-04-16 15:35:20
".@IRSnews has released a new app to easily track your #CARESAct Economic Impact Payment status, type, needed information and more.
 
If you filed a tax return in 2018 or 2019, you can check on the status of your payment now. Help is on the way! https://t.co/hWldvElwSm",2020-04-16 14:13:04
"I joined @MarthaZoller today to discuss the Paycheck Protection Program, Republicans’ efforts to prevent that funding from running dry and how I’m working to help Georgia businesses and their employees during these unprecedented times.

Listen: https://t.co/Xllhmq2jJF",2020-04-16 00:03:47
