tweet,dates
"THIS JUST IN: Under recently passed legislation, illegal immigrants are currently eligible for COVID-19 benefits.

Now more than ever, we need to prioritize Americans and make sure recovery rebates are only available to people who are in the U.S. legally.
https://t.co/RBJ0OGAAUc",2020-05-08 15:31:36
"Justice has been served. 🇺🇸 

Now it’s time for Congress to figure out who’s responsible and get to the bottom of this scandal immediately. https://t.co/a1LjKnBf5v",2020-05-07 19:19:17
"We need prayer and the blessing of God to get through this mess.

On this #NationalDayOfPrayer, please join me in praying for the health and safety of our nation. https://t.co/j8bVVSFTGd",2020-05-07 16:11:00
Taiwan is a true friend to the United States and Colorado. https://t.co/2Ugd9gdmwR,2020-05-06 21:44:30
"This year, we are especially grateful as we kick off #NationalNursesWeek. I'll be saying an extra prayer today for our nurses fighting on the frontlines of this virus.

#ThankYouNurses! https://t.co/R3tUzc47Yh",2020-05-06 15:44:34
"We need a Director of National Intelligence who will restore our country’s trust in the Intelligence Community and ensure the safety and security of all Americans. 

My friend, Congressman John Ratcliffe, is the person for the job. https://t.co/1pruRJ9Nfp",2020-05-05 17:04:26
I’m leading my colleagues in a letter to @realDonaldTrump requesting that small and rural counties be included in CARES Act funding so they can adequately address and defeat the invisible enemy. https://t.co/amxzWEFFVN,2020-05-04 23:05:04
"Douglas County has the highest Census self-response rate in the state. 

Let’s keep up the good work #CO04! https://t.co/3WcthOJSIX https://t.co/kUDh3bAc6W",2020-05-04 21:58:37
"At this rate, there will be no economy to revive once we finally reopen America. https://t.co/g0Djuhe7Hl",2020-05-02 21:51:27
"Meat and poultry suppliers are struggling to find customers while restaurants and schools are shut down.

They need access to the national commercial market so our nation can continue to have a safe, abundant and affordable food supply during the pandemic. https://t.co/tyga4m2K21",2020-05-01 19:27:32
"The WSJ report raised extremely serious questions about statements Amazon made to the Committee and require immediate answers from @JeffBezos. 
https://t.co/ijdSgFKDLY",2020-05-01 17:28:22
"It is time for those in charge to admit that they have taken things to the extreme.

There is no shame in admitting that we might have acted wrongly out of compassion, but it is unforgivable if we continue to punish Americans when we know better. https://t.co/g0DjuhvJ5V",2020-05-01 15:01:09
Our country’s trust in the @FBI is shaken today after reports that James @Comey and his FBI put settling political scores over seeking justice. https://t.co/Sv8haySqb8,2020-04-30 17:43:45
"It’s the FBI’s job to pursue the truth, not vendettas. It is now Congress’ job to investigate this indefensible behavior. https://t.co/UYogLqsEsY",2020-04-30 15:26:35
".@USDA: We need to do everything we can to make sure our nation has access to a safe, abundant, and affordable food supply during the pandemic. https://t.co/qmE0wa89pe",2020-04-29 15:56:53
"We should identify and protect the most vulnerable among us, but we must respect the rights of every citizen. 

Forcing people to hunker in their homes for a period of time abrogates the essence of America because it restricts our rights. 

@RepAndyBiggsAZ https://t.co/Zt0nT7sJQt",2020-04-27 21:55:56
"Some good news out of #CO04: Even amid this pandemic, Evelyn Berkey of Castle Rock was able to celebrate her 100th birthday with a caravan of neighbors wishing her well.

Happy Belated Birthday Evelyn! https://t.co/R8oYWU87yH",2020-04-27 17:09:59
"We cannot continue to push through rapid-fire spending packages that leave a massive debt burden on our children and grandchildren. 

https://t.co/6Rpc4BRq98",2020-04-23 22:23:15
"Once our nation recovers from the current medical crisis, how do we expect to recover from the debt crisis we’ll be left with? 

These massive spending bills are not only irresponsible, but unsustainable in the long run.

Thanks for having me @MandyConnell @KOAColorado. https://t.co/7drlOFnQZY",2020-04-23 19:58:30
"I support the effort to #ReOpenChurchSunday so that people have the ability to pray together. This can be done with parking lot services, or limited capacities inside the church with necessary sanitation and social distancing procedures. https://t.co/60mY9dwu8N",2020-04-23 18:35:10
"It’s not just about our economy, people are suffering as a result of these stay-at-home orders. In Colorado alone, crisis and suicide hotlines saw a 47% increase in March versus the prior year. 

It’s time to get our country back on her feet. https://t.co/NFdTQnYe8u",2020-04-22 19:58:35
