tweet,dates
"Happy Mother’s Day, Cathy! Our family is so lucky to have you, we love you! https://t.co/VWtLGq4qA1",2020-05-10 13:47:23
"PPP update:

In the second round of funding alone, nearly 2.5 million loans have been approved, and more than $185 billion is going to help businesses and workers. 

In total, over 4 MILLION small businesses have received support from the #PaycheckProtectionProgram",2020-05-08 14:28:02
"The U.S. has now performed over 7 million tests – more than any other country in the world! 

As @realDonaldTrump said, “Nobody has come close to us on testing, be proud of it!” https://t.co/O5J4FLVBiU",2020-05-07 16:11:52
"'BIG BUSINESS' CLAIM DEBUNKED

According to AP, 147 public companies have gotten #PPPLoans, totaling $555 m.  
 
THAT MEANS: only 1 in every 27,000 PPP loans went to public firms. 1 in 27,000. 

With a microscopic 1/10th of 1% of PPP $'s. 

 #PPPloans = Small Business.",2020-05-07 12:49:09
"SMALL BUSINESS LOANS HIT ANOTHER MILESTONE

Over 4 million small businesses have now gotten forgivable #PPPLoans to keep workers on the payroll &amp; help businesses survive. 

Loans now total over $1/2 trillion injected into local businesses &amp; local economies. 

#Jobs
#SmallBiz https://t.co/QIHLVUVtmx",2020-05-07 12:06:55
"Calling in to speak to my friend @SamMaloneShow on @AM1070TheAnswer. Listen in, 7:15 AM CT!",2020-05-07 11:55:08
"Don't forget to join me tonight for a special telephone town hall with expert panelists to take your questions!

Call in to have your #COVID-19 related questions answered by representatives from @TXWorkforce, @SBAgov, and policy experts from @WaysandMeansGOP. https://t.co/9GpxS0xAeU",2020-05-06 22:04:02
"Attention Montgomery County! 

The @USNavy Blue Angels will be flying over the Houston area today as part of their #AmericaStrong mission. They’re expected to fly over The Woodlands around 12:30 p.m. https://t.co/Xb5zfwDl3r",2020-05-06 14:42:24
"LET'S GET BACK TO WORK

Here's a plan by @GOPLeader @TomColeOK04 @RodneyDavis to re-open the U.S. House safely &amp; soon. 

While @SpeakerPelosi prefers delays &amp; working in secret, @HouseGOP ready to return to do the people's work. 
 
https://t.co/0zELL7AVLI",2020-05-06 13:55:16
Be sure to listen to @foxnewsradio at 8:30 AM CT to catch my conversation with @kilmeade on how we can get our economy back on track.,2020-05-06 13:22:13
"STATE/LOCAL GOV'T AID SOARS OVER $1.2 TRILLION 

As @USTreasury @federalreserve announce new $500 bil  lending (MLF) to support states/counties/cities short on cash, federal CV-19 aid to state &amp; local communities totals over $1.2 trillion.

More than #PPPLoans for small biz.",2020-05-06 01:55:08
"TEXAS RE-OPENING SAFELY

- TX 2nd largest pop. state, just 9th in COVID-19 cases
- growth of new cases SLOWING, despite record-testing
- hospitalizations DOWN 13% over weekend
- recoveries surpass active cases
- Top 3 state in recoveries

#Progress
#LivesAndLivelihoods
#GovAbbott https://t.co/OwUYAxRJ3z",2020-05-05 21:23:15
"On Wednesday, I’ll be hosting a special telephone town hall with expert panelists to take your questions!

Call in to have your #COVID-19 related questions answered by representatives from @TXWorkforce, @SBAgov, and policy experts from @WaysandMeansGOP. https://t.co/06JgB9ZWx7",2020-05-04 21:03:29
"I'll be joining @juliemason on @SXMPOTUS to discuss the latest updates on the #PaycheckProtectionProgram. Tune in, 3:30 PM CT!",2020-05-04 20:15:00
