tweet,dates
"Wonderful time at the @DakotaZoo today as they unveiled their new trains.

This is an ideal place for families to come get some time outside while learning about the importance of conservation and being good stewards of our environment. https://t.co/YTqftBEDOd",2020-05-09 19:56:02
"Making it easier for local producers to get their product to market strengthens our food supply chain.

Legislation like the PRIME Act is a positive step toward protecting our food supply and preventing pandemics like #COVID19 from further disrupting it. https://t.co/4v98CpGR4K",2020-05-08 21:30:00
"Thank you @SecretarySonny for listening to our concerns and taking a step in the right direction.

I look forward to reviewing the details. https://t.co/KGRJoFzsFM",2020-05-08 20:59:20
"On #VEDay75, we not only celebrate the surrender of Nazi Germany, but honor those who fought and sacrificed to defend American values and freedom. https://t.co/OX2tyM5TBI",2020-05-08 19:48:33
"As every sector of our economy struggles to survive #COVID19 and seeks financial stability from the federal government, environmental extremists are using the pandemic to accelerate their goal of putting America’s energy jobs in the grave. https://t.co/EyUU5O4Shm",2020-05-08 16:44:00
"Energy independence should mean something to us. 

When we make it to the other side of #COVID19, the United States needs to have a long-term discussion about whether we should be importing as much foreign oil as we do, especially in times of crisis. https://t.co/njLgsQzIhg",2020-05-07 21:00:00
"Talked to @JackieDeAngelis about relief for the oil and gas industry. 

Federal assistance should be kept industry neutral to allow these important companies to receive help. https://t.co/2wMUN8EnkE",2020-05-07 20:34:34
"North Dakota leans on reliable energy sources like coal - which renewable sources like wind simply cannot compete with - to keep the power on.

While GRE may be abandoning Coal Creek Station, I and all of our state's leaders must look at all available options moving forward. https://t.co/JXKlnSu9de",2020-05-07 19:02:57
"We designed the CARES Act to provide relief for the financial impact of #COVID19.

Our Coronavirus Relief Fund Flexibility Act better aligns the implementation of these appropriated funds with that intent. https://t.co/At4SDknziI",2020-05-07 18:40:41
"Encouraged to see President @realDonaldTrump answer our call for a @TheJusticeDept investigation into the meatpacking industry.

As @POTUS said, recent market actions defy basic supply and demand principles.

We need to protect our livestock producers from price-fixing. https://t.co/KLVmf1hBaz",2020-05-07 14:38:37
"""If my people who are called by my name will humble themselves &amp; pray &amp; seek my face &amp; turn from their wicked ways, then I will hear from heaven &amp; I will forgive their sin &amp; will heal their land."" - 2 Chronicles 7:14.

Join me today in praying for our nation. #NationalDayOfPrayer https://t.co/13uB5Dd2BK",2020-05-07 13:04:59
"Had a productive conversation with @chucktodd and @katyturNBC about meatpacking.

#COVID19 is exposing the consolidation of this industry and exacerbating the problems such concentration causes. https://t.co/cIsScaPad6",2020-05-06 23:00:00
"On #NationalNursesDay, I join the nation in celebrating the dedication and commitment of these heroes fighting on the front lines of the #COVID19 pandemic. #ThankYouNurses https://t.co/e2VFYrjRQF",2020-05-06 21:45:00
"The oil and gas industry should have access to federal assistance.

These companies are critical to our economic and national security.

Helping them stay afloat keeps our supply chain diverse and the United States energy independent. https://t.co/kQFROq0Bak",2020-05-06 21:08:48
"During today's @EPWGOP markup, I offered an amendment to address the longstanding conflict between the @USACEHQ application of federal water law and western states’ water rights.

I plan to continue fighting for the affirmation of states’ authority. https://t.co/kdSYjakBCM",2020-05-06 20:35:00
Grants for cleaning contaminated properties will improve the quality of life for North Dakota tribes and give them additional resources to protect their health and utilize their property. https://t.co/x8Lwrejgfv,2020-05-06 16:52:20
"The water infrastructure legislation we passed today will benefit North Dakotans and set America up for long-term success.

It will create jobs while protecting access to safe drinking water and providing the clear direction and oversight @USACEHQ needs. https://t.co/Zm780AKycE",2020-05-06 16:33:26
"Straightforward guidance and clear expectations are an important part of what our meat packing companies need to safely and successfully reopen and continue operating their processing facilities.

I applaud @SecretarySonny for delivering a direct message. https://t.co/Oj07QwgD0N",2020-05-06 16:16:40
"Today I join President @realDonaldTrump in reaffirming our efforts to stand against injustice, to fight for the safety and wellbeing of Native Americans, and to reverse the unacceptable trend of violence aimed at those who are most vulnerable. https://t.co/xmHdOUoSN4",2020-05-05 22:55:08
"China and its state media’s handling of #COVID19 demonstrate the dangers of communism.

I’m concerned some of our media isn’t as concerned by it as they should be. https://t.co/7pCtAwxoeB",2020-05-05 21:30:00
".@TheJusticeDept should investigate our meatpacking companies for price-fixing.

#COVID19 has exposed problems in their industry which need to be looked into. https://t.co/QUyXDWxAdM",2020-05-05 21:04:00
"EXIM raising the guarantee coverage option for these programs will make it easier for our exporters and suppliers to get the capital they need to stay afloat.

Helping to prevent vital parts of our economy from collapsing during #COVID19 underscores the importance of EXIM. https://t.co/nWetX8BVEK",2020-05-05 20:45:00
"One thing is certain: China squelched important information about #COVID19 which could have prevented the spread of the virus.

The free world needs to remember this when we deal with these communists in the future. https://t.co/qTuJGhwKFU",2020-05-05 20:30:00
"#COVID19 is attacking the physical and economic well-being of tribes in North Dakota and across the country.

I am encouraged to see the Administration is taking a step to grant the funds we appropriated for tribal needs. https://t.co/eyu9MXzH58",2020-05-05 20:20:02
"Spoke to @SandraSmithFox about how the meat shortage exposes a vulnerability in our supply chain.

80% of U.S. meat is processed by 4 companies, 2 of them are foreign-owned.

We need to be better at protecting our country's food supply. https://t.co/SKNz3IVwdE",2020-05-05 19:59:11
"Saudi Arabia &amp; Russia’s continued dumping of crude is having lasting and damaging effects on American energy producers. 

Last week @JimInhofe, @SenDanSullivan &amp; I spoke to @SecretaryRoss about applying tariffs to their oil imports as a result of their anticompetitive behavior. https://t.co/qTzLO9zhnr",2020-05-04 21:23:47
"Four major meatpackers control 80% of the market. 

As we work to protect our food supply chain during #COVID19, @SenatorRounds and I are urging the @TheJusticeDept to investigate possible price-fixing in the industry. https://t.co/WhG2tSN6vL",2020-05-04 20:15:00
"Allowing agricultural producers to access EIDL programs puts another tool in the tool chest to assist our farmers and the food they produce in making it through #COVID19.

To the agriculture community: work with @SBAgov to make sure you receive the help you need. https://t.co/vWt2D9V6hs",2020-05-04 20:02:41
Remarkable story in the @WSJ highlighting community banks in North Dakota like @BankWithChoice stepping up during #COVID19 to protect small businesses and their employees. https://t.co/XHkkxqC3Qn,2020-05-04 19:45:04
