tweet,dates
I love my mom. Happy Mother's Day to her and all the other great moms out there! https://t.co/9CFAJXdgiw,2020-05-10 13:02:41
"An American citizen was gunned down while running in his neighborhood. Ahmaud Arbery's death has left a country mourning, demanding answers. 

He was born on Mother’s Day, 26 years ago. My heart breaks for his mom, Wanda. We honor his story by calling for justice. #runwithahmaud",2020-05-09 23:33:49
"How many lives have been destroyed because of communist China's lies?

And yet Democrats have no plan to hold China accountable. They don't even have a plan to reconvene Congress.",2020-05-09 12:45:37
"Thank you President @realDonaldTrump for your leadership in the war against the virus. 

Americans are working together to defeat it and come out stronger than ever. 🇺🇸 https://t.co/WTXMqEFKsq",2020-05-08 18:47:27
"#FF → Republican members of the Coronavirus Oversight Committee: @SteveScalise, @Jim_Jordan, @RepBlaine, @RepWalorski, and @RepMarkGreen. https://t.co/QcjcozLWpg",2020-05-08 14:22:54
"This #NationalDayOfPrayer, we pray for the victims of the COVID-19 crisis.

We pray for our health care professionals. 
We pray for our scientists working on a vaccine.
We pray for our farmers, truckers, and store clerks who provide our food.

We lift you up. https://t.co/bOwVOA8YQP",2020-05-07 23:34:00
".@GenFlynn is 𝗲𝘅𝗼𝗻𝗲𝗿𝗮𝘁𝗲𝗱—a win for our justice system and a win for individual rights. No American should ever be targeted for simply belonging to a certain political party.

Comey's FBI failed one of our own citizens. This should have never happened.",2020-05-07 22:13:56
"Our country has neglected the warning signs from the Chinese Communist Party for far too long. So I am forming the China Task Force, led by @RepMcCaul.

Democrats were set to join but bailed with no explanation. Our country simply cannot wait any longer.
https://t.co/T2GyqVli0B",2020-05-07 18:31:15
Kevin McCarthy Hosts a Virtual Press Conference https://t.co/IIa6C5XlLl,2020-05-07 13:48:29
"For years, China has conspired to overtake our universities, our press, and our pharmaceuticals.

Never again. https://t.co/gjiUWVSTCq",2020-05-06 20:26:26
"Businesses across America are beginning to reopen their doors, but Speaker Pelosi refuses to get the House of Representatives back to work.

Congress CAN and SHOULD operate in a safe and effective manner, and Republicans have a plan to restore the People's voice. https://t.co/5LEEdA0lL2",2020-05-06 14:39:33
"As the world confronts the challenges brought on by a pandemic, our relationships with longstanding allies become even more invaluable. Today the US and UK announced they will begin trade negotiations—encouraging news as we both work toward rebuilding our economies. 🇺🇸🇬🇧",2020-05-05 23:00:11
"Each day that Nancy Pelosi keeps Congress closed, she consolidates power for herself and gives China a free pass. https://t.co/p7jL8CH3u7",2020-05-05 12:14:35
"Republicans have a plan to make Congress work again.

If doctors, dispatchers, and delivery drivers can work, then so can America's representatives. https://t.co/jL56YT9hKL",2020-05-04 23:22:00
"May is Brain Tumor Awareness Month. For every survivor who is fighting the good fight and sharing your story—you are not alone.

Together with @NBTStweets, you have vocal advocates in Congress like @RepMcCaul &amp; @TomColeOK04. We'll keep pushing for a cure to this terrible disease.",2020-05-04 21:52:24
"Congress cannot stay shut down in the midst of a pandemic.

We need a safe return to regular order—not more yes or no votes on big-spending bills that are crafted behind closed doors in the Speaker's office. https://t.co/yRz1T6M2cI",2020-05-04 18:21:24
"Despite my call to Speaker Pelosi to establish a clear, safe, and effective plan for reopening the House of Representatives, she hasn't done so.

Here is my commonsense plan to reopen Congress and restore the voice of the people: https://t.co/hm2OKOLgU5",2020-05-04 12:58:08
Praying for all those who have lost a loved one—especially those who couldn’t be there with them to say goodbye.,2020-05-02 17:05:56
"People who are showing up to work in the midst of the pandemic:
✅ Doctors
✅ Dispatchers
✅ Delivery Drivers
❌ Democrats https://t.co/0dHUw8H8rE",2020-05-01 18:25:00
"Republicans are united → health care workers, small businesses, and others on the front lines of this fight must receive strong protections from frivolous lawsuits.

We cannot let a second pandemic of opportunistic litigation enrich trial lawyers at the expense of Main Street.",2020-05-01 12:52:56
"If a respected three-star general and then-advisor to the President can become the victim of a manipulated federal investigation, what hope does the average American have?

What happened to @GenFlynn is a national disgrace.",2020-04-30 23:45:50
"Two goals that must be achieved in future legislation:

1. Modernize the Strategic National Stockpile
2. Bring pharmaceutical manufacturing back to the U.S.
https://t.co/zsjfvgFp8U",2020-04-30 17:02:47
"One of the great lessons from this crisis is our dependency on communist China for PPE and medicine. We must break China’s medical supply monopoly. 

Listen in to my call with reporters, starting at 1pm ET. https://t.co/5zXyrK785h",2020-04-30 16:33:56
Mark my words → Speaker Pelosi's coronavirus committee is just Impeachment 2.0.,2020-04-29 22:50:50
The American people deserve elected leaders who will work day in and day out. That's not what they're getting from the Democrat-controlled House of Representatives. https://t.co/khkeUS2uzv,2020-04-29 17:45:17
"The Democrats have no plan—whether it's to hold communist China accountable or to reconvene Congress itself.

The American people deserve better. https://t.co/28Ta8stLa6",2020-04-29 13:07:19
The United States is developing a 𝘃𝗶𝗰𝘁𝗼𝗿𝘆 𝘃𝗮𝗰𝗰𝗶𝗻𝗲 faster than ever in the history of any virus! https://t.co/eV9AmF7qcd,2020-04-28 23:32:38
"If there is one thing that should unite us as Americans, it's this. → We should never again allow ourselves to be dependent on Communist China for essential medical supplies. https://t.co/Ho5iplgWwp",2020-04-28 17:25:00
"President @realDonaldTrump knows how to keep Americans safe, and he also knows how to grow an economy.

When we get through this safely, we’ll get our economy back just as strong as it was before.",2020-04-28 12:24:22
"Across the world, people have lost grandparents. Parents. Siblings. Children. All because China lied.

Never again. Communist China must be held accountable. https://t.co/UxdxWAqk3i",2020-04-27 23:37:00
"The federal government has acted to provide emergency relief for all Americans affected by the coronavirus pandemic. Whether you are a small business owner, an employee, or recently unemployed, there are ways to get the help you need. #AmericaWorksTogether https://t.co/RU09GFr2dt",2020-04-27 18:25:14
"Unacceptable. → China’s medical supply monopoly encourages labor and environmental abuses that exacerbate an unfair global economic advantage. 

We can never again leave America’s medical fate in the hands of another nation. https://t.co/JaLUlRRLH9",2020-04-27 12:32:39
Happy birthday to our wonderful @FLOTUS—Melania Trump! https://t.co/zy0RPjdHzG,2020-04-26 23:27:52
𝐍𝐞𝐯𝐞𝐫 𝐚𝐠𝐚𝐢𝐧. We can never again put ourselves in a position where we have to depend on Communist China for essential equipment. https://t.co/Tn8Ilt3Bpt,2020-04-26 18:16:00
Nancy Pelosi owes America an apology. She has held up every single coronavirus relief measure. https://t.co/XFl19uvNrj,2020-04-26 13:07:15
