tweet,dates
We are going to need an army of people to help with contact tracing and quaratining over the next few years. This week I introduced a bill that will use existing relationships with organizations like AmeriCorps and build on them.  #Stand4Service,2020-05-08 17:19:36
"I am excited about my ""Farmers Feeding Families Act"" that I have introduced with @cathymcmorris and @SenBobCasey. It will connect small and medium-sized farmers who have surplus products and food banks that are seeing unprecedented need to keep our communities fed and healthy.",2020-05-07 21:39:02
"The ""PPP and Healthcare Enhancement Act"" that the House passed last month included small business assistance for farms. Starting today, farmers and agribusiness owners can now apply for assistance. https://t.co/wyraEqSPIe",2020-05-04 22:16:55
On Friday I joined @KOHO101 to talk about what I am working on in response to the COVID-19 pandemic. Listen here: https://t.co/WvwwnCmFZU,2020-05-03 16:16:50
"May 1st is also known as #InternationalWorkersDay. This crisis is showing just how important workers are to keeping our economy strong. Especially right now, I stand with frontline workers who are putting a lot on the line to keep us safe and healthy. https://t.co/cX73MbixBC",2020-05-01 20:40:57
"We've been hearing a lot about ""reopening the economy."" Many of my constituents have asked me when that will happen. As a doctor and Congresswoman, here's what I think ""reopening"" will look like &amp; what needs to happen to get us there: https://t.co/rKIoPQNYWF",2020-04-30 19:57:23
"This #WorldImmunizationWeek I am particularly concerned about the children who are missing out on life-saving #vaccines because of the coronavirus pandemic. Now more than ever, we must invest in public health systems to make sure they are resilient, even to global pandemics.",2020-04-30 14:33:27
This week @PattyMurray and I led the WA Dem delegation members in sending a letter to @VP Pence asking the Administration to implement a comprehensive national testing plan. We cannot restart the economy without more testing. This needs to happen now! https://t.co/CISrIrgHZx,2020-04-29 19:50:59
"Today at 3pm PDT, @RepDerekKilmer and I will be answering your questions over on Facebook Live about the COVID-19 pandemic and how Congress has responded. Tune in! https://t.co/yygmnMsyc0",2020-04-29 14:58:01
"Today I spoke with U.S. Ag Secretary Perdue and advocated for WA state’s farmers and growers. Our farm families are facing a multitude of challenges right now. I specifically brought up H2A visas and housing, &amp; the implementation of CFAP program and how WA farmers can benefit. https://t.co/l9zwTOb2B3",2020-04-28 21:45:19
"Last week while I was in DC, I brought constituent concerns to  @HouseSmallBiz about the small business loan programs. Funding we passed last week should be available today. We need to make sure this program is administered fairly and takes care of Main Street businesses. https://t.co/MQ3y8hCqL1",2020-04-27 21:35:06
Small businesses in the 8th district are hurting so I was happy to vote for $310 billion more for PPP. The bill also allocates funding for critically-needed testing. We need to be testing 10-20x more than we are right now. Testing is the key to getting back to work. https://t.co/MqnZVkIAy1,2020-04-23 23:09:18
"Yesterday I held a webinar with @ESDwaWorks to answer questions about their new system and who is eligible. I know this process has been frustrating for many of you, so I'm glad we were able to get answers to some common questions. You can watch here: https://t.co/qEn4LxBTbl",2020-04-22 21:15:27
"Washingtonians are blessed to have so many beautiful natural treasures in our state. On the 50th anniversary of #EarthDay, we must ensure that our planet and all of its natural treasures are protected for our children and generations we will never know.",2020-04-22 15:42:08
"On #HolocaustRemembranceDay, we must remember that intolerance, xenophobia, and scapegoating were the seeds that allowed the Holocaust to take root. Let’s learn from history so we can honestly say “Never again.”",2020-04-21 20:47:47
"I'll be hosting my next coronavirus telephone town hall tomorrow at 4:50pm PDT. To make sure you can participate, sign up here: https://t.co/j1dXI8P4Kk https://t.co/PHDY9K0pGw",2020-04-21 18:22:26
The ESD has finished their website update and has now expanded who can apply for benefits. I’ll be holding a webinar with representatives from ESD at 1pm PDT on Tuesday to get your questions answered. Register here: https://t.co/iieyytiTFt https://t.co/OVgz8LpOLa,2020-04-19 15:32:04
"Businesses need money now. We need the Paycheck Protection Program to work the way it was intended. My office has worked w/100s of small businesses in the 8th district who are struggling to get the help they need, only to find out the SBA has let big corporations game the system https://t.co/Is8MXSmG10",2020-04-16 22:55:43
"Curious about the status of your COVID19 stimulus check? @IRSnews has launched the ""Get My Payment"" portal that will allow you to check the status of your payment or input direct deposit information if you haven't listed that on your previous tax returns. https://t.co/es1SCFTtfj",2020-04-15 20:05:01
"Early next week, we are expecting unemployment benefits to be opened up to more people, including the self-employed and part-time workers. Make sure you're signed up for their updates so you know when applications open up. https://t.co/wqC3jqyjB1",2020-04-15 16:48:52
