tweet,dates
"With many challenges in our food supply chain during COVID-19, I’m working to better ensure that food doesn’t go to waste and that families across New York can keep food on the table. https://t.co/SOFpBVdGOc",2020-05-09 22:03:01
"No matter what @senatemajldr says, declaring bankruptcy is not an option for state and local governments. https://t.co/vBnfeFnEBj",2020-05-08 16:31:54
"Direct federal relief for local governments is absolutely critical as they grapple with the economic fallout from the COVID-19 pandemic. My colleagues and I are doing everything we can to ensure that it is included the next economic relief package.
 
https://t.co/C3i2PK2cJI",2020-05-08 13:25:38
"Public safety officers are risking their health to keep us safe during this pandemic. Many are getting sick, and some are unfortunately dying. These front line heroes have stepped up for our country, and now our country needs to step up for them. https://t.co/QGMANmLrJE",2020-05-07 19:47:26
"To help families across New York keep food on the table, we have to address the growing challenges in our food supply chain. https://t.co/nNzgikYeKl",2020-05-06 00:18:46
"TODAY @ 3:30PM ET: Joining @ABetterBalance to discuss how we can best protect and support working families during COVID-19. 

Register here: https://t.co/ABmf4dlkZH https://t.co/AtmanPv2RO",2020-05-05 15:39:38
Looking forward to joining @ABetterBalance tomorrow to discuss how we can better support working families during the COVID-19 crisis. Hope you’ll join us: https://t.co/ABmf4dlkZH https://t.co/mp44pyhCAp,2020-05-05 00:01:49
"All American workers should be able to stay home when they need to. It’s good for our health, our families, and our economy.

That's why I’m leading the fight for paid sick days and paid family leave—you can be part of it: https://t.co/NVMZLKf6XW

https://t.co/b0XBDS2p8O",2020-05-04 20:15:35
"My three step solution to #SaveUSPS will strengthen the post office, provide financial security to millions of Americans, and reinvigorate our voting rights. Learn more: https://t.co/tSDBPNTgpe",2020-05-01 21:30:00
Many thanks to @votevets for supporting my proposal to #SaveUSPS. The Postal Service delivers critical services to our nation’s veterans and their families—we owe it to them to strengthen this vital institution. https://t.co/UeRkMZBYrg,2020-04-30 23:10:40
"The Postal Service needs more than relief—it needs reinforcements. My new proposal offers a three step solution that will strengthen the post office, provide financial security to millions of Americans, and reinvigorate our voting rights. #SaveUSPS https://t.co/EYP2dvyTpa",2020-04-30 16:26:12
The overwhelming need for transformative change is greater today than ever. And I believe that the Postal Service can deliver it—if only we step up to make the reforms needed to strengthen it. https://t.co/MN2aDx5DFB,2020-04-29 23:41:51
Looking forward to the discussion! Send your questions here👇 https://t.co/4VQFSnLQKI,2020-04-28 21:36:13
"The Postal Service has delivered for us through the Civil War, world wars, and the Great Depression. Now we need to deliver for them. Read my new proposal to strengthen USPS: https://t.co/rJSxRiJOr8 https://t.co/1i59xZIX1K",2020-04-28 18:04:29
I’m partnering with @SenatorBennet on legislation to start a Health Force that will recruit and train thousands of recently unemployed Americans to directly support the nation's COVID19 response. We were proud come together to announce this legislation (virtually!)—check it out: https://t.co/kMDCAVBcYK,2020-04-23 22:26:10
TODAY: Don’t miss my virtual town hall with @RepJohnKatko at 2:30PM ET. Would love to see you there. Call in or watch live: https://t.co/jOgCr7GXha https://t.co/vXZew9yGME,2020-04-23 15:40:59
".@senatemajldr’s comments today on hitting the “pause button” on further federal emergency legislation, and that cities and states should declare bankruptcy, are utterly reprehensible. 

My statement: https://t.co/QgXfvxoPwz",2020-04-22 23:44:42
"As we recognize 50 years of #EarthDay, I’m proud to join @SenateDems in our commitment to environmental justice, so that every person in America can have the chance at a healthy life. https://t.co/1HMuIJr4em",2020-04-22 22:04:47
"New Yorkers, we want to hear from you! Join me and @RepJohnKatko for a virtual town hall tomorrow at 2:30PM ET. Sign up here: https://t.co/euoOVTPGNr https://t.co/TZCuF7iW04",2020-04-22 21:05:34
"NEW: This Thursday, April 23 at 2:30PM ET, I’m hosting a virtual town hall with @RepJohnKatko. Join us. You can register here: https://t.co/8m10gg1y0K https://t.co/DriteEQZJT",2020-04-21 20:53:23
"New Yorkers, stay up to date: My team and I have put together a set of resources that we will be updating for the duration of the  pandemic. 

Find it here: https://t.co/9U8mbV0ias",2020-04-20 14:56:17
