tweet,dates
"¡Feliz Día de las Madres, Arizona!",2020-05-10 14:58:41
"Happy Mother’s Day, Arizona!",2020-05-10 14:58:20
"We secured funding in the bipartisan America’s Water Infrastructure Act for AZ’s Rio de Flag flood control project to complete John McCain’s vision, protect the Flagstaff community, and encourage infrastructure development. https://t.co/huZB90fgYq",2020-05-09 23:02:00
"Negocios pequeños de AZ: envíen sus solicitudes de préstamos de alivios perdonables bajo el CARES Act aquí ➡️
https://t.co/wRgnBnapLJ",2020-05-09 20:00:00
"AZ small businesses: submit your applications for forgivable relief loans under the CARES Act here ➡️ 
https://t.co/wRgnBmSOn9",2020-05-09 19:59:00
"¡Feliz Semana del Enfermero y Enfermera! Gracias a todos los enfermeros y enfermeras de Arizona que trabajan en las primeras líneas de esta pandemia, protegiendo a nuestros seres queridos y comunidades.",2020-05-09 17:00:00
"Happy #NursesWeek! Thank you to the Arizona nurses working on the front lines of this pandemic, protecting our loved ones and communities.",2020-05-09 17:00:00
"Estamos instando a @USOPM a que proteja la salud de los trabajadores federales de Arizona con equipos de protección personal y guías para el personal en cómo mantenerse seguros.
https://t.co/2ogzqcXCXR",2020-05-08 23:38:00
"We’re urging @USOPM to protect the health of AZ’s federal workers with personal protective equipment and workforce guidance on how to stay safe.
https://t.co/2ogzqcG26j",2020-05-08 23:36:00
"Scientists and medical experts say we need to keep practicing social distancing and stay home as much as possible. Combined with an increase in testing, it’s the only way to safely re-open our economy. https://t.co/dSyrZgsj0D",2020-05-08 21:20:00
We secured $23.2M in coronavirus relief funding for Northern Arizona Hospitals. https://t.co/HSX3ihHnAe,2020-05-08 20:33:00
We need a national testing strategy and the ability to trace the spread of the coronavirus if we want to re-open our economy safely and smartly. https://t.co/IKHJGdpad5,2020-05-08 19:05:00
Hoy es el Día de Apreciación a los Cónyuges Militares. Gracias a todos quienes aman y apoyan a nuestros valientes miembros del servicio.,2020-05-08 18:56:00
"Negocios pequeños de AZ: el seminario web de @azcommerce les puede ayudar a rastrear los fondos PPP para garantizar que sus préstamos sean perdonados. Regístrese aquí: 
https://t.co/swVRK0Acw3",2020-05-08 18:34:00
AZ small businesses: @azcommerce’s webinar can help you track PPP funds to ensure your loans get forgiven. Register here: https://t.co/swVRK0Acw3,2020-05-08 18:34:00
Today is #MilitarySpouseAppreciationDay. Thank you to all who love and support our brave servicemembers.,2020-05-08 17:56:00
"Congratulations to the @ASU, @uarizona, and @NAU students graduating over the next week! We’re excited to see the great things you’ll achieve.",2020-05-08 16:35:00
"¡Felicidades a los estudiantes de @ASU, @uarizona y @NAU que se gradúan la próxima semana! Estamos emocionados por ver sus grandes logros.",2020-05-08 16:35:00
Congressional leaders need to expand coronavirus relief for Arizona non-profits. https://t.co/vBMp0d2Dlf,2020-05-08 15:55:00
"Tomorrow morning, the Commemorative Air Force (@CAF1957) will fly historic warbirds over the Valley to mark the end of World War II and honor brave Arizona servicemembers throughout history. 
https://t.co/tItPX6f3iX",2020-05-08 00:00:00
We will recover if we are safe and smart. We must continue to stay home as much as possible and increase our testing and infection-tracking. https://t.co/4lKRrPVsOl,2020-05-07 21:51:00
Our new bill increases telehealth services for Arizona Veterans. https://t.co/sTHBab06uh,2020-05-07 21:23:57
Arizona small businesses can still apply for paycheck protection loans to help keep workers employed during this public health crisis ➡️ https://t.co/tT6al09J00.,2020-05-07 21:02:32
We secured Army Corps funding in the bipartisan America’s Water Infrastructure Act for flood mitigation along Tonto Creek. https://t.co/cuBoho0E1q,2020-05-07 18:46:00
"We need safe and smart strategies to reopen Arizona. Moving too quickly will likely lead to the virus coming back, causing greater loss of life and economic harm. https://t.co/Pwfn6lJVTf",2020-05-07 18:01:00
"Los proveedores de salud de Arizona están ofreciendo pruebas del coronavirus el sábado, 9 de mayo y el sábado, 16 de mayo. Encuentre sitios de pruebas, horarios e información sobre la pre-registración aquí:
https://t.co/cP24ov3zVj",2020-05-07 17:00:00
"AZ health providers are offering coronavirus tests on Saturday, May 9 and Saturday, May 16. Find testing sites, hours of operation, and info on pre-registration here: 
https://t.co/cP24ov3zVj",2020-05-07 17:00:00
"To bend the curve of the virus and prevent a second wave, we need contact tracing systems in place, cleaning and hygiene standards, and a workforce that is both protected from the virus and ready to support the airline industry. https://t.co/oLqNZdXQXX",2020-05-07 15:17:00
https://t.co/mesroAUIu7,2020-05-06 22:51:17
"We joined Arizona AARP for another tele-town hall to hear directly from Arizona’s seniors, answer their questions, and listen to their concerns about coronavirus. https://t.co/GnVeHq6JvL",2020-05-06 22:30:53
"To re-open strong, we must be safe and smart. For now, that means continuing to social distance and stay home - as well as increasing testing and infection-tracking. https://t.co/F8YivrNyBL",2020-05-06 21:30:00
"FCC awarded the Navajo Nation Department of Health $954,990 and El Rio Santa Cruz Neighborhood Health Center in Tucson $444,462 for telehealth services to help serve Arizonans during the coronavirus pandemic. https://t.co/18q3waFbGR",2020-05-06 20:48:00
Congressional leaders must increase resources for water and sanitation projects for Tribal communities. https://t.co/kR15N8i0e7,2020-05-06 19:04:00
"IRONMAN’s donation of masks and shields will protect Arizona’s firefighters who are keeping us safe during this public health crisis.
https://t.co/HQcgWc5UCc",2020-05-06 18:07:00
"La donación de IRONMAN de máscaras y protectores personales protegerá a los bomberos de Arizona quienes nos mantienen seguros durante esta crisis de salud pública.
https://t.co/HQcgWbOjdC",2020-05-06 18:07:00
We secured Arizona priorities in the Senate’s water infrastructure bill. https://t.co/F5zsop4dvd,2020-05-06 16:21:00
Our bill will help small broadband companies provide critical connectivity for students and families to continue their education during the coronavirus pandemic. https://t.co/4bA0326lG7,2020-05-06 14:44:00
"Nurses support us during some of the toughest moments of our lives. On #NationalNursesDay, we’re thankful for the amazing AZ nurses going above and beyond to care for our loved ones during this public health crisis. #ThankAZnurses https://t.co/N57jbKXglr",2020-05-06 13:28:59
"El Congreso y el Departamento del Tesoro deben garantizar que las comunidades más pequeñas reciban su cantidad justa de fondos para que todos los arizonenses reciban apoyo crítico durante la pandemia del coronavirus.
https://t.co/AElRM74QWh",2020-05-06 00:09:00
"Congress and the Treasury Department must ensure smaller communities receive a fair share of funding so all Arizonans get critical support during the coronavirus pandemic.
https://t.co/AElRM6Ng4J",2020-05-06 00:09:00
"Treasury is releasing part of the coronavirus funding for Tribal communities, but they need to release the full $8B. Lives depend on it. https://t.co/l49p7jRUWC",2020-05-05 21:42:58
"Safe and smart steps, including continuing to social distance and increasing testing, are our keys to a strong re-opening of our economy. We have to do this right. https://t.co/bJU0wD93lt",2020-05-05 21:39:00
"Arizona: our social distancing is working. Let’s continue to stay home as much as possible to protect ourselves, our loved ones, and our communities from coronavirus. https://t.co/xHHYxorevD",2020-05-05 19:54:00
Our new bill creates a $75B fund to help everyday Arizonans afford rent and mortgage payments during coronavirus. https://t.co/yfwgHHUclt,2020-05-05 19:09:00
"Arizona teachers are the best - thanks for all you do to educate AZ kids, especially during these challenging times. #NationalTeacherDay",2020-05-05 17:25:00
"Following our request, AZ agricultural producers can apply for disaster loan assistance here [https://t.co/K7WYYmbmLY] to access needed economic resources now.",2020-05-04 22:45:40
"Trabajamos con @IRSnews para garantizar que los recipientes de Arizona del ingreso de seguridad suplementario (SSI) reciban sus cheques de reembolso automáticamente.
https://t.co/dWgo8kCyl1",2020-05-04 22:00:00
"We worked with @IRSnews to ensure Arizona recipients of Supplemental Security Income (SSI) automatically receive rebate checks.
https://t.co/dWgo8kkXtt",2020-05-04 21:58:00
The federal government needs to ensure community behavioral health organizations have sufficient funding to care for Arizonans in need during the coronavirus pandemic. https://t.co/7n1qJNP375,2020-05-04 20:05:00
"Social distancing is critical to saving lives and keeping Arizonans healthy. Please continue to stay home as much as possible, and maintain at least 6 feet from others in public. https://t.co/pRcC4hOyGr",2020-05-04 19:04:00
Domestic and sexual abuse survivors in Arizona and across the country need our full support in a public health crisis requiring Americans to stay in their homes. https://t.co/KTRP34DRfu,2020-05-04 16:00:01
The federal government needs to immediately reopen the Economic Injury Disaster Loan application portal so businesses across Arizona can access needed resources. https://t.co/6LP71JJner,2020-05-04 14:48:00
Interested in attending a U.S. Service Academy? Contact my office and apply here: https://t.co/cgZvzp6Qir,2020-05-03 23:32:00
".@azcommerce provides free resources to help small businesses access funding and support during this public health crisis.
https://t.co/foVFpRAEXc",2020-05-03 20:31:00
"I am happy to serve on the bipartisan White House task force focused on economic recovery, working across the aisle to provide support for AZ state and local leaders.
https://t.co/tITnRtQCNT",2020-05-03 17:10:17
"Si no declaró sus impuestos en el 2018 o 2019, @IRSnews ofrece una herramienta gratis en el web para revisar su elegibilidad para un pago por impacto económico:
https://t.co/TkUQu1achk",2020-05-02 23:56:00
"If you didn’t file a 2018 or 2019 tax return, @IRSnews offers a free online tool to check your eligibility for an Economic Impact Payment: https://t.co/TkUQu1achk",2020-05-02 23:55:00
"Arizona restaurant workers: if you’ve lost pay due to coronavirus, you can apply for immediate financial assistance here ➡️ https://t.co/y3MUWYKPRI",2020-05-02 21:00:00
"Trabajadores de restaurantes de Arizona: si perdió su ingreso debido al coronavirus, usted puede solicitar para asistencia financiera inmediata aquí ➡️https://t.co/y3MUWYtet8",2020-05-02 21:00:00
El personal de @CoconinoCC utiliza impresoras 3D para hacer mascarillas para nuestros hospitales y trabajadores de salud. https://t.co/vaxahbn1fU,2020-05-02 16:12:07
"Amazing @CoconinoCC staff use 3D printers to make masks for our hospitals and health care workers.
https://t.co/vaxahbn1fU",2020-05-02 16:10:04
".@Uarizona launched “AZCOVIDTXT” - a text-based resource to gather information on the spread of coronavirus. Learn more:
https://t.co/CRrl5RGoqU",2020-05-02 00:17:00
".@Uarizona lanzó “AZCOVIDTXT” - un recurso por mensaje de texto para obtener información sobre el brote de coronavirus. Aprenda más:
https://t.co/CRrl5RoNzm",2020-05-02 00:17:00
.@USTreasury needs to make sure Tribal communities across Arizona receive the CARES Act funding they are due. https://t.co/oiY11vjqFV,2020-05-01 21:18:09
"Following our urging, the federal government will expand coverage of telehealth services for Arizona seniors and ensure community behavioral health organizations can continue to provide critical mental health services. https://t.co/7G94H5Rlsv",2020-05-01 20:19:00
We need to keep up the great work and continue to stay home as much as possible. Social distancing is key to keeping our health workers safe and slowing the spread of infection. https://t.co/N5bTX0Xx15,2020-05-01 20:07:00
