tweet,dates
"Black women are 3-4x more likely to die from pregnancy-related causes. For many, these statistics are made real by the Black women we know personally. For me, that woman was my friend Shalon. This Mother's Day, we advocate for the health of Black mothers. https://t.co/05hc7KKAMT",2020-05-10 17:42:42
"Our families and communities expect a lot of moms during ""normal"" times. And now during the coronavirus crisis, they are juggling more than ever imaginable. They are true superheroes. Always, but especially this year, thank you to all the moms out there. Happy Mother’s Day! https://t.co/GFleNLiPIM",2020-05-10 15:21:47
"We cannot safely reopen our economy without making necessary investments to expand our capacity to test, trace, and treat COVID-19.",2020-05-09 17:30:48
"During these challenging times, it is my honor to shine a light on some of our northern Illinois high school seniors who are working hard to finish the school year strong.  #IL14SeniorSpotlight! https://t.co/7Fz33ycmXA",2020-05-08 21:11:30
"There is still time to submit nominations for this week's #IL14SeniorSpotlight! Complete the form linked below to nominate a northern Illinois high school student in our community to be recognized for their outstanding achievements.  

https://t.co/dZq5YiZmU9 https://t.co/nuBTNQX2Lq",2020-05-07 18:26:48
"COVID19 is disproportionately impacting the health and well-being of communities of color. As Vice Chair of @HomelandDems, I'm leading a virtual forum with @RepAlGreen and @JacksonLeeTX18 to discuss these health disparities with the experts. Tune in now! https://t.co/9kkODRDNSI",2020-05-07 17:11:19
"Students! Have questions about #COVID19? Today, I’m hosting a Virtual Civics Class to discuss the role the government plays in addressing a crisis like the coronavirus pandemic. Watch live now! 
https://t.co/nUoyetlcpP",2020-05-07 16:05:06
"We’ve seen nursing homes and communities for seniors  emerge as coronavirus hotspots across the United States, including in communities throughout northern Illinois. It’s essential we protect these groups.",2020-05-06 21:11:43
"In times of crisis, true heroes rise to help those in need. This #NationalNursesWeek, we celebrate nurses across the country who are stepping up to keep out communities safe and healthy and fight #COVID19 #ThankANurse",2020-05-06 20:41:26
Calling all #IL14 high school students! Don’t miss this opportunity to make your mark on the halls of Congress. Click below to review the updated guidelines for submitting artwork before the May 22 deadline. https://t.co/VupkbJLz6p,2020-05-06 20:07:33
"Calling all #IL14 high school seniors! This month, I'll be highlighting the outstanding work of seniors in our community. Do you know a graduating senior? Click the link below to nominate a senior in our community for this week’s #IL14SeniorSpotlight. https://t.co/O1xC1dd7kX https://t.co/tTFzx6Sj1Y",2020-05-05 21:50:35
"These challenging times have reminded us of the incredible value of our nation’s teachers. This #TeacherAppreciationDay, we say thank you to the teachers who continue to shape students’ lives. #ThankATeacher https://t.co/dJP7bhVzwy",2020-05-05 19:56:11
"TUNE IN NOW: I’m hosting a Facebook Live Town Hall with Michelle Meyer, Executive Director of Mutual Ground and Breaking Free, Inc. to share domestic violence resources available to our community and answer your #COVID19 questions. https://t.co/L3P4TrlpUF",2020-05-05 19:13:17
"Across the country, there are alarming and saddening spikes in reports of domestic violence and abuse. Today, I’m hosting a Facebook Live Town Hall to share domestic violence resources available to our community during #COVID19, and answer questions on the pandemic more broadly. https://t.co/K9G3cTE3Da",2020-05-05 16:50:52
"Across the county, teachers and educators are stepping up to meet the unique challenges of #COVID19 and help our students so they do not fall behind-- they are true heroes. During #TeacherAppreciationWeek be sure to thank a teacher for everything they do. #ThankATeacher https://t.co/kNlIUN9gqv",2020-05-04 18:28:00
Our nation’s Black maternal health crisis is alarming and behind each statistic is a heartbreaking story like my friend Shalon Irving’s. I’ve introduced the #Momnibus to address this urgent crisis. Read more on each bill in my latest piece for @Health_Affairs. https://t.co/pPWWTPDlf5,2020-05-04 16:54:16
