tweet,dates
"Mothers teach, love, guide, support, protect, listen, provide, console, and defend. 

Their heart, wisdom, will and strength carry us through good times and bad. 

Happy #MothersDay and THANK YOU to all of the moms! ❤️ 💐",2020-05-10 12:06:50
"Public Service Announcement for those on Twitter who apparently need a refresher: The Pledge of Allegiance doesn’t end with “liberty and justice for all, except General Michael Flynn.”",2020-05-09 18:18:55
"I’m in DC right now. The House of Reps should be here at work. Any member of leadership who thinks the House isn’t essential should step down. Any House Member who feels like they aren’t essential should do the same. This is the time to be working harder than ever, not to go AWOL",2020-05-09 04:19:32
"Just had a great 3+ hr meeting w/ @realDonaldTrump @WhiteHouse to discuss coronavirus response, his team’s phenomenal efforts to help NY, &amp; his vision for the USA to transition to greatness as our nation’s economy reopens once again &amp; a historic American comeback is launched. 🇺🇸",2020-05-08 21:53:34
"VICTORY! 75 years ago today, evil in its worst form was defeated, the Nazis unconditionally surrendered and Victory in Europe was courageously secured by the United States of America and our allies. #VEDay75 🇺🇸",2020-05-08 09:04:41
"Flynn’s interview by the FBI was “untethered to, and unjustified by, the FBI’s counterintelligence investigation into Mr. Flynn” and the interview was “conducted without any legitimate investigative basis.”

https://t.co/q78VNrxQDK",2020-05-07 19:24:53
"The only path through this pandemic should be not as Republicans first or Democrats first, but as Americans first. Our nation and our people are stronger together and united. There should be one common purpose and one common goal to defeat this invisible enemy.",2020-05-07 04:04:33
"This #NursesWeek is like none other and our country has an appreciation for our amazing nurses like never before. They are fighting hard for us here in NY and all across the US. They have shown strength, courage, skill and poise and our appreciation needs to go far beyond words.",2020-05-07 01:18:26
"All 53 interview transcripts of the House’s Trump-Russia probe were unanimously approved for release by @HouseIntelComm in Sept 2018. All have been signed off on by the Intel Community to protect classified info. Why aren’t these transcripts being released, @RepAdamSchiff?",2020-05-06 15:18:22
"My colleague and friend @RepRatcliffe is highly skilled, prepared and capable of exceptionally serving as the next Director of National Intelligence. He’s an excellent pick by @realDonaldTrump and our country will be even stronger and safer with John in this key role!",2020-05-05 21:46:10
"In apparently unrelated news, the Speaker is blocking the House of Representatives from even being in session right now in DC. The Senate is at the Capitol, but the House is AWOL &amp; not even there to hear anyone's testimony regardless of this misfired, partisan grandstanding. https://t.co/qFGH59HIc9",2020-05-05 13:38:40
"The House of Representatives should be in DC at work right now. There is so much so wrong with the House being AWOL like this. Health care workers, cops, truckers, farmers, grocery story workers &amp; many others NEVER stopped working. It's time for the House to report back for duty! https://t.co/NrqZS1nNZz",2020-05-05 04:01:01
Today the US Senate is going back into session in DC. The House is not but should. It’s time and it’s not too late for the powers that be to change her mind.,2020-05-04 11:51:18
Let Freedom Ring! 🔔 🇺🇸 https://t.co/VnBi0KCqcg,2020-05-04 00:19:43
"It’s impossible to tally up just how much health and economic devastation China exported all around the world in such a very short time due to this pandemic. On top of that, it sure appears they don’t even feel bad about it. https://t.co/fJrBdfIVi7",2020-05-03 21:49:17
"The securing of PPE, ventilators, testing, small business funding, and more during this pandemic has been extra personal for us in Suffolk County &amp; I want to thank @realDonaldTrump &amp; @WhiteHouse for going all in to help us on Long Island. The invisible enemy is on the run!",2020-05-03 21:04:00
