tweet,dates
"My mom is an extraordinary woman. Gracious, strong, patient, intelligent and caring. She raised 6 kids to love one another as best friends for life, and she and my dad are solid examples of partners for life. I’m so blessed to have her as my mother. 
#HappyMothersDay to all moms! https://t.co/BAft9n8kne",2020-05-10 15:09:54
I recently received a great question from a high school student in Ketchikan who asked what can be done to alleviate the economic impacts of #COVID19 on communities like Ketchikan that are so heavily reliant on tourism. #StudentCornerWithLisa https://t.co/SCvSkjYDRU,2020-05-10 01:14:57
Loved seeing the Alaska Division of Agriculture's pictures of all the Alaskans who celebrated Take Your Tractor to Work Day earlier this week. Thanks to our farmers and ranchers who are working hard to keep Alaskans fed! https://t.co/K5aKjL925s,2020-05-09 22:05:49
"Alongside @SenatorBennet &amp; @SenDanSullivan I introduced legislation to extend the Rural Community Hospital Demonstration Program for an additional 5 years, ensuring essential hospitals do not face further budget instability during such challenging times. https://t.co/rLCe7cWkAm https://t.co/E2gpaiAVCZ",2020-05-09 20:36:50
"As #TeacherAppreciationWeek comes to a close, I’d like to give a special shout-out to all the parents who have had to step into the role of “teacher” for your kids. I know this has been a difficult time in the lives of so many as we work to overcome the impacts of #COVID19. https://t.co/C538fycDNd",2020-05-09 18:34:29
"Byron Mallott was one of the state’s strongest and most passionate voices for Alaska’s first people. Having grown up in Yakutat, knowing the hardships of living in a rural community, Byron dedicated his life to advocating for a brighter future for his community. https://t.co/7kfvnSC8cZ",2020-05-09 00:41:24
"These are strange &amp; uncertain times especially for Alaskans but particularly for our teachers and students. For teachers, school closures due to #COVID19 did not mean that your job as educators was finished. You’ve made significant adjustments to continue to educate students. https://t.co/wFa83wQlrr",2020-05-08 21:19:39
I took part in the Senate HELP Cmte hearing focused on the current status of testing for #COVID19 and how the @NIH and @BARDA are working to support the rapid development of new tests for COVID-19 through the NIH RADx Initiative &amp; other programs. https://t.co/XPbaCpTzjN,2020-05-08 19:48:46
"Last week, the IRS issued guidance that no tax deductions will be allowed for paid expenses covered by forgivable portions of a Paycheck Protection Program loan, effectively levying an unforeseen tax on small businesses, contrary to the original intent of the CARES Act.",2020-05-08 16:03:37
"I’m proud to announce with @SenDanSullivan and @RepDonYoung that $50 million in fishery assistance will be heading to Alaska to help support the fisheries and seafood sector, which are a critical driver of our State’s economy. https://t.co/4YgQgZQAfk",2020-05-08 01:58:35
"Right now, I’m hosting a Teletown Hall with @SenDanSullivan and @AlaskaLabor leaders to help answer questions on unemployment insurance benefits for Alaskans experiencing the impact of #COVID19. Listen live here: https://t.co/3Huplcgf6E. https://t.co/oWXnrxcjQy",2020-05-08 00:00:55
"Alaska has done a great job mitigating the health consequences of #COVID19, but the economic consequences are just beginning. We're seeing extremely negative impacts in the energy &amp; tourism sectors as a result of this pandemic &amp; other industries are fearful of what’s to come.",2020-05-07 18:37:39
"Alaskans: Today at 4pm AKDT I'm hosting a Teletown Hall w/ @SenDanSullivan &amp; @AlaskaLabor leaders, to help address questions &amp; concerns from Alaskans regarding unemployment insurance &amp; to talk through the federal support that is available. Register here: https://t.co/3HuplbYEf6. https://t.co/VcTkKzi4qA",2020-05-07 15:21:39
