tweet,dates
Wishing every mom a happy and healthy #MothersDay https://t.co/IHSbQPd6pS,2020-05-10 15:02:09
Fossil fuels are our national treasures in Wyoming. Congress and the Trump Administration must use every resource available to ensure financial institutions do not discriminate against this industry or disadvantage our essential energy producers https://t.co/BFXN5fxW5X,2020-05-08 21:00:36
"On this day 75 years ago, the world celebrated V-E Day. We honor and remember the WWII American military personnel who answered the call of duty and helped achieve victory over tyranny in Europe. https://t.co/He8BJNGN9m",2020-05-08 16:02:18
Click on the link below to read my latest newsletter with updates on coronavirus relief efforts including updated information about accessing Paycheck Protection Program loans for small businesses. https://t.co/HVyJNMLPev https://t.co/ctznYL0KzY,2020-05-07 22:28:53
"Congress must be united to counter the threat posed by China. Earlier this year, Democrats walked away from establishing a bipartisan task force.

Instead of launching attacks against @GOPLeader &amp; @HouseGOP, why won’t they join us to defend the nation from the lies of the CCP? https://t.co/Lp8RXEEwNr",2020-05-07 18:56:45
"I'm honored to introduce a bill to name the street in front of the Chinese Embassy after Dr. Li. May this serve as a reminder to the CCP that truth and freedom will prevail, and that they will be held accountable for the devastating impact of their lies.

https://t.co/iHuum39asy",2020-05-07 18:14:21
"On this National Day of Prayer, we join together as one Nation under God to pray for healing, wisdom, and guidance through these challenging times. https://t.co/wFSN4Jjh6s",2020-05-07 17:21:37
We will never let the CCP determine what kind of future we will live in. I look forward to working with my colleagues on the China Task Force to protect America's national security. https://t.co/giYNQ2A9M5 https://t.co/AyZ17vyQlm,2020-05-07 14:49:14
"In the midst of these challenging times, teachers are continuing to serve our students from a distance. We are incredibly grateful for the inspiring role they play in our children's lives and we honor them this week. #NationalTeacherAppreciationWeek https://t.co/K7DreBK64u",2020-05-06 21:30:00
"Nurses are working around the clock, risking their lives and separating themselves from their families in order to defeat COVID-19. We thank you for your service during this time and for all you do for our communities. #NursesAppreciationWeek https://t.co/W7RsXm6Bh0",2020-05-06 18:39:10
"Since the Paycheck Protection Program was launched, more than 11,840 small businesses in Wyoming have been approved for loans to help keep employees on the payroll. More information about PPP loans, including the application, can be found here: https://t.co/6IjZ49sysq https://t.co/rkTJtdtwyU",2020-05-05 16:53:45
"I agree with former FDA Commissioner Scott Gottlieb that our next steps in the battle against coronavirus must focus on persistent prevention, screening, and treatment efforts. https://t.co/uaCEHRc1nQ",2020-05-05 13:16:07
"Today we honor our brave firefighters who work tirelessly to keep our families safe. I want to especially recognize our Wyoming firefighters who battle wildfires across the state, protecting our ranchers, farmers, and rural communities. https://t.co/MUDyN4KsSd",2020-05-04 21:51:51
"The economic shutdown caused by coronavirus has severely impacted Wyoming's energy producers. Our state's coal, gas, and oil workers need regulatory relief in order to continue providing affordable energy for American families. https://t.co/U7gpkqv6R2",2020-05-04 19:01:33
"There is no question that because of the Chinese Communist Party's lies, because of their cover-up, because of the way that they’ve operated, they caused COVID-19 to spread globally and they’ve got to be held accountable. https://t.co/mnF4errzaP",2020-05-04 16:41:06
Safeguarding our nation’s food supply is a critical component necessary to defeat the spread of coronavirus. I support the President’s use of the Defense Production Act to ensure American families have a reliable supply of food to put on their tables. https://t.co/bBE2xAhhrE,2020-04-29 22:27:34
Speaker Pelosi still refuses to consider any plan to allow the House to operate or function remotely. Sidelining and paralyzing the People's House at a moment of national crisis is unacceptable. It's time for the House to do its job.,2020-04-29 19:15:25
Click on the link below to read my latest newsletter with updates on legislation signed into law today that replenishes the Paycheck Protection Program: https://t.co/8sXPrNtSiT,2020-04-25 01:31:14
"Honored to join President Trump at the White House today where he signed legislation providing more money for the Paycheck Protection Program. 

As we help Americans who are hurting, we must also work to hold the Chinese Communist Party accountable for spreading this virus: https://t.co/b3068RtFWk",2020-04-24 21:01:53
"The Paycheck Protection Program has faced huge demand and should have been renewed weeks ago. At this time of unprecedented crisis for our nation, we must put politics aside and come together to defeat the virus and restore our economy. https://t.co/pySQGKYkDE",2020-04-24 00:00:00
The Chinese Communist Party cannot be allowed to blackmail the United States. We must lead the world in holding them accountable https://t.co/DJhUnW6aYb https://t.co/j4fdwTWKX3,2020-04-23 22:20:08
We have a huge amount of work to do. We're the representatives of the people. Speaker Pelosi needs to allow Congress to operate so we can do our job. https://t.co/uOYL3hP8XW https://t.co/pC36zzGFP9,2020-04-23 01:18:40
"Click on the link below to read my latest newsletter with updates on Paycheck Protection Program funding for Wyoming small business owners, ranchers, and farmers: https://t.co/JF9woRfwqt",2020-04-22 01:04:43
"The Paycheck Protection Program is helping save jobs by supporting 7,618 small businesses in Wyoming during the economic shutdown. There is no excuse for Speaker Pelosi to block funds for this program. PPP needs more funding now. https://t.co/VyWZxnKKvn",2020-04-21 13:54:49
"Tonight, marks the beginning of Yom Hashoah where we remember the six million Jews murdered during the Holocaust. As we remember, we also pledge #NeverAgain https://t.co/zTgfeOlC6Y",2020-04-20 23:25:24
I was honored to be asked to join the bipartisan Task Force formed by President Trump to restart the economy. Learn more about our work ahead in my latest newsletter: https://t.co/27zGnhGM8y,2020-04-16 21:53:52
"Click below to read my latest newsletter with updates on local, state, and federal efforts to support Wyoming’s hospitals, ranchers, small businesses, and working families during these turbulent times. https://t.co/gfukSP4KVO https://t.co/d7T3RhFPZk",2020-04-16 01:36:19
Speaker Pelosi and Congressional Democrats have been playing political games since the COVID-19 crisis began and they are hurting American families. More funds are desperately needed for the Paycheck Protection Program now. https://t.co/DNzG6UF9nM,2020-04-15 22:53:31
"As part of the CARES Act, WY hospitals have begun receiving money from the federal gov't and more is on the way. I will continue to fight for these resources to support our rural hospitals as they fight the virus and protect the communities they serve. https://t.co/g9u64vwroG",2020-04-15 21:01:33
"As long as the World Health Organization is doing the bidding of the Chinese Communist Party, they’re costing lives not saving lives. We must hold the CCP accountable for its lies and disinformation efforts about the spread of coronavirus. https://t.co/mFGMt8Ttal",2020-04-15 18:51:37
It is inexcusable for Speaker Pelosi to block relief for small business owners who need help right now. She needs to stop the partisan attacks and do her job. https://t.co/3lH2Snb1zY,2020-04-15 17:45:53
Click here to read my latest newsletter with updates on resources for Wyoming small businesses and hospitals impacted by COVID-19: https://t.co/nmjvZVP90W https://t.co/T8XXrv0LjH,2020-04-13 23:31:55
"I'm incredibly proud of the individuals, small businesses, and organizations in Wyoming who are going above and beyond to help our local communities as we fight the spread of COVID-19. Click here to read more about these inspiring stories from our state: https://t.co/eKvsyZC3yV https://t.co/czT9vn6Biv",2020-04-13 22:08:55
"Wyoming small business owners, ranchers, farmers, non-profits, and religious organizations can learn more about Paycheck Protection Program loans and how this program is helping to keep workers on payroll: https://t.co/0L6bSxqdjI https://t.co/1RlggyDvix",2020-04-13 19:40:13
"On the Holiest of days, we celebrate that He has risen! My family and I are wishing everyone a happy and blessed Easter Sunday! https://t.co/o7DqiVD5Gx",2020-04-12 12:18:14
Click on the link below to read my latest newsletter with updates on the work being done to ensure Wyoming communities have the necessary resources and economic support to overcome coronavirus: https://t.co/uqG5bQKdKr https://t.co/p0SCVQTHY1,2020-04-10 20:09:11
"""For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life."" -John 3:16 #GoodFriday https://t.co/ooUFyqm7rG",2020-04-10 19:04:46
Click on the link below to get the latest updates on the federal response to combating COVID-19 in the state of Wyoming: https://t.co/rbnLcs1esF https://t.co/nlUPzKzZSu,2020-04-10 01:52:44
Nancy Pelosi and Senate Democrats are once again blocking small business relief. This is despicable. The American people are going to hold Democrats accountable for blocking money to people who are hurting https://t.co/FIctvld2ea,2020-04-09 15:21:13
"It's sad for the country that Speaker Pelosi is running the House of Representatives. Now she's blocking money small businesses need to survive so she can play partisan games.

I talked more about this w/ @hughhewitt this morning. Listen here: https://t.co/ElDjAYMuAw",2020-04-09 11:50:48
Click here for the latest updates on the federal response to combating COVID-19 in my latest newsletter: https://t.co/oW2LvEynyK https://t.co/g3oYMM63kG,2020-04-09 00:52:31
Wishing everyone observing tonight a happy Passover. Chag Sameach! https://t.co/kV7s5i8sOt,2020-04-08 22:44:33
"Since the launch of the Paycheck Protection Program, I’ve been working with institutions throughout Wyoming to ensure that they are ready to assist our small business owners, ranchers, farmers, non-profits, and religious institutions. Learn more: https://t.co/fSRg6uiBOa https://t.co/6Q2yqk2mYB",2020-04-07 21:39:30
"We need to help Americans who are hurting and can do that by quickly providing more funding for the Paycheck Protection Program.

I support @senatemajldr's decision to pass a bill doing this. The House must do the same to provide aid for Americans in need. https://t.co/nOqeTGHcxF https://t.co/GLPZfnl8KW",2020-04-07 20:12:41
"Americans always rise to meet unexpected challenges in the face of adversity. Today, our medical professionals, doctors, nurses, surgeons, and emergency responders are bravely answering the call to serve when we need them the most. We thank these heroes for their tireless work. https://t.co/o1vGdj78aP",2020-04-07 15:21:03
"Our farmers, grocery store employees, truck drivers, and warehouse operators have shown incredible determination as we fight the spread of COVID-19. Thank you for keeping our shelves stocked and putting food on our tables during these challenging times. https://t.co/d2niZsxwRj",2020-04-06 20:07:12
"Click below to read my latest newsletter with updates from President Trump and the White House Coronavirus Task Force, as well as progress being made when it comes to developing therapeutics: https://t.co/KbBkkFT9gj https://t.co/zQ2HYbr8Ts",2020-04-06 19:03:12
"Starting today, Wyoming small business owners can apply for Paycheck Protection Plan loans. These loans can be used to help keep employees on your payroll. Learn more in my latest newsletter: https://t.co/K2OAflUSJG https://t.co/2ZM8owG1Ai",2020-04-03 21:38:59
"I’m pleased to see the EPA support empowering states like Wyoming to have control over our carbon sequestration enforcement. This will enhance Wyoming’s energy production opportunities, creating more jobs and economic growth for our state. Learn more: https://t.co/1VIAfNH3xL https://t.co/PLapEEBq21",2020-04-03 17:22:15
Click below to see my latest newsletter with updates on resources available for small businesses and workers impacted by coronavirus: https://t.co/OiJwCtp9eB https://t.co/1X1JjU6wkw,2020-04-02 23:56:08
It’s despicable that Speaker Pelosi is attempting to use this crisis to try and enact her radical agenda. I talked about that and more on the radio with Al Harris earlier today https://t.co/dR2o3Gyeto,2020-04-02 22:14:59
"Yesterday, I joined the Wyoming Business and Industry Federation to answer questions about what we have done in Congress to combat coronavirus and the resources available to help Wyoming small businesses. You can listen to the webinar here: https://t.co/octNiPx16z",2020-04-02 15:52:53
Click the link below to get the latest updates on what Congress has done in response to the spread of coronavirus and what you need to know moving forward: https://t.co/fjY68SN3RW https://t.co/EpY8XRLeGw,2020-04-01 23:14:14
"To ensure America continues its international energy dominance while also helping to protect essential Wyoming jobs, I joined 29 of my colleagues in sending a letter requesting federal support for our coal and soda ash industries. Learn more: https://t.co/dStaQcFUyC",2020-04-01 22:03:06
Today I joined 143 members of Congress requesting swift financial support for our cattle ranchers impacted by coronavirus. Click here to learn more: https://t.co/G8GWXxJJzP,2020-04-01 20:10:11
"The Treasury Department and the IRS announced that distribution of economic impact payments will begin in the next 3 weeks.

Read here to see if you are eligible for economic impact payments and if you need to take any action: https://t.co/uSjHHHma34 https://t.co/HZGZZWVDHe",2020-04-01 19:14:39
Wyoming small business owners: The CARES Act provides $349 billion in loans through the Paycheck Protection Program (PPP). The loans provide 8 weeks of cash-flow assistance to small businesses who maintain their payroll. Learn more on applying here: https://t.co/vwBpkwUEMx,2020-04-01 18:03:07
"Here's the latest update about action being taken to combat and defeat coronavirus, as well as answers to important questions about the distribution of economic impact payments that were a part of the CARES Act: https://t.co/v4V4EENecS https://t.co/coAcdSONe3",2020-03-31 19:40:29
"Students at Kelly Walsh High School in Casper, WY are going digital to ensure their annual Rodstock concert continues. I’m proud of these students for finding a creative &amp; safe alternative to keep this tradition alive. Watch these talented musicians here: https://t.co/HDU7mrCsMu",2020-03-31 15:42:58
Click on the link below to learn more about the updated social distancing guidance announced by the Coronavirus Task Force: https://t.co/ER3hWefF8g https://t.co/Miz4gkZydQ,2020-03-30 18:35:31
"Never before in our nation’s history have our doctors played such a critical role in leading us through a crisis. These heroes have worked around the clock, risking their lives &amp; separating themselves from their families in order to defeat this virus. Thank you for your service. https://t.co/HV4FgDsUlI",2020-03-30 17:27:06
"Following its passage in the House, President Trump is signing the CARES Act into law today. Click the link below to learn more about how this bill provides emergency aid for Wyoming workers, families, small businesses, and hospitals: https://t.co/tqUYztpPzY https://t.co/d3ldm9Hfjm",2020-03-27 20:35:11
"We have overcome every challenge we have ever faced, and we will overcome this one.

We will defeat this virus. We will restore our economy. We will heal our nation. We are Americans. https://t.co/jA9jQ1KxVX",2020-03-27 17:57:12
"""This is not a time for cynicism or invective or second-guessing. This is a time to remember that we are citizens of the greatest nation on Earth."" https://t.co/YQO4w1I63d",2020-03-27 16:24:14
"We will defeat this virus. We will restore our economy. We will heal our nation. We are Americans.

Watch my speech on the floor before the passage of The CARES Act this morning: https://t.co/epumUOgIaA",2020-03-27 16:02:42
Wyoming small business owners can learn more about the financial aid included in the latest coronavirus relief package by clicking here: https://t.co/31Evbsgk1v https://t.co/I7krWv9Vef,2020-03-26 21:08:58
Click the link below for the latest updates on how we're working to combat the global health crisis and economic crisis posed by the spread of coronavirus: https://t.co/xUxYDncT7Q https://t.co/UsGKxbQ2Ih,2020-03-25 23:56:31
"Congress and the Trump Administration are working to provide important relief for small businesses, and there are things we can all be doing to support these establishments during this difficult time: https://t.co/0W5oEC6zS4",2020-03-25 15:36:00
"On National Medal of Honor Day, we recognize the bravest Americans who have received the country’s highest honor for valor. In particular, we think about the 17 recipients of this award from Wyoming who represent the best our state and nation have to offer. https://t.co/njLD1OyYPR",2020-03-25 14:33:46
"In these very difficult times, we are grateful more than ever for our farmers and ranchers who produce America’s food. We celebrate all of you on this National Ag Day. https://t.co/HuiUOFeUIN",2020-03-24 18:59:47
