tweet,dates
"Spoke with @dallasnews about the need to protect workers:

“On Thursday, Doggett said the commission should work ‘harder to respond to those in need by removing bureaucratic barriers instead of creating new ones.’”
https://t.co/PmJxXjdckp",2020-05-10 02:05:29
"Spoke with @cbsaustin after a veteran had concerns about his GI Bill benefits—and we were able to secure assurances for him that his benefits would not be impacted.
https://t.co/VilnvApVl1",2020-05-09 22:55:16
"Pleased to see the moving work of San Antonio residents Juan Ramos and Angela Williams, members of R3 Student Outreach, recognized by Al Roker of the @TODAYshow. The show’s donation will allow them continue feeding those in need in our community. https://t.co/4VLGdKMnVh",2020-05-09 15:56:13
"Although now postponed tentatively for Aug. 7, I think back on previous gatherings. Particularly important that we honor our Chinese American neighbors and speak out against the ignorance and hostility with which they have been confronted during this pandemic. https://t.co/jXfEQIyPvf",2020-05-09 01:03:36
"Normally, this is an evening for ovations—specifically the Ovation Awards celebrating with the  Greater Austin Asian Chamber of Commerce the significant contributions of Asian-Americans to our economy and culture.

Sharing photos (and good memories) from previous years: https://t.co/LvL0aoweF1",2020-05-09 01:01:45
My grandson was ready to take over the interview and handle the hardball questions! https://t.co/bLmTOMYXs2,2020-05-08 23:42:56
"Even as the pandemic raged, creating dire PPE shortages, the Trump Admin did nothing to curb its export, and at times encouraged it.

Spoke with @USATODAY about Admin refusal to heed our warnings, the whistleblower report, and new trade data:
https://t.co/dpv5e1N2rh https://t.co/dellvj4ovO",2020-05-08 22:35:24
"Pleased to join the @HealthTechATX Coronavirus Summit. I salute the many participants involved directly in providing immediate help to our neighbors and searching for innovative longer-term solutions through tele-health, digital health, or entrepreneurship. https://t.co/u2GGJn9AJr",2020-05-08 20:08:18
"Thankful today that our friend—and music legend—Ray has recovered from #COVID19 safely.

Though Trump remains asleep at the wheel, together we are working to overcome his failures and protect one another from this deepening crisis.
https://t.co/WIYlVUXcF2",2020-05-08 18:00:38
"With children learning from home instead of at school, families are missing teachers and realizing how difficult their job is more than ever. Libby and I salute our teachers during #TeacherAppreciationWeek2020, and every week, for their incredible service to our community. https://t.co/ZxaEe4GBfQ",2020-05-08 15:48:52
"75 years after our victory over the Nazis, there are lessons to be learned on combating our current foe—#COVID19. Winston Churchill provided a defining aphorism: “There is only one thing worse than fighting with allies, and that is fighting without them.” https://t.co/RZMGkM8zFs",2020-05-08 14:35:18
"We'd normally be celebrating #OlderAmericansMonth at Mayfest now, organized by @Hacanet. I commend HACA’s good work to secure affordable housing for ATX seniors.

Though we can't gather in person, sharing photos of previous years with @MayorAdler, @CM_Renteria, &amp; HACA friends: https://t.co/U33HiCwylY",2020-05-08 13:51:15
"The @RecordingAcad MusiCares fund has long supported music industry professionals through a crisis. Their MusiCares COVID-19 Relief Fund is providing relief for those affected by this pandemic.

Music professionals can learn more and apply for funding at https://t.co/c5NjVNs3kc",2020-05-08 03:39:55
".@NAMICentralTX has programs and resources for those seeking support for mental health, including a free mental health education series.

Learn more: https://t.co/RMdYWaLfWu",2020-05-08 00:20:24
"I’m LIVE now, joined by @foundcom to discuss free tools and resources to access coverage, by @myhaam to share updates for musicians and gig workers needing health care, and by @CPPP_TX to provide important updates on the state of Medicaid in Texas. https://t.co/YsqyyQAI5N",2020-05-07 20:06:46
"In just over an hour, I'll be going live on Facebook with @CPPP_TX, @myhaam, and @foundcom to discuss health care coverage in Texas during this pandemic.

Hope you can join in this important discussion. If you have questions on health care coverage, please reply to this tweet. https://t.co/Ww9qmRaeBo",2020-05-07 18:45:32
"""'We need accountability here because with this much government money in play, there are always those who are willing to take it and not deliver,’ [Doggett] said.” https://t.co/sO38dRd2vI",2020-05-07 15:38:03
"In today’s @washingtonpost: “Rep. Lloyd Doggett (D-Tex.), who chairs the House Ways and Means health subcommittee, said in a phone interview that the chaotic nature of the market for personal protective equipment has created openings for waste."" More: https://t.co/kvnkuF9cWL",2020-05-07 15:37:47
