tweet,dates
"1/5 - I joined a letter calling on Gov. Wolf to begin to safely reopen Lancaster County on Friday, May 15. As the letter states,  the county “would prefer to do it with your cooperation, but we intend to move forward with a plan to restore Lancaster County.” https://t.co/yKtkO3ZROz",2020-05-10 17:31:24
It simply has to be the top priority. We have to focus our state’s response to #COVID19 on nursing homes to save lives and slow the spread. https://t.co/TFVECIljrH,2020-05-10 15:30:00
"Thank you to mothers across #PA11 and America for working hard each and every day. On this Mother’s Day, I want to especially thank the mothers working hard on the frontline as doctors and nurses that are helping our community fight COVID-19. https://t.co/XGHHHUt4Qy",2020-05-10 13:00:00
THREAD – 1/10 – Here’s a picture of @LNPLancasteronline’s Editorial in tomorrow’s Sunday edition. It is wrong.  It is wrong factually about an attribution to myself and wrong morally in the LNP’s continued attempt to politicize and further divide our community. https://t.co/YJjSAbLFpI,2020-05-10 01:58:03
1/2 - We need to provide additional support to nursing homes and long-term care communities to save lives and slow the spread in our community. It is not a partisan issue. It is about focusing our response where it is needed most and protecting those who are most at-risk. https://t.co/nAyasKo6PN,2020-05-09 23:47:08
"This week, I joined WDAC radio to discuss the critical importance of supporting our nursing homes and long-term care facilities and legislation I recently introduced to support student loan borrowers. Listen in here ⬇️
https://t.co/myoZ9hB1om",2020-05-09 21:21:17
"Many Americans have received their Economic Impact Payments. However, some have been delivered to family members that have died. Click Q.10 &amp; Q.41 to learn how to rectify the issue with the IRS. For a full list of answers to questions visit https://t.co/ue6Othwiyq.",2020-05-09 14:00:01
"Nursing homes and long term care facilities need help from Gov. Tom Wolf, 80% of deaths are attributable to congregate senior living facilities. By directly targeting areas where COVID-19 has hit the hardest (hotspots), we can begin to safely open certain sectors of our economy. https://t.co/P3sjXIsXJm",2020-05-08 20:39:55
"Our freedom is secured due to the brave men and women in the U.S. Armed Forces. Today, we remember and honor those who fought in World War II. 75 years ago, the Axis powers surrendered and our brave Allied forces liberated Europe. We must never forget their heroic victory. https://t.co/StGZSKXxVg",2020-05-08 17:00:00
"1/2-Thankful that @LancHealthCntr and @WelshMountain in #PA11 received nearly $750,000 to expand their testing capacities as they work on the frontlines of the battle against #COVID19. They are a critical component of our community’s healthcare system.",2020-05-08 13:04:20
"Throughout the year teachers work tirelessly to provide a quality education to students. During COVID-19 teachers across #PA11 and America are adapting to new circumstances to support their students. Thank you, teachers! https://t.co/cnhqEvrV4z",2020-05-07 19:00:00
"Today is #NationalDayOfPrayer, a tradition dating back to 1952 and Pres. Truman’s Administration. It lands at a time where our country and world are battling the unseen force of COVID-19. While, these are trying times we know that prayer and family can help us cope with them. https://t.co/melaO0KenC",2020-05-07 17:01:45
"Representing nearly 25% of the total cases in Lancaster County and tragically nearly 80% of the heartbreaking fatalities, we need a robust response to support long-term care facilities and nursing homes. https://t.co/Bv7TumIYdd",2020-05-07 13:02:40
Doctors and nurses continue to provide needed care to help fight COVID-19. Our battle with COVID-19 would not possible without the hardworking nurses in our community and across our great nation. Thank you for all of your hard work. #NationalNursesDay https://t.co/iGIPal6XQZ,2020-05-06 16:00:01
"Reem Desouky is home safely in the USA. Since her imprisonment my office has been in constant contact with the @StateDept regarding her situation. Thank you, @POTUS, @SecPompeo, and everyone at the @StateDept who worked to return Reem Desouky home. 
https://t.co/qAFK1LPT3C",2020-05-05 16:24:38
"To all of our firefighters in #PA11 and across our nation, thank you for your dedicated service. https://t.co/DgzPOWiVwa",2020-05-04 22:30:00
"1/2 - In the second round of funding for the #PaycheckProtectionProgram the average loan size is $79,000, with nearly 2 million small businesses receiving loans under $150,000. The PPP is unquestionably assisting main street jobs and family-owned businesses across the country. https://t.co/6n49IQaCok",2020-05-04 19:36:27
Listen to my interview with @RJHarrisWHP580 this morning where we discussed the critical need to reopen our economy. Small businesses can safely reopen while following CDC guidelines.  Listen below ⬇️ https://t.co/sORANvypcV,2020-05-04 16:53:44
"Need help with a federal agency? Visit my website to learn more about how my office can assist you. ⬇️⬇️⬇️
https://t.co/xJbI88uRax",2020-05-03 16:56:33
"It Is not too late to participate in the #2020Census. Visit the @uscensusbureau website below to fill out the Census and learn other ways that you can be counted. 
https://t.co/8g39hGpeVL",2020-05-02 20:57:14
"This week, I requested that @USTreasury provide flexibility to states to distribute CARES Act funding to all municipalities to provide critical support in response to #COVID19 
Read more here⬇️⬇️⬇️
 https://t.co/bQQwts6Pkx https://t.co/355zYa1kPU",2020-05-01 19:58:07
Check out these helpful tips from @PALaborIndustry to help you receive your unemployment benefits. https://t.co/AF3pekHIJ8,2020-04-30 19:03:12
