tweet,dates
"Thanks to local farms like @ShawFarmDairy and Tully Farms, folks are still able to get the groceries they need and support local businesses all while continuing to practice safe social distancing and help #SlowTheSpread of #COVID19.
https://t.co/LG1Rl6syAL",2020-05-09 19:59:16
"Today marks the 75 year anniversary of #VEDay – the end of #WWII in Europe.

Our country is thankful for the servicemembers – and the allies who fought alongside them – for their bravery and sacrifice. #VEDay75 https://t.co/f14xa2c3Ns",2020-05-08 21:54:01
"The @USPS is on life support. I just cosponsored a bill to keep the postal service &amp; its good-paying union jobs alive during #coronavirus. 

Some in Congress would let it die. We won’t let that happen. Here's why we must #SaveTheUSPS ⬇️ https://t.co/YjvEo4wgNL",2020-05-08 21:31:26
"This nurses week, I stand in solidarity with @NationalNurses &amp; nurses across the country as they demand the protections they need to do their jobs safely during the #COVID19 pandemic. We must continue getting PPE to the frontlines of this pandemic. #ProtectNurses https://t.co/wo5ZIlirgx",2020-05-08 21:01:12
"HAPPENING NOW: Join me and @VABostonHC Director Vincent Ng &amp; @HomebaseProgram’s General Jack Hammond for a Veterans Virtual Town Hall!

Click here to tune in: https://t.co/qbF0brOFGY",2020-05-08 17:35:43
"SOON: Join me and @VABostonHC Director Vincent Ng &amp; @HomebaseProgram’s General Jack Hammond for a Veterans Virtual Town Hall!

Click here to tune in: https://t.co/NQ6ndlYGTY https://t.co/UbRt8DyAHC",2020-05-08 17:19:46
"This #TeacherAppreciationWeek, I’m highlighting Heather Bussell in my #LocalHeroesSpotlight for her unwavering commitment to supporting the children enrolled at Children’s Garden Nursery School in #Ashby! (1/5) https://t.co/23gkPMiTME",2020-05-08 16:48:51
"Today should have been a celebration of Ahmaud Arbery’s 26th birthday. But sadly, his family and friends – and so many of us across America - are mourning his tragic, senseless death. (1/2) #JusticeforAhmaud
https://t.co/fi24d6z8mu",2020-05-08 14:43:00
"Yesterday, @EdLaborCmte examined the learning challenges kids are facing during #COVID19. 

We must ensure ALL students have access to the tech &amp; broadband they need to learn. Cities are fronting these costs, but the federal gov't needs to step up &amp; close the #DigitalDivide.",2020-05-08 14:22:29
"Want to know something my family and I did while we’ve been at home trying to #StopTheSpread? We completed the #2020Census online! 

It’s quick, easy, and you can do it too! Fill out your census form online at https://t.co/BSely3a4Wz. https://t.co/j0rdYOWMTU",2020-05-08 13:59:17
"TODAY:  I’m hosting a Facebook Live Veterans Town Hall at 1:30pm with @VABostonHC Director Vincent Ng &amp; @HomebaseProgram’s General Jack Hammond to answer your #COVID19 questions. 

Join us!⬇️
https://t.co/QJPLhYjMzo https://t.co/Wern2jaYCV",2020-05-08 13:40:43
"I’m thrilled to see this great federal investment in @CityofLowellMA! The plan to redevelop Ayer’s City Industrial Park will revitalize this part of the city and propel the next decade of job creation &amp; industrial revival in Lowell! 

https://t.co/HOomqIMzvz",2020-05-07 21:20:28
"VETERANS: Tomorrow at 1:30pm on Facebook Live I will be joined by @HomebaseProgram’s General Hammond and @VABostonHC Director Vincent Ng to answer your #COVID19 questions. 

Join us! More information⬇️
https://t.co/QJPLhYjMzo https://t.co/Jtj1OiYfYI",2020-05-07 21:02:01
"We need reliable, safe and affordable #childcare. 1 in every 3 working women have been deemed essential to continue providing emergency services &amp; keep the economy going through this pandemic. This is vital for them &amp; all of our parents heading back to work as businesses reopen. https://t.co/V887Kx5nNy",2020-05-07 17:10:52
"Today marks the start of National Nurses Week and is also #NationalNursesDay! We salute our nurses for their care and commitment, but in these extraordinary times, for their courage too. We are so thankful for our nurses today and every day!#NurseAppreciationWeek https://t.co/YQuRxPnWWR",2020-05-06 22:38:29
"Even as we grapple with this unprecedented global pandemic, @BetsyDeVosED continues to push her anti-student, anti-survivor agenda with no regard for the human cost.

Her decision does a tremendous disservice victims of sexual assault and harassment on college campuses. #TitleIX https://t.co/aANHdkBo1y",2020-05-06 22:11:53
We are live! Tune in now: https://t.co/G9455G1Krl,2020-05-06 18:02:14
"STARTING SOON: Be sure to tune in!

https://t.co/hAACiHHemh https://t.co/NTxIqOhyeK",2020-05-06 17:55:56
"Our incredible police officers &amp; first responders are working around the clock to keep us safe.

They are heroes and we must do more to support our state &amp; local governments who are doing everything possible to keep emergency workers healthy while at work.
https://t.co/FWSY8J4glr",2020-05-06 16:14:22
"TODAY: As we approach #MothersDay, we are reflecting on the incredible work moms are doing across our state. 

I hope you’ll join me, @RepKClark &amp; @RepPressley this afternoon at 2pm for a conversation on the challenges and the triumphs moms are experiencing during #COVID19. https://t.co/NxIimzsefR",2020-05-06 15:16:31
"Wishing a happy &amp; healthy #CincoDeMayo to the Mexican-American community in #Massachusetts, and across the country!",2020-05-05 22:13:34
"Millions across our country are struggling with mental illness and substance use disorder. During this difficult time, many find themselves in isolation with limited access to the support network and resources they need. More must be done to provide access to care. https://t.co/0GDjXul12i",2020-05-05 20:08:26
"Last Friday, I joined my @EdLaborCmte colleagues for a virtual forum to discuss our priorities amid the #coronavirus pandemic. Watch my remarks here ⬇️ https://t.co/KaG4pAvXyg",2020-05-05 19:43:15
"My first Heroes Spotlight is Nora Lopez Rojas, a Lawrence resident and @LawrenceGenHosp employee, who has been working around the clock since the #coronavirus pandemic began! (1/4) https://t.co/kweTgDQHZy",2020-05-05 17:48:09
Today I joined the #MerrimackValley Building Trades Council to discuss their work amid the #COVID19 pandemic. I am proud to stand with our hard working men and women across the Commonwealth! #UnionStrong #MA3 https://t.co/Qu1p6hbqcN,2020-05-05 16:26:45
"As we approach #MothersDay, we are reflecting on the incredible work moms are doing across our state. 

I hope you’ll join me, @RepKClark &amp; @RepPressley tomorrow at 2pm for a conversation on the challenges &amp; triumphs mothers uniquely encounter during the #COVID19 pandemic. https://t.co/LPE63H0Oxf",2020-05-05 15:52:32
This #InternationalFireFightersDay I am so thankful for our local firemen and women reporting for duty during this pandemic. Your entire community thanks you and all of our local heroes for all you do day after day!,2020-05-05 02:47:08
Today marks the start of #TeachersAppreciationWeek! We are SO thankful to our educators who have risen to the challenge of teaching remotely during this unprecedented crisis. To all of our teachers in #Massachusetts - we thank you! https://t.co/Az3aDOagF1,2020-05-04 21:59:34
"Did you miss our fifth #COVID19 tele-town hall last week? 
 
Click the link below for #coronavirus updates from @MassLtGov Karyn Polito, @SBA_NewEngland Administrator Wendell Davis and @LawrenceGenHosp President &amp; CEO Deborah Wilson! 
https://t.co/ELMIjaAlFx https://t.co/EuJ4yQ1XSw",2020-05-04 20:23:57
"59 years ago today, 13 courageous Americans embarked on a dangerous journey through the segregated south to fight back against segregation.

As we honor the #FreedomRiders, we must also recommit ourselves to their fight for justice and equality for all. https://t.co/y7lYdxuAPa",2020-05-04 18:46:45
"As we approach #MothersDay, we are reflecting on the incredible work moms are doing across our state. 

I hope you’ll join me, @RepKClark &amp; @RepPressley this Wednesday at 2pm for a conversation on the many challenges that moms across our state face during the #COVID19 pandemic. https://t.co/f74HGBU3f7",2020-05-04 18:42:31
"Admiral Gilday is a patriot who always puts his sailors first. His life of service represents the very best that the @CityofLowellMA &amp; our Commonwealth have to offer, and his values of duty &amp; sacrifice are a tremendous source of pride for our community. https://t.co/Djnyf5SLWv",2020-05-04 16:26:45
"There’s still time to shape the future for our community! You can complete the ​#2020Census​ now online, by phone, or by mail. Visit ​https://t.co/DReYzP0dIp​.",2020-05-03 22:04:54
"My thoughts are with those who have lost a loved one or have been injured or displaced as a result of this earthquake. Puerto Rico is strong and we will provide support to our fellow Americans any way they need it.

https://t.co/38nUmhjFil",2020-05-02 22:10:22
"Help the schools in our communities when their doors reopen and for the next 10 years by responding to the ​#2020Census​ now. You can answer online, by phone, or by mail. Visit ​https://t.co/DReYzP0dIp #GetCounted https://t.co/OZ3pzNQLKF",2020-05-02 18:34:37
"We must protect our workers, especially during #COVID19. Leaving our workers without proper protective equipment puts us ALL at risk. 

I stand with our workers today and every day. #MayDay2020 #EssentialWorkersDay #MayDay #InternationalWorkersDay #ProtectAllWorkers https://t.co/KlSKPPpOez",2020-05-02 00:14:13
Today is #SchoolLunchHeroDay! Thank you to all of the school lunch heroes who have stepped up during this unprecedented time. https://t.co/s6mRncXxgp,2020-05-01 18:37:05
"Do you receive SSI or VA benefits, have qualifying children under the age of 17, and haven't file a tax return in 2018 or 2019?

If so, you MUST to take further action to get your full direct cash benefit from @IRSnews!

⬇️⬇️The deadline is May 5th⬇️⬇️
https://t.co/oBGmv8c9MN",2020-05-01 17:58:45
"Haven’t filled out the #Census2020 yet? Want to help your community access resources for hospitals 🏥, schools 📒, and infrastructure 🚅?

You can respond to the 2020 Census now at https://t.co/BSely3a4Wz, by phone, or by completing the paper form mailed to your address.",2020-05-01 17:44:20
"Earlier today, I had a virtual meeting with Councils on Aging that serve communities all across #MA3. 

Each of these incredible organizations provides lifesaving and life enhancing services to our seniors.",2020-05-01 17:04:06
"If you have to go out in public, be responsible – wear a mask and maintain a safe social distance from others. If you’re wondering what that distance is, I tell my girls it’s at least one mommy, or Lori Trahan, of space between you and others. #TrahanTownHall",2020-04-30 21:14:38
"""We’ve begun to flatten the curve, but we’re not out of the woods yet. Every day that we do our part to slow the spread of COVID-19 is one day closer to safely reopening our state."" - Rep. Trahan #TrahanTownHall",2020-04-30 20:34:56
"""The weather is getting warmer, patience is wearing thin and In my home it’s getting increasingly difficult to explain to my young girls why they still can't hug their grandparents or play with friends."" - Rep. Trahan #TrahanTownHall",2020-04-30 20:34:12
"""As we continue to navigate this new normal, I want you to know that you’re not alone. The past seven weeks have been hard, and all of us are feeling the weight of this stress on our bodies and our minds."" - Rep. Trahan #TrahanTownHall",2020-04-30 20:33:44
"I want to thank @MassLtGov and our expert panelists, @SBA_NewEngland Wendell Davis and @LawrenceGenHosp  Deb Wilson, one more time for taking the time out of their busy schedules to join us.",2020-04-30 20:33:10
"""If anyone listening has a medical problem, please contact your doctor. If it's an emergency, please come to the hospital."" Deborah Wilson of @LawrenceGenHosp #TrahanTownHall",2020-04-30 20:31:58
"""Our team is meeting regularly to ensure that when we reopen, it is done with the patients' needs put first.""- Deborah Wilson of @LawrenceGenHosp #TrahanTownHall",2020-04-30 20:31:14
"""The PPP is all about payroll and all about employees. Whatever loan you do get - the goal is 75% of that goes to payroll. If you use it all for rent, it is going to be reduced."" - - @SBA_NewEngland Administrator Wendell Davis",2020-04-30 20:30:02
"""Let's say you take out a loan and ultimately you cannot hire everyone back. You're able to hire a number of employees back. Whatever amount you allocate to payroll, that amount will be forgiven."" - @SBA_NewEngland Administrator Wendell Davis",2020-04-30 20:28:35
"""PPP is a life-saver for many small businesses and I greatly appreciate the fact that the SBA has had to stand-up this brand new $660 billion program very fast. SBA has essentially had to build this plane while you’re flying it."" - Rep. Trahan #TrahanTownHall",2020-04-30 20:25:21
"During this pandemic, transparency &amp; accountability is crucial to saving lives &amp; safeguarding our health care heroes. The families we represent have placed a sacred trust in nursing homes, &amp; in return should have assurance that their loved ones’ health &amp; safety will be protected.",2020-04-30 20:24:48
"""Together with @SenMarkey and @SenWarren, I requested that CMS enact additional oversight measures to protect staff and residents at Life Care Centers and other senior living facilities from COVID-19. "" - Rep. Trahan #TrahanTownHall",2020-04-30 20:23:55
"""I became involved in the case at the Life Care Center of Nashoba Valley when local officials made us aware of the number of emergency calls made to the facility by the fire department and EMTs."" - Rep. Trahan #TrahanTownHall",2020-04-30 20:22:46
"""This pandemic has highlighted the importance of nursing homes having robust plans for emergency preparedness and infectious disease control."" - Rep. Trahan #TrahanTownHall",2020-04-30 20:21:34
"""There's no question that testing is going to become a regular part of our lives in the near future."" - Rep. Trahan #TrahanTownHall",2020-04-30 20:20:10
"""Antibody testing became available in MA last week. It looks for the presence of the antibodies in the blood stream. This indicates a person has had an immune response to COVID-19."" - Deborah Wilson of @LawrenceGenHosp #TrahanTownHall",2020-04-30 20:19:44
"""I have drafted legislation -- called the Pandemic Production Act -- which would allow the federal government to partner with industry the way we do for our national defense."" - Rep. Trahan #TrahanTownHall",2020-04-30 20:16:35
"""This country is still the beginning of this pandemic and we must reinforce our domestic manufacturing supply chain for PPE, critical medical devices, testing kits and components, as well as production of treatments and a vaccine.""- Rep. Trahan #TrahanTownHall",2020-04-30 20:14:43
"""In order to treat patients and protect frontline workers, states and hospitals have been locked in a bidding war, competing for scarce equipment as cases multiply by the hour."" - Rep. Trahan #TrahanTownHall",2020-04-30 20:13:06
"""We have a staff person that has to work full time to coordinate all the food and family donations that continue to come in. Those are the highlights of how we are trying to support our frontline workers.""- Deborah Wilson of @LawrenceGenHosp #TrahanTownHall",2020-04-30 20:11:19
"""We are very sensitive to the emotional toll that caring for such seriously ill patients can be. Mindfulness and self care are critical."" - Deborah Wilson of @LawrenceGenHosp #TrahanTownHall",2020-04-30 20:09:56
"""We are plateauing, but the patients are very sick. We have about 20 new in-patient admissions each day because of COVID-19."" - Deborah Wilson of @LawrenceGenHosp #TrahanTownHall",2020-04-30 20:07:06
"""In a good year in #MA, our office would do about $350 million loans. In that 12 days of round 1, more than $12 billion hit the streets for MA small businesses."" -@SBA_NewEngland Administrator Wendell Davis",2020-04-30 20:04:14
"""We want to make sure that the smallest of the small businesses get access to these funds."" - @SBA_NewEngland Administrator Wendell Davis #TrahanTownHall",2020-04-30 20:02:51
"""I am not aware of any bank in New England that is experiencing a backlog of applications."" - @SBA_NewEngland Administrator Wendell Davis #TrahanTownHall",2020-04-30 20:01:00
