tweet,dates
"#HappyMothersDay! 

I remember my mother's prayers and they have always followed me. They have clung to me all my life. – Abraham Lincoln https://t.co/Q5q0E1MFec",2020-05-10 12:43:27
ICYMI: Here are my comments at the @WhiteHouse meeting today with @realDonaldTrump and other GOP lawmakers: https://t.co/g6wvuNbr6B,2020-05-08 18:31:13
Today is #MilitarySpouseAppreciationDay. Thank you to the men and women who support those who risk their lives to fight for us. Your fortitude is greatly appreciated. #GodBessAmerica https://t.co/qFybF4Ts4i,2020-05-08 15:46:37
"Hundreds of millions of PPE items have been sent to #Texas to bolster their frontline #Coronavirus response! 

Thank you @realDonaldTrump! https://t.co/JdmZdBzw01",2020-05-08 11:14:55
"A better name for this committee would be 'Committee of Oligarchs to Unelect the President’ or ‘COUP’ for short,” said Rep. Louie Gohmert, a Texas Republican. @realDonaldTrump https://t.co/0p6c8ZN5Wm",2020-05-07 14:15:54
"“Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God. And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus.” - Phil 4:6-7 #NationalDayOfPrayer https://t.co/ppI91k6OpH",2020-05-07 11:57:55
"For all who sense that there is a God, may we set aside time, not just today, but routinely, to prayerfully beseech our Heavenly Father for His blessing, His protection, and His direction. #NationalDayOfPrayer https://t.co/7ph50bRhPF",2020-05-07 11:42:16
"Calling in to The @SamMaloneShow this morning at 8AM CENTRAL re: #Congress, #COVID19 and more breaking news. Listen in to @AM1070TheAnswer!",2020-05-07 10:48:37
"Talking to @tperkins on Washington Watch radio now re: Dallas, #Texas salon owner sentenced to seven days in jail. #coronavirus @FRCdc",2020-05-06 21:08:03
"“It has always been my promise to the First District of #Texas to fight for our founding Constitutional principles, &amp; it is quite gratifying that the @ACUConservative &amp; I are in basic agreement on those principles ... "" https://t.co/DTHmSRWFg7",2020-05-06 17:55:37
"“Nobody has come close to us on testing, be proud of it!” – @realDonaldTrump  #COVID19 https://t.co/tBLiCnBx8g",2020-05-06 15:42:13
'Our Nation Needs Prayer Now': Join the Virtual National Day of Prayer on Thursday https://t.co/IhdXwp88TX via @CBNNews,2020-05-06 15:33:48
The U.S. Navy Blue Angels will take to the #Texas skies on Wednesday to salute those workers on the front line battling the #coronavirus. https://t.co/B78itnRJmP,2020-05-06 12:46:29
"John Ratcliffe will be an intelligent, diligent, trustworthy, and just Director of National Intelligence. A great step! @realDonaldTrump @RepRatcliffe",2020-05-05 21:21:52
Will talk to @LarryOConnor today at 4pm CENTRAL! We’ll discuss #Congress getting back to work. Listen in to @wmalnews!,2020-05-05 20:39:04
Rep. Gohmert: Let’s get America going again before it’s too late https://t.co/txgiUgGGYW via @OANN,2020-05-05 18:37:52
Gov. Abbott provides update on COVID-19 in #Texas at 2:30 p.m. CDT https://t.co/PTBs3fNHSS,2020-05-05 17:34:11
Today is #NationalTeacherDay. Tag a teacher in your life and let them know how much you appreciate them. #ThankATeacher! https://t.co/PykcWBesEA,2020-05-05 14:07:02
Listen in to the @LarsLarsonShow show today at 4:30pm CENTRAL! We’ll discuss states reopening and more! #Congress #CoronaVirus #TXWorks #TexasBizStrong,2020-05-04 19:27:59
Natural disasters – including such pandemics as the #coronavirus outbreak – can be overwhelming &amp; also can seriously affect emotional health. @realDonaldTrump’s #WhiteHouse has set up a Disaster Distress Helpline: https://t.co/n66eehtQ7n #TexasBizStrong #TXWorks #OpenUpAmerica,2020-05-01 22:25:03
