tweet,dates
"I'm so proud to be the daughter of Lucille Beserra Roybal. She raised me and Lillian and Eddie with such love and care. Her compassion and wisdom brightened our home and our community every day. Love you, Mom.

Best wishes to all moms this #MothersDay. https://t.co/sj069VogID",2020-05-10 14:31:45
"This #NationalNursesWeek, I stand in solidarity with @NationalNurses and nurses across the country as they demand the protections they need to do their jobs safely during the #COVID19 pandemic. We need to get more PPE to the frontlines of this pandemic immediately. #ProtectNurses",2020-05-09 02:43:17
"Insto a DHS y HHS que unan a los niños con sus patrocinadores cuanto antes, y que le pongan fin al Memorando de Acuerdo que la Administración de Trump ha utilizado para deportar a sus seres queridos. Los niños necesitan ser retirados de las instalaciones congregadas AHORA. https://t.co/hYuBab1Ajy",2020-05-09 01:45:04
"I'm urging DHS &amp; HHS to unite children in their care with sponsors as quickly as possible, &amp; end the Memorandum of Agreement the Trump Admin has used to deport a child’s loved ones. COVID's rapid spread makes it even more vital that kids be removed from congregate facilities NOW. https://t.co/hYuBab1Ajy",2020-05-09 01:44:45
"Mayo es el Mes de la Concientización de la Salud Mental y es un recordatorio para que cuidemos de nuestro bienestar físico y salud mental. La pandemia puede causar sentimientos de ansiedad, estrés o depresión, lo que lleva a muchos en nuestra comunidad a sentirse abrumados. [1/3]",2020-05-09 01:23:21
"May is Mental Health Awareness Month, and it serves as a critical reminder for all of us to take care of both our physical and mental well-being. The current pandemic can cause feelings of anxiety, stress, or depression, leading many in our community to feel overwhelmed. [1/3]",2020-05-09 01:19:33
"Thanks to legislation I recently voted for, #CA40 health centers are receiving $5.2 million for COVID-19 testing from HHS. As we fight this pandemic, these funds will help expand local testing capacity as we work to contain this virus &amp; save lives. https://t.co/tq35mkHGvI",2020-05-09 01:03:45
Honrada de trabajar con @RepCartwright y colegas para presionar a OSHA en emitir normas nacionales estrictas en lugares de trabajo para mitigar la propagación de COVID-19. Debemos asegurarnos que OSHA haga cumplir estas normas críticas para proteger a TODOS nuestros trabajadores. https://t.co/OvmpMBWJai,2020-05-08 01:41:56
Honored to work with @RepCartwright &amp; colleagues in pushing OSHA to issue strong national workplace standards to mitigate COVID-19's spread. We must ensure OSHA implements &amp; enforces these critical guidelines to protect ALL our workers &amp; their communities from this deadly virus. https://t.co/OvmpMBWJai,2020-05-08 01:41:16
"Sec. DeVos' finalized Title IX rule undermines students' safety from campus sexual assault &amp; harassment, and makes it more difficult for survivors to find justice. I'm cosponsoring the College Affordability Act, which would prevent Sec. DeVos from enforcing this devastating rule.",2020-05-08 01:31:31
"On this #NationalNursesDay, we say a heartfelt thank you to our nation's nurses, who are working so hard on this pandemic's frontlines to help those suffering from COVID-19. You're our heroes! #ThankYouNurses",2020-05-07 02:47:22
"As part of my ongoing work to prevent #CA40 families from slipping into homelessness, I am proud to cosponsor the Emergency Rental Assistance and Rental Market Stabilization Act, which will provide $100 billion of urgently needed emergency rental assistance.",2020-05-07 02:26:54
"Happy 88th birthday to Sra. Juana Beatriz Gutierrez, one of the founders of Mothers of East LA and a magnificent community activist for our Eastside and SELA communities. I’ve been proud to work with her since I was first elected to the California State Assembly! https://t.co/KG9Z7EouVA",2020-05-07 00:09:30
