tweet,dates
"Read my statement on the CDC being sent to the panhandle.
https://t.co/V7X11H5grv",2020-05-04 19:04:32
"Recently, Governor Abbott announced that the stay-at-home order for Texans will end Thursday. Below is some helpful guidance on the Governor’s plan below to ensure that we continue to be #TexansHelpingTexans.
https://t.co/D739vkFvl9",2020-04-28 14:36:58
"Read my statement after the House passed H.R 266, the “Paycheck Protection Program and Heath Care Enhancement Act.” https://t.co/uWRE9kVg82",2020-04-23 22:28:20
"The Paycheck Protection Program (PPP), so vital to saving small businesses and keeping their employees on the payroll,  has run out of money.  Democratic leaders in Congress just need to say “yes” in order to keep the program working.",2020-04-21 00:11:20
"Watch my video supporting the third Coronavirus (COVID-19) relief package. 

https://t.co/70QlkaRBw2",2020-03-27 20:00:34
"Read my statement on the status of negotiations for the third Coronavirus (COVID-19) economic relief package.

https://t.co/tBjxVMnWHV",2020-03-23 19:47:17
"Today, Treasury Secretary Steven Mnuchin announced that the IRS will move the tax filing deadline to July 15th this year, providing important relief to taxpayers. Congress is also continuing to work on a bill to further assist taxpayers and the economy.",2020-03-20 19:15:53
"I appreciate the President acting quickly to sign this bill into law. It will help workers and businesses, as well as remove financial obstacles to testing. It is also important to see that children and other vulnerable populations are able to get meals.
https://t.co/KyzU8XpxA3",2020-03-19 18:07:50
"Yesterday, President Trump released new guidance on the Coronavirus (COVID-19).  It is important that we continue to do our part to slow the spread by practicing social distancing.  I have included the President’s guidance on Coronavirus below. https://t.co/mCKXsbH0Xn",2020-03-17 15:44:19
Congratulations to the Gruver girls basketball team for their win at the 2-A state championships last week!,2020-03-16 15:40:42
"Listen to my thoughts on the Coronavirus (COVID-19) outbreak.

https://t.co/r2gGTIHNxi",2020-03-13 21:21:15
"The U.S. economy continued its trend of strong job growth. Employers added 273,000 new jobs during the month of February, while the unemployment rate was 3.5%, matching its lowest level in more than 50 years. 
https://t.co/xgGZGSEKj8",2020-03-06 15:58:01
Happy Texas Independence Day! https://t.co/7qFb4AlvCK,2020-03-02 14:35:23
"Congratulations to Mr. J. Rod McCutcheon of Lake Kiowa, Texas, for receiving the @NSCsafety  2020 Robert F. Borkenstein Award. Thanks for your continued leadership in alcohol and drug-related traffic safety and important contributions to making the roads of Texas a safer place.",2020-02-19 15:07:39
"Watch me break down the budget.

https://t.co/lVCAoOdtkq",2020-02-12 18:41:00
"Those who make our freedom and way of life possible certainly deserve to have a say in choosing our government. I am proud to be an original cosponsor of the Counting All Military Votes Act with @RodneyDavis and @HouseAdmnGOP. 
https://t.co/W1otJNIbOw",2020-02-11 15:37:01
This helpful graph displays defense spending as a percent of gross domestic product. https://t.co/hwrT3yZiZq,2020-02-10 14:53:48
"Starting the new decade with a strong U.S. jobs report. 
 Employers added 225,000 jobs to the economy in January, with the average hourly earnings rising to 3.1%.
https://t.co/qIEn5A5rg0",2020-02-07 16:25:21
"Read my statement after the Senate voted 48-52 on article I and 47-53 on article II to acquit the President on both counts of impeachment.
https://t.co/1Ie0DfljuP",2020-02-05 21:56:17
Watch my video below as I discuss the history of the State of the Union and the 2020 address.https://t.co/u9zbZBsvhz,2020-02-04 23:23:11
Congratulations to HASC team member Pete Villano for being the recipient of a Federal 100 Award! https://t.co/2Qlx2qe9Rb,2020-02-04 20:48:44
"Watch my interview ahead of the 2020 State of the Union. 

https://t.co/1xIrYDeRjC",2020-02-04 17:41:46
"During the impeachment proceedings, it is important to remember that the process is not over yet.  This helpful infographic from Reuters is a good example of how the impeachment process works, and the work that remains to be done. https://t.co/TJtjZn6NJr",2020-01-15 21:10:03
"Good to meet with Professor Aaron Faver of 
@AmarilloCollege. He is helping his students learn about the importance of being involved citizens helping make the decisions that affect all of our lives. https://t.co/TbQDdNCnHc",2020-01-13 18:41:01
Good meeting with @EsperDoD at #RNDF https://t.co/nROsO2Xwvb,2019-12-07 20:36:39
#GivingTuesdayMilitary https://t.co/zjAjgFO95x,2019-12-03 16:57:44
#GivingTuesdayMilitary https://t.co/ugoazONMZS,2019-12-03 14:20:10
Congressman Thornberry got stormed with kindness this morning by military spouses on the Hill. #GivingTuesdayMilitary https://t.co/5OO2gBn84d,2019-12-03 14:11:47
"""Once again, our servicemembers are being held hostage by political games.  Every CR is wasteful and damages the ability of our military to carry out their vital missions.""  1/3",2019-11-19 20:25:47
"Be sure to thank a first responder today.  

Thank you for everything you do to keep our families and communities safe #NationalFirstRespondersDay https://t.co/IA60ECsI32",2019-10-28 22:06:48
"“I have such gratitude for being born and raised in this community and for the values and support I have received and continue to receive from the people of Donley County It’s allowed me to do all I have been able to do.” - Mac Thornberry
https://t.co/xA4Y5vskAt

@ClarendonTxNews",2019-10-03 18:43:54
"""It has been a great honor to serve the people of the 13th District of Texas as their congressman for the last 25 years. They have given me opportunities to serve the nation in ways I could have never imagined, including as Chairman of the House Armed Services Committee. (1/2)",2019-09-30 14:53:28
Happy 72nd birthday to the United States Air Force.  Thank you for your continued service to our country. #HBUSAF https://t.co/fzZ3cr4pNm,2019-09-18 15:49:53
"""September 11 is one of those days, like December 7, that we should always commemorate.  We should remember the victims and honor those who have fought to stop other terrorist attacks, especially those who sacrificed their own lives to do so."" (1 of 2)",2019-09-11 13:24:19
"""Mexico has become our largest trading partner, and no state benefits more from that trade than Texas.  Speaker Pelosi should allow a vote on the new USMCA now.  Every day without it costs jobs, customers, and a stronger economy."" - Rep. Thornberry https://t.co/Imu3fTZmnI",2019-09-10 15:39:26
