tweet,dates
"Happy Mother’s Day🌻🌟

Today I am lovingly thinking of my mother — Mary Dean, my recently departed mother-in-law — Joan Cunnane, and my incredible daughters-in-law Stephanie and Juliet. May this day remind us all of the eternal love of a mother.

#HappyMothersDay https://t.co/u0jf31jndh",2020-05-10 14:27:27
"Many Latinos are essential workers, feeding us and saving lives. 

Our legislation must lift up our Latino communities.  

Thank you for using your voices to shed light on this @RepEscobar, @RepSylviaGarcia and @RepDMP. https://t.co/DVJxCm0CyO",2020-05-08 17:05:34
"""In the House, Reps. Madeleine Dean of Pennsylvania and @RepDonBeyer of Virginia wrote a letter seeking a $2,000 payment in the next round of assistance, with provisions for additional payments to be made at least once a quarter if circumstances warrant.""

We must be bold. https://t.co/qBzqmFYIES",2020-05-08 16:50:00
"We are battling a pandemic that claimed more than 75,000 lives. Yet Trump is pushing to suspend healthcare for 20M Americans. People are dying, Mr. President, throw out your case, there could not be a worse time to tear down the ACA &amp; its protections. 

https://t.co/lhp1cFR7JF",2020-05-08 16:24:19
Need a mental break from it all? Here you go! https://t.co/G6we2ZcU8l,2020-05-08 15:38:15
"14.7% unemployment. 

20.5 million jobs lost in April.

We can not take half measures to help those suffering during this pandemic

We need bold action now. I am focused on more direct cash payments to individuals &amp; direct cash grants to small businesses

https://t.co/0Ljsck6Am0",2020-05-08 13:53:14
"Instead of focusing on getting the country through this pandemic, the President and AG Barr are corruptly focused on helping their friends. 

Gen. Flynn pled guilty to lying to the FBI. It is an assault on our rule of law to drop the charges. I'll say again, AG Barr should resign",2020-05-08 12:32:52
"My heart breaks for the family of 25-year-old Ahmaud Arbery.

#JusticeForAhmaud means we rid ourselves of white supremacy &amp; its hate-filled fear of our black brothers &amp; sisters.

Greg &amp; Travis McMichael arrests are long overdue -- they should be swiftly tried for murder. https://t.co/DwUBVS1Hwi",2020-05-08 00:53:10
"I will not stop pushing for direct support for small businesses in our next relief package. 

In the meantime, I am thankful the @MontcoPA commissioners announced $5M in economic development funds for small businesses. 

https://t.co/eGYxNBHDpx",2020-05-07 21:11:22
I applaud this decision — no one should fear losing their home during this pandemic. Thank you @GovernorTomWolf and @PAAttorneyGen for your leadership. https://t.co/VZpU73Ieyg,2020-05-07 18:11:35
