tweet,dates
"Today and every day, we honor the mothers who guide us, inspire us and push us forward. I’m thankful to my wife, Tonya, for being a great mother and example of grace and strength for our son. Happy #MothersDay! https://t.co/JDmbCB6aMJ",2020-05-10 13:23:44
"Yesterday, I joined health care experts from our Metroplex and around the Country to discuss the economic &amp; health impact of COVID-19 on minority communities. Listen to more here: 

https://t.co/FC4giHLwFR",2020-05-09 13:06:59
Health care experts from our Metroplex and around the Country will be joining me LIVE today on Facebook. Join us at 3 pm CST to discuss the economic &amp; health impact of COVID-19 on minority communities in our district. https://t.co/97Rnpx9Xyv,2020-05-08 16:30:08
"The Black &amp; Hispanic population have a higher risk of heart disease &amp; diabetes. These underlying conditions contribute to the disproportionate impact of #COVID19. Tomorrow at 3pm CST, I’ll be on FB Live w/ health experts discussing the impact of COVID-19 on minority communities. https://t.co/BWiztGHstl",2020-05-07 17:26:56
"He was out for a jog when he was violently gunned down. Out for a jog. As a father, events like this make me fearful for my son’s life. We have to do better. This young man deserves justice. #JusticeForAhmaud.

https://t.co/7vUTLc3XTJ",2020-05-07 13:56:16
"Our brave health care workers on the front lines should not be crushed by student loan debt while they help us through this pandemic.

https://t.co/leAFAGMhie",2020-05-06 21:22:04
"Our nation’s nurses have shown us time and time again what true dedication, compassion and hard work really mean. 

This #NationalNursesDay, we must honor our health care professionals by making sure they have the resources they need to save lives. https://t.co/T8tZ2S5YOA",2020-05-06 20:04:33
"This Friday at 3pm CST,  join me and health professionals on Facebook Live for a discussion  on the disproportionate impact of COVID-19 on minority communities. https://t.co/BFqdrbe1Wy",2020-05-06 16:38:36
"ICYMI: I spoke with MSNBC’s @AlexWitt about the need for more #PPP loans to become accessible for the ‘mom and pop shops’ in our Metroplex that have been suffering due to this pandemic.  
https://t.co/JDWrUNbdze",2020-05-06 15:00:26
"Today, I introduced a resolution to commemorate the month of May as Health and Fitness Month, to empower healthier lifestyles during the #COVID19 pandemic. Check out what some of our health activists &amp; professionals are doing to promote health and fitness. https://t.co/0EiLIM8lDU",2020-05-05 16:23:10
"The @TheBlackCaucus invites you to a virtual town hall discussing COVD-19 and Black America tonight at 7 PM ET. 

Make sure to RSVP here: https://t.co/lMUHQd3yV5 https://t.co/w8F2DngL7K",2020-05-04 16:56:10
ICYMI: I was on Facebook Live answering questions about the next Congressional Coronavirus response and how it will impact our #NorthTexas community. https://t.co/dZlYWBXaxm,2020-05-01 22:00:09
"During this #COVID19 crisis, #DACA recipients are working to keep everyone safe and healthy.  Join me for a webinar w/ @FWDus &amp; @NTxCommission to discuss #COVID19 &amp; DACA recipients today at 1 pm CT.
https://t.co/qOrwVPHmfJ",2020-05-01 16:44:52
"HAPPENING SOON  ⬇️

Join me on Facebook Live to discuss the Congressional Coronavirus response and get your questions answered during my Q&amp;A. https://t.co/9i8WEFl1Bq",2020-05-01 15:52:18
"Americans need access to the internet. That is why I joined Majority Whip @WhipClyburn &amp; Rep. @FrankPallone in introducing a bold framework that will equip communities with the much-needed tools they need to help during this pandemic. 
Full statement here: https://t.co/1VhzBVklpx",2020-04-30 21:29:39
"Join me for a webinar w/ @FWDus &amp; @NTxCommission to discuss the impact of #COVID19 on DACA recipients tomorrow,  at 1:00p CST. 

Register here 👇🏾
https://t.co/qOrwVPHmfJ",2020-04-30 19:32:33
"Have questions about the different programs that can help our community get through this time? 

Join me on Facebook Live this Friday at 11 am CT.",2020-04-30 15:01:21
"HAPPENING NOW:
Spanish Language Webinar on the Paycheck Protection Program (PPP) 2.0.

More info here: https://t.co/jdFTHI0Wip",2020-04-29 15:21:31
