tweet,dates
"Hoy, el senador Rubio celebra a todas las fantásticas madres en la #Florida y en todo el país, ellas juegan un rol crucial en nuestra sociedad. El senador sigue comprometido en promulgar leyes que apoyen a la familia estadounidense. ¡Feliz día de la madre! https://t.co/0zZHNVuBuk",2020-05-10 13:27:59
"Today, Senator Rubio celebrates all the fantastic mothers in #Florida and across the nation who play such a crucial role in our society, and remains committed to enacting legislation which supports and uplifts the American family. Happy #MothersDay! https://t.co/VQWVoi9qJG",2020-05-10 13:26:56
.@HHSgov announced the release of supplemental Low Income Home Energy Assistance Program (LIHEAP) funding under the #CARES Act. #Florida received more than $56 million!,2020-05-08 21:52:48
.@FEMA has announced it will reimburse @cityofpanamacty more than $1.4 million for emergency protective measures as a result of #HurricaneMichael.,2020-05-08 19:57:42
.@FEMA has announced it will reimburse @BayDistSchools more than $16 million for architectural and engineering services as a result of #HurricaneMichael.,2020-05-08 19:53:47
.@FEMA has announced it will reimburse the City of #Springfield than $10 million for debris removal as a result of #HurricaneMichael.,2020-05-08 19:53:03
.@FEMA has announced it will reimburse #Jackson County more than $9.6 million for debris removal as a result of #HurricaneMichael.,2020-05-08 19:51:33
.@FEMA has announced it will reimburse @Mexicobeachfla more than $1.2 million for damaged roadways as a result of #HurricaneMichael.,2020-05-08 19:50:53
.@FEMA has announced it will reimburse the City of #Wewahitchka more than $1.1 million to replace the Old City Hall/ Fire Station as a result of #HurricaneMichael.,2020-05-08 19:50:20
.@FEMA has announced it will reimburse @VisitWakulla County more than $1.3 million for repairs to the Mashes Sands Fishing Pier as a result of #HurricaneMichael.,2020-05-08 19:49:40
"Military spouses offer their own steadfast service to our nation as they support their loved ones in uniform. On #MilitarySpouseAppreciationDay, Sen. Rubio and Mrs. Rubio express their immense gratitude to all military spouses who stand by our military service members! https://t.co/8thSXzR1x1",2020-05-08 19:24:00
"Mientras la nación sigue trabajando para reducir la transmisión del #coronavirus, el senador Rubio lanzó una guía que detalle lo que los floridanos pueden hacer durante la pandemia para mantenerse a salvo.

Encuentre información y recursos útiles aquí ⬇️

https://t.co/8DXXfgi45d",2020-05-08 18:21:48
"As our nation continues to work to slow the spread of the #coronavirus, Senator Rubio released a guide detailing what Floridians can do during the outbreak to keep themselves and their loved ones safe.

Find helpful information and resources here👇

https://t.co/YonHZALnE9",2020-05-08 18:21:02
Today we celebrate and honor those who gave their lives to achieve the final victory against the Nazis 75 years ago. Those heroes who willingly paid the ultimate price in the fight for freedom will never be forgotten. https://t.co/wMGKptZTvp,2020-05-08 17:11:28
"Sen. Rubio released the following statement after @SecretaryRoss announced $23.6 million in fisheries assistance funding provided by the CARES Act for #Florida fisheries negatively impacted by the #coronavirus pandemic.
https://t.co/itCoH72JOH https://t.co/745ItKIZbT",2020-05-07 22:14:57
"During #HurricanePreparednessWeek, Senator Rubio released a guide detailing what you can do to prepare for the upcoming hurricane season. 

Find information and resources to help you stay safe in the event of a natural disaster below ⬇️ 

https://t.co/xYOzUwdSDo https://t.co/pLth6tfgfp",2020-05-07 20:04:06
Good news for #Florida health centers! @HRSAgov has announced $28.6 million for #coronavirus testing in Florida.,2020-05-07 19:21:03
"Senators Rubio, @SenTomCotton, @SenSasse, &amp; @RepLizCheney introduced a bill to rename the street outside the Chinese embassy in #WashingtonDC “Li Wenliang Plaza.” 

The bill honors the late Dr. Li Wenliang,  who warned the world about the #Covid_19 before the CCP silenced him.",2020-05-07 17:19:39
"¿Todavía tiene preguntas sobre los cheques de reembolso emitidos por el gobierno incluídos en el proyecto de ley CARES? 

Averigüe qué tipo de asistencia su familia y usted pueden esperar durante el #COVID19 abajo ⬇️

https://t.co/mCsNoi2PhJ",2020-05-07 16:59:15
"Still have questions about the government issued recovery rebates included in the #CARESAct? 

Find out what type of assistance you and your family can expect amid #COVID19 below ⬇️

https://t.co/H3Dd6bBySa",2020-05-07 16:58:43
"Sen. Rubio praises critical wins for #Florida in committee-passed water infrastructure bill.

Details 👇
https://t.co/0tLSjcHGho",2020-05-07 16:00:29
"On this #NationalDayofPrayer, Senator Rubio and Mrs. Rubio join their fellow Americans in giving thanks to God for the many blessings bestowed on our great nation, and pray in a special way for all those suffering from the effects of the #coronavirus. https://t.co/M1hMw1cxRt",2020-05-07 13:00:01
"🎙️TUNE IN🎙️

Sen. Marco Rubio will join @hughhewitt live @ 8:50 AM to discuss the #PaycheckProtectionProgram, #China, and reopening the economy.

Listen here ➡️ https://t.co/fq5ixPSjsT https://t.co/rHWu32jWjJ",2020-05-07 12:45:00
"During #HurricanePreparednessWeek, take the time to ensure that you and your family have what you need to stay safe in the event of a hurricane. 

Complete the Hurricane Preparedness Checklist at: 

https://t.co/MattdyJ97L https://t.co/3VtBauLuxW",2020-05-06 21:08:21
"Senator Rubio and Mrs. Rubio offer their prayers and extend their heartfelt condolences to the family of Nikima Thompson, who sadly passed away due to the #coronavirus. We are extremely grateful for Nikima’s 16 years of service as a dispatcher for @browardsheriff. https://t.co/QQo7gbl35k",2020-05-06 21:04:26
"La oficina del senador Rubio ha trabajado arduamente durante la pandemia para repatriar a miles de floridanos varados en el extranjero debido al #coronavirus. 

Si necesita información para ayudar a #FloridianosVaradosEnElExtranjero haga clic aquí ⬇️

https://t.co/AjeFKFmQQL",2020-05-06 20:33:21
"Senator Rubio’s office has worked throughout the pandemic to bring home thousands of Floridians stranded abroad due to the #coronavirus. 

Important information and resources to assist #FloridiansStuckAbroad is found below ⬇️

https://t.co/eobqWCTM56",2020-05-06 20:32:48
