tweet,dates
"U.S. unemployment has reached 14.7%, the worst levels since the Great Depression. Over 33 million jobless, 76,000 dead. American families, workers, hospitals, and small businesses continue to need help. Now is not the time for the White House to back down. https://t.co/BHx1F4TqW7",2020-05-08 17:15:01
"Imagine having the power to protect students &amp; make college campuses safer, but instead using that power to make it more difficult for survivors to find justice. Secretary DeVos’ new #TitleIX rule is shameful and makes an already broken system even worse.  https://t.co/gvHdhjifn8",2020-05-07 17:28:11
Rising authoritarianism in Central/Eastern Europe coincides w/ a huge increase in Russian/Chinese influence. The U.S. shouldn't sit idly by as we watch democracy slip away from our allies. Where is U.S. leadership on this? Why is Trump AWOL as Russia/China expand their influence? https://t.co/6EfXYXNNmM,2020-05-07 17:24:05
"So thankful for all our teachers and educators across Northern Ohio! This #TeacherAppreciationWeek, we are even more grateful to them for persevering and continuing to inspire students under unprecedented circumstances. #SendTeachersLove https://t.co/fteHGovQV6",2020-05-06 21:07:31
"👏 👏 👏
 
https://t.co/o8bc6cbvxe",2020-05-06 20:13:18
"Northern Ohio has many large communities whose residents, families, &amp; businesses pay taxes too. They shouldn't be shortchanged during a pandemic. President Trump has the power to fix this – and he should do so immediately. My Oped in the @clevelanddotcom 👇https://t.co/tk1CjKb1e9",2020-05-01 21:19:34
"Yesterday, South Korea saw its first day with no new coronavirus cases thanks to widespread testing &amp; contact tracing. That's why I support the COVID-19 TRACE Act, legislation to dramatically expand funding for contact tracing here in the U.S. https://t.co/lnyed3yvJK",2020-05-01 21:04:03
Thank you to @toledonews for its editorial support of our commonsense proposal to extend direct federal coronavirus relief funding to communities across Northern Ohio. https://t.co/Z697A7nZeg,2020-05-01 20:36:39
"Today, the response rate to the 2020 Census is about 50% nationwide. Self-response to the 2020 Census is so important to avoiding an undercount in the 2020 Census. If you haven’t already, take 10 minutes and respond to the Census today! https://t.co/eXMkaTdVYR",2020-05-01 20:34:44
"This #WorkersMemorialDay, we remember workers killed on the job and pledge to fight for stronger worker safety protections. As we battle a global pandemic, the greatest worker safety crisis in recent history, achieving improved workplace protections is more important than ever. https://t.co/qiO5lWMYnE",2020-04-28 21:47:13
Reinstate Captain Crozier. The Trump Administration’s firing was wrong and a Navy review now shows it. He is owed a heroes welcome back to the Roosevelt. https://t.co/FGwiXnPoI4,2020-04-24 22:56:50
The reassignment of one of the leading U.S. vaccine experts after he objected to COVID-19 funding going to hydroxychloroquine is alarming. I support calls for an IG investigation into the reassignment of the former Dir. of the Biomedical Advanced Research &amp; Development Authority.,2020-04-23 22:44:08
"Today, I voted for legislation that:
✅ Protects jobs by strengthening the Paycheck Protection Program (PPP)
✅Helps the smallest of small businesses 
✅Supports our hospitals &amp; frontline health professionals
✅Strengthens coronavirus testing https://t.co/4TkDhsxGg2",2020-04-23 22:33:49
Mitch McConnell’s answer to state and local governments struggling in the face of a global coronavirus pandemic? File for bankruptcy. https://t.co/CAs8H7VBvl,2020-04-22 19:51:50
"Over 45,000 Americans have died. More die everyday. We need widespread testing to safely reopen the economy. President Trump’s calls to open the economy are irresponsible, go against public health expertise, and will extend the amount and length of suffering Americans face. https://t.co/uPtx2r0GRZ",2020-04-22 17:52:10
"The facts speak for themselves. The Trump Administration oversaw a big business restaurant and hotel chain cash grab on hard working taxpayers. Again. Now we know why they resisted transparency. 
https://t.co/d3tu993QYf",2020-04-20 20:47:43
"Halting funding to the WHO in the middle of a pandemic, which has killed &gt;26,000 Americans, is wrong. The US should lead the global effort to combat infectious disease, not undercut it. https://t.co/uqWmrUHA0n",2020-04-15 17:24:56
"Truly disappointing that Americans will have to wait for their relief payment so the President can enrich his brand. Even as our country and American families battle a global public health and economic emergency, personal image will come first. https://t.co/M9G6rErRc1",2020-04-15 02:07:22
"America needs its U.S. Postal Service – to allow it to collapse in this moment would be catastrophic. USPS employs 500,000 Americans, is the largest employer of veterans, &amp; is specifically authorized in our Constitution. Congress &amp; the President must act to #SaveThePostalService",2020-04-13 16:08:31
I am very sorry to hear of the passing of a sailor aboard the USS Theodore Roosevelt. My heartfelt condolences and prayers are with the sailor’s family and fellow shipmates. https://t.co/tentVmOFKD,2020-04-13 15:52:45
"Happy #Easter to all who celebrate! While our celebrations may be different this year, our values of faith, hope, and community remain strong. From my family to yours, wishing you a safe, healthy, and joyous holiday. https://t.co/IgkgIjhRLq",2020-04-12 13:56:18
"Public health officials warn that opening the country too early risks a second wave of COVID-19 infections, increasing the number of Americans who will become ill and potentially prolonging the economic devastation. Let science &amp; our experts be the guide.
https://t.co/ceiyy3YhPQ",2020-04-10 20:38:42
"Thank you to the 180th Fighter Wing and other Ohio National Guard units for answering the call to help at the SeaGate Food Bank today. We are indebted for your service to our community, especially at this very difficult time. https://t.co/3QVDtIxYb6",2020-04-10 20:18:47
"Some positive news: Ohioans are showing the rest of the world how it is done. While there is certainly a long way to go, this data from MetroHealth shows that social-distancing has helped Ohio lower COVID-19’s peak. Let’s keep it up! https://t.co/eJyWOLl8jw",2020-04-09 17:01:28
"16M people lost their jobs in the last 3 weeks, almost 2x as many jobs lost in the Great Recession. 

Our work to flatten the curve &amp; support working families and small businesses is far from over. We’re in this together but Americans need sustained support from their government. https://t.co/VPiiNgiim1",2020-04-09 16:11:51
"This #Passover, let us be thankful and draw inspiration from the awesome strength and resilience of our Jewish community. Unprecedented circumstances remind us of the importance of working together to overcome adversity. #ChagSameach #HappyPassover https://t.co/9zbAFEJIch",2020-04-08 21:39:31
Acting Navy Secretary Thomas Modly’s move to relieve Cpt. Crozier from his command of the COVID-19 stricken USS Theodore Roosevelt was misguided. Modly’s subsequent address to the sailors aboard the Roosevelt was unbecoming of a senior military leader. Resignation was appropriate,2020-04-07 23:48:37
"Community health centers &amp; our health workers are our most precious assets in the fight against COVID-19. That's why it's so critical they get the resources they need. Glad to see &gt;$3.5M go to health centers in Toledo, Sandusky, Lorain, &amp; Cleveland. https://t.co/kcS0CwuIy2",2020-04-07 20:45:25
"The CDC is recommending that in addition to #socialdistancing, all Americans should wear cloth masks while in public to help reduce the spread of COVID-19. Don’t have a mask already? These instructions to make one at home is a good place to start. https://t.co/b0EEQ5Ddno",2020-04-07 20:29:44
Captain Crozier acted heroically to protect the Navy’s most precious asset: our sailors. His leadership &amp; selfless dedication to duty and the health and well-being of the sailors serving under his command will save lives aboard the USS Theodore Roosevelt. https://t.co/LjAAcSjVyd,2020-04-06 20:14:48
