tweet,dates
"Saddened by the loss of one of Rock and Roll’s greatest, #LittleRichard. His music and energy will live for future generations.",2020-05-09 15:08:20
"Today, we mark 75 years since one of the greatest victories in human history— the end of WWII in Europe. For generations, Americans have demonstrated heroism, resilience, and honor in conquering daunting challenges. #VEDay #VEDay75 https://t.co/Q3GURtgLdw",2020-05-08 16:35:31
"Today, I congratulate the @FIU class of 2020 graduates. While I am sure that this is not the graduation celebration anyone anticipated, the wisdom, relationships, and accomplishments gained at FIU will last long past this current global challenge. #WorldsAhead",2020-05-08 14:41:35
#Florida will receive $23.6M to help coastal and marine fisheries who have been affected by #COVID19. https://t.co/oWPKipwvHi,2020-05-08 14:14:33
Hoy sostuve un buen intercambio de información y opiniones con líderes de la comunidad #hispana sobre la respuesta del gobierno federal al #COVID19. Un diálogo productivo que incluyó sus preocupaciones y los desafíos que enfrentan.,2020-05-07 23:38:36
".@Walmart is working with @QuestDX, as well as state and local officials in #FL25 &amp; will be opening a drive-thru COVID-19 testing site at the Walmart on 9300 Nw 77th Ave in Hialeah starting tomorrow! https://t.co/qaokY3zeg0",2020-05-07 20:19:43
"As of yesterday, the #PPP had approved over 2.44 million loans in the second round of funding— totaling to more than $183 billion.

During this second round of funding, small businesses in #Florida have received $12.2 billion in critical aid!",2020-05-07 17:07:00
".@HUDgov has awarded #Florida $63 million from the Community Development Block Grant program (CDBG) as part of the #CARESAct. This funding can be used to advance public health, address #COVID19 needs, and improve housing &amp; economic issues.",2020-05-06 17:51:04
"To kick off #NurseAppreciationWeek and celebrate #NationalNursesDay, let’s take a moment to thank our nation’s nurses, especially those on the frontline of this global pandemic. Their commitment and sacrifice should never go unnoticed. https://t.co/cFWFCYYOqU",2020-05-06 15:00:43
"Taiwan’s exemplary response to #COVID19 has been marked by transparency &amp; deftness, in striking contrast to Communist China’s deception &amp; failures. The US &amp; world would benefit from including #Taiwan in international organizations, diplomacy &amp; multilateral decision-making. https://t.co/DmnbTJXwXr",2020-05-06 14:44:12
"During these trying times, we’ve witnessed the selflessness of our nation’s educators &amp; their commitment to our students. Teachers are essential building blocks in every community, and on #NationalTeachersDay and #TeacherAppreciationWeek, I’d like to say, “thank you!"" https://t.co/SF3GuQTD9n",2020-05-05 15:50:01
"A true legend, may he rest in peace. https://t.co/2CacZ5XtQe",2020-05-04 14:53:44
Praying for the resilient people of Puerto Rico as they’re forced to recover from yet another earthquake. https://t.co/sHeW0YHMve,2020-05-02 16:24:58
"Yesterday, my wife Tia and I visited @my1blood where I donated my plasma and she donated blood to help those with critical health conditions. I strongly encourage people who have recovered from COVID-19 to become a plasma donor— someone’s life could depend on it. https://t.co/ZSxmodjkeR",2020-04-30 16:18:08
"Yesterday, Congresswoman Carrie Meek celebrated her 94th birthday! Carrie is a dear friend and a living legend! Thank you, @KendrickMeek for sharing this great video with us. https://t.co/X0V8OtmDyp",2020-04-30 14:27:37
"On this special anniversary, I wish the people of #Israel a blessed and peaceful Independence Day, and take the opportunity to express our appreciation of such a close friend and democratic ally. https://t.co/cOv5wpA0J4",2020-04-29 21:07:59
Important thread on @HUDgov's relief funds allocated to #Florida as a part of the #CARESAct. https://t.co/zqoKxzgic1,2020-04-29 20:11:49
"Today, during a call with the appropriations committee, 
@stevenmnuchin1 reiterated the federal government’s efforts to ensure that #PPP funding goes to those who truly need and deserve it. We will not tolerate those who try to cheat U.S. taxpayers.",2020-04-29 18:28:37
"(1/2) Just got off the phone with a number of #FL agriculture groups. These folks work day in, day out to keep food on our table— even through the toughest circumstances.",2020-04-29 17:44:44
"#Bacardi U.S.A. announced it is donating 24,000 gallons of hand sanitizer to be distributed throughout S. Fl., and donating thousands of pieces of PPE to Jackson Memorial Hospital. Many thanks to this generous American company for stepping up for our country and our state!",2020-04-27 16:57:27
Thank you for your kindness and generosity! https://t.co/AWeVhOPYir,2020-04-25 00:47:43
"Thank you to U.S. ally Egypt for the generous donation of nearly 8 tons of medical supplies. The American people will remember those who stood with us during this unprecedented global crisis, and wish the Muslim community of Egypt, S. Fl., and around the world a blessed Ramadan.",2020-04-24 18:20:48
