tweet,dates
"This #MothersDay, we honor and thank moms everywhere for their love, guidance, and selflessness. -Team DeSaulnier https://t.co/BIxPsGZYx7",2020-05-10 12:37:46
"This #MentalHealthMonth, we must continue to destigmatize mental &amp; behavioral health so everyone who needs care can get it. If you are in need, contact the National Helpline at 1-800-662-HELP (4357) or visit https://t.co/Jb8PViqZOd. They are here to help. -Team DeSaulnier https://t.co/OZPj7twPwk",2020-05-08 19:53:34
Contra Costa County residents can now be tested for COVID-19 whether or not they have symptoms. See below for more information. -Team DeSaulnier https://t.co/9hPfr51bOy,2020-05-07 18:22:47
.@RepDebDingell &amp; Congressman DeSaulnier came to Congress at the same time and have been working together on behalf of the American people ever since. https://t.co/ZnyKNdKtal,2020-05-06 22:21:22
"On #NationalNursesDay, we extend our deepest gratitude to the men and women who selflessly care for and comfort patients every day. #Heroes -Team DeSaulnier https://t.co/uQuFcfbu00",2020-05-06 13:53:23
Happy National Teacher Appreciation Day! We are so grateful for the dedicated teachers throughout California and the country who tirelessly care for and educate our children. #ThankATeacher -Team DeSaulnier https://t.co/vjqbsSHvM7,2020-05-05 13:04:15
https://t.co/HL9EudOVTq,2020-05-04 16:02:45
".@RosaDeLauro, a member of House Leadership, author, fellow cancer survivor, &amp; Congressman DeSaulnier’s friend, joins #VirtualOfficeHours to discuss why Congress must repeal the tax break the Trump Administration has granted to big corporations at the expense of small businesses. https://t.co/KXkAdF5T8I",2020-05-02 16:10:48
"Thank you to everyone who has asked a question of our office, and welcome to our #VirtualOfficeHours. Check out the video below for answers and resources from our team. -Team DeSaulnier https://t.co/iGBCruBP5M",2020-05-01 21:36:51
"IMPORTANT UPDATE: Supplemental Security Income (SSI) beneficiaries with dependents who do not file taxes must log in to the portal below by Tuesday, May 5th to receive the full amount they are entitled to this year in their direct rebate. -Team DeSaulnier
https://t.co/G8XVwPWxVS",2020-05-01 15:33:56
