tweet,dates
Joined @KNPRnews’s Joe Schoenmann on State of #Nevada  this week to discuss my work on the @ProbSolveCaucus &amp; our recent and ongoing response efforts to #COVID19. My full interview here: https://t.co/88iKrJLmGx,2020-05-06 19:43:21
"Tune into @NewsTalk780KOH around 8:30 AM PT (11:30 AM ET), I’ll be joining @thedanmasonshow to discuss the impacts being felt by @USPS as a result of #coronavirus  and other #COVID19 related updates: https://t.co/viZ0x4WwKA",2020-05-06 15:23:48
"Spoke w/ @theNVIndy’s @hsanchez128 this week for an inside look @ the work we put in from start to finish to ensure small gaming entities became eligible for the #PPP  “It may be the most pressure I've ever felt that you have to deliver for your district"" https://t.co/EB89RVOJIE",2020-04-30 15:31:43
Great news for Nevada! More than $25 million in #coronavirus relief funds allocated to our state and local governments. Thank you @SecretaryCarson for looking out for the #SilverState during these uncertain times #HUDCARESAct @HUDgov https://t.co/O3y0fJ0bif,2020-04-29 21:07:53
"This morning, the #SBA announced it has resumed accepting applications for the #PaycheckProtectionProgram. Encouraging all small business owners in NV to head here for more info, including small gaming businesses who are now eligible for assistance: https://t.co/4MI3eUAUmS",2020-04-27 15:54:44
"Looking forward to it, Dan! Tune in around 8:05 AM PT (11:05 AM ET) to @NewsTalk780KOH. I'll be joining @thedanmasonshow for another #COVID19 update. https://t.co/inwk2GbfOS",2020-04-27 15:05:26
Preview of my interview from earlier today with @KRNV’s Karsen Buschjost. Tune in to Channel 4 around 4 PM PT for more. https://t.co/dc3EU5jLyY,2020-04-24 23:02:17
"Since the interim rule release regarding PPP funding on Apr 2, my staff and I have been working to get it fixed for small gaming entities who were left out.",2020-04-24 19:22:42
Pleased to report our efforts have paid off – small gaming businesses will officially be eligible to receive PPP funding under guidance just released by Treasury. More here: https://t.co/HdcltPuW9q,2020-04-24 15:18:35
"Congressional intent of the CARES Act’s #PPP was for ALL small businesses to be eligible. As we continue working to secure much-needed relief for all deserving small businesses in NV, here are my remarks from today’s House Small Business Committee hearing: https://t.co/xZiyZSESBO",2020-04-23 19:43:27
"Back in Washington today to vote on the Paycheck Protection Program &amp; Health Care Enhancement Act, a bill providing more relief for the job-saving programs that are helping small businesses. It also adds resources for hospitals &amp; testing. More here: https://t.co/lVxixgC6pw",2020-04-23 15:09:04
"As we continue working around Treasury &amp; SBA’s rule against small gaming entities, today I joined @repdinatitus &amp; the entire NV House delegation to introduce the Equal Access to #COVID19 Relief Act, a bill to ensure these businesses &amp; their workers get the help they deserve.",2020-04-17 19:52:42
"This is completely unacceptable. Speaker Pelosi was just touting we hadn’t even “spent a third” of the PPP “so we have time to negotiate."" 7 days later…PPP funds are GONE. We repeatedly warned Dems about this &amp; instead, they blocked a bill last week to renew PPP funding. https://t.co/L2mHlZpmB2",2020-04-16 17:20:59
"Good news is, more than $1B in relief has gone out to NV small businesses. Unfortunately, our small gaming entities are being refused help by SBA &amp; Treasury, a decision that completely flies in the face of everything the CARES Act stands for. More here: https://t.co/qKHb23dFzw",2020-04-16 00:08:48
"In my continued effort to rescue NV’s small gaming businesses &amp; their workers, today I joined the entire NV House Delegation to again denounce the SBA &amp; Treasury’s discrimination against these deserving small businesses &amp; how we plan to help: https://t.co/bwHQcES3hg",2020-04-15 23:18:34
The cultural arrogance at @SBAgov that has apparently allowed the agency to blithely decide who #Congress was attempting to help under CARES... is stunning. ICYM my recent statement on why SBA needs to implement a fix to assist small gaming businesses: https://t.co/x5DJvf7VUS,2020-04-14 22:06:34
"Nevada airports are set to receive more than $230 million in CARES Act relief that will help save jobs, address current challenges, and keep our airports operating. More here: https://t.co/tVhvoKEagd",2020-04-14 21:08:31
