tweet,dates
"Wishing each of you a very Happy Mother’s Day. Mothers are a gift to our families and Nation, and we are grateful for their selfless love—especially today.",2020-05-10 16:00:21
"Great to join @foxandfriends to discuss what states should consider as they reopen. We need to be looking at the mortality rate, not the rate of new cases, as our communities work to reopen safely. https://t.co/rwtH8rQGp0",2020-05-10 15:01:56
"In Tennessee, our pension program is fully funded, we have the lowest per-capita debt in the Nation, and no income tax. Why should Tennesseans fund the pension plan and bailouts of other states? 

Joined @JonScottFNC to discuss: https://t.co/PiPvuJid8W",2020-05-09 23:25:12
"75 years ago today, Eisenhower signed our victory in the shape of Nazi Germany's surrender papers. VE Day, the triumph of the free world over a horrific, totalitarian regime, is still a powerful reminder today: America does not give in.",2020-05-08 21:11:14
Honored to be at the White House today with @POTUS @realDonaldTrump to discuss our country's response to the coronavirus and our future challenges as we work together to mitigate this pandemic. https://t.co/UANQFfcjda,2020-05-08 19:44:31
"I’m glad to see that this week, small colleges across the country will be able to access relief. 

https://t.co/uROI0ZbUlZ https://t.co/0aZlv0OwAD",2020-05-07 21:12:07
"America has shown strength &amp; resilience in the face of unknown and unprecedented challenges as we battle this invisible enemy. Together, we have united to lift up one another and adapted our processes to provide PPE &amp; ventilators for those on our front lines fighting this virus.",2020-05-07 20:28:06
On this #NationalDayofPrayer we reaffirm the power of prayer and lean on it for strength and healing as our Nation's communities continue to fight this invisible enemy.,2020-05-07 19:44:24
"China's actions to cover up their handling of the COVID-19 outbreak have shed new light on China's hegemonic intentions. It's time for America to act. 

Read my op-ed in @RCDefense: 

https://t.co/LMlFnaW1Vh",2020-05-07 18:12:28
"Honored to serve with @SteveScalise, @Jim_Jordan, @RepWalorski, and @RepBlaine. Thank you, @GOPLeader for the opportunity to represent our conference. https://t.co/FfllPCbfNu",2020-05-07 15:34:23
"I’m honored to have been selected to represent my colleagues and the American people on this Committee. However, Congress should be passing bills to help the American people, not creating more bureaucratic committees. (1)",2020-05-07 14:18:13
"In Tennessee, we are a fiscally-responsible state. We have the lowest per-capita debt in the Nation and no income tax. @SpeakerPelosi and @SenSchumer—state bailouts are unfair to well-run states like Tennessee. 
https://t.co/konhsw7gdQ",2020-05-06 20:25:04
"On #NationalNursesDay please join me in thanking the hardworking and selfless nurses that protect our communities each and every day. 

Now more than ever, we recognize your sacrifice and admire your commitment to the well being of others above your own. You are our heroes.",2020-05-06 19:56:48
"Attention K2 Veterans: If you served from 2001-2005 in Uzbekistan and are concerned about potential toxic exposure, please follow this link: 

https://t.co/b1Gy32HMdE",2020-05-06 18:55:09
