tweet,dates
"According to TripAdvisor, the #1 thing to do in the Wisconsin Dells is the Rick Wilcox magic theater. 

Enjoy a quick magical video from @RickWilcoxMagic. https://t.co/fbH65odCl2",2020-05-10 17:04:10
"Two weeks after people threatened their lives and the lives of those around them to ""liberate Wisconsin"", 72 people have been infected with COVID-19.

I wish them all a speedy recovery.
https://t.co/XydjfewDz2",2020-05-09 19:41:21
"Stopping a plan to safely reopen our country just so you can claim you already did that will kill thousands more @realdonaldtrump. 

What you are doing will kill the very people you swore an oath to protect. https://t.co/nPpVqVmR9j",2020-05-09 16:13:44
"Roy Horn, of the famed Siegfriend &amp; Roy, passed away this week from Covid-19. 

Enjoy a sample of their classic Las Vegas magic. https://t.co/KEQeBjVA1i",2020-05-09 15:45:35
"What’s happening in the meat industry?

1⃣ Giant monopolies control most of the supply
2⃣ So COVID cases are a threat to the entire supply chain
3⃣ Workers aren’t protected, exposing thousands to COVID
4⃣ Trump doesn’t care if workers get sick and die. https://t.co/3MO17r14xX",2020-05-08 20:25:33
"Yesterday, Trump announced that one of his biggest donors would be the new head of the Postal Service.

We don't need a politicized &amp; privatized USPS.

We need an expanded USPS to support things like vote-by-mail &amp; postal banking. 

Keep the USPS public. https://t.co/MmE3ZdGqQK",2020-05-08 18:16:05
"One of the most memorable tricks in the history of magic is when David Copperfield made the statue of liberty vanish.

Enjoy this classic. https://t.co/PtQLKbkwYc",2020-05-08 15:23:39
"The U.S. unemployment rate hit 14.7% last month &amp; we lost 20.5 million jobs.

We haven't seen this kind of loss since the Great Depression.

We need @RepJayapal's #PaycheckGuaranteeAct to cover 100% of workers' salaries &amp; benefits—including retroactively. https://t.co/0TdMZdoIEE",2020-05-08 14:07:45
"Wow.

Blaming the homes of workers of color while this administration refuses to enforce any worker protections is shameful.

~5000 meat industry workers have COVID-19.

Do you think it'd be safer if they had lived at the meat processing plant instead?
https://t.co/IZlcoSUlSb",2020-05-08 01:02:48
"You want to end our entire healthcare system—including coverage of preexisting conditions—during a pandemic?

Every decision this president makes is completely idiotic.
https://t.co/VjNKXcVdga",2020-05-07 22:25:27
"Families are starving.

How can anyone in their right mind oppose the expansion of SNAP programs right now? 

We are in a crisis.

Every family deserves to have access to food.
https://t.co/z8svuhWwXX",2020-05-07 21:04:56
"The cost of reopening too early is simple:

Human lives.

If Donald Trump has some equation that sacrifices human lives for a DOW point, he can start with himself.
https://t.co/JhLbBvBfG2",2020-05-07 19:21:13
"Call it incompetence or gross negligence but the cost was over 70,000 lives and states still don't have the supplies they need to reopen.

Even when the Trump administration can be helpful, it refuses to.

This is despicable. https://t.co/uOKGROxbLv",2020-05-07 17:51:55
"Over one week last month, the number of people enrolled in work share jumped by 42%.

Up 122% in two weeks &amp; 966% in a year.

@WaysMeansCmte, expanding work share nationwide in is one of the quickest ways to stop layoffs &amp; keep people on payrolls.

It should be in CARES 2. https://t.co/fGovxvgB0B",2020-05-07 16:45:45
"Ahmaud Arbery was murdered by two white men for being Black.

It happened in February &amp; his family still hasn't seen justice.

Our justice system's deep inequities seep into every aspect of society &amp; the cost too often is Black lives.

We need justice. https://t.co/sKK5duj5QX",2020-05-07 15:46:47
".@rpaulwilson is a magician who's produced a film ""Our Magic.""

Please enjoy a clip from it showing some of the best magicians in the world. https://t.co/pjkMOblnIG",2020-05-07 13:29:07
The Amazing Dusty Moon (aka Dustin Thomas) shares a clip of his special magic for children. You can hear how much they enjoy him! https://t.co/bLW28OdyFP,2020-05-06 23:25:29
"This administration is forcing meat-processing plants to stay open without enforcing any workers protections.

Almost 5,000 meat industry workers have been infected.

Does the president think we can just ignore the virus out of existence?

Protect workers. https://t.co/twMqUcGQ0j",2020-05-06 21:39:17
"This #NationalNursesDay, let's thank nurses tirelessly working on the front lines by demanding they have the protections they need to do so.

That means standardized OSHA protections and PPE.

Nurses deserve our full support.
https://t.co/xiuJuVckby",2020-05-06 19:02:59
"Contraception is essential healthcare.

This administration's attempt to limit access to birth control prioritizes employer's religious beliefs over an employee's healthcare.

We're in the middle of a pandemic.

Now &amp; always, no one should be denied care.
https://t.co/MGNmlCdnMl",2020-05-06 16:29:02
"17 years almost to the day since Bush's ""Mission Accomplished"" speech.

Republican presidents have learned nothing in almost two decades.

What a failure. https://t.co/qyC5IJZxzC",2020-05-05 20:01:53
"We cannot allow unchecked corporations &amp; private equity firms to profit off of this pandemic.

I joined @davidcicilline &amp; others to demand a moratorium on corporate mergers during this crisis.

Inequality is prevalent across our country, we shouldn't allow a crisis to deepen it. https://t.co/rzoWrmbtBj",2020-05-05 19:01:54
"Native women and girls can no longer be ignored. 

We must put an end to the epidemic of missing and murdered indigenous women. 

I stand with @RepDebHaaland &amp; @RepDavids in supporting the #NotInvisible Act to raise awareness about #MMIW. https://t.co/N0YETQjnLO",2020-05-05 17:22:00
"The disproportionately large COVID-19 infection rates w/in communities of color build on centuries of inequality in our nation.

That’s why I joined @RepGwenMoore in demanding @fema’s response prioritize these communities. 

Anything less than direct &amp; targeted aid is inadequate. https://t.co/ujNvedLgOH",2020-05-05 16:19:41
"A global pandemic is not the moment to silence the voices of the few experts in the room.

Congress and the American people need answers.

5 years ago I remember when Republicans screamed for accountability from the president—where are they now?
https://t.co/Tm4tJSJIUM",2020-05-05 14:45:13
"Watch magician Adam Wilbur do a quick trick with four Aces that will make you wonder if you need your eyes examined. (If you do, remember, safe distancing.)
https://t.co/q7O6Lh4CTU",2020-05-05 13:07:20
"“We’ve figured out how to get all of the states enough complete testing kits to do the testing that they’ve requested""

Jared, I have literal receipts of what WI requested from this administration compared to the crumbs we received.

Are you dumb or a liar?https://t.co/x59S1x2MsW",2020-05-04 22:00:08
"65% of Americans support vote-by-mail as an alternative to voting in-person during COVID-19.

So I guess our decision is between doing what a majority of Americans wants, while keeping a totality of Americans safe.

Or we could do...the opposite?https://t.co/CZY35KLTqH",2020-05-04 18:35:05
"This president has no conscience.

In public, it's reopen, liberate &amp; MAGA.

In private, he knows we're far behind on testing and massive rallies &amp; reopening states now threatens the health of our entire nation.

This president's addiction to lying is costing thousands of lives. https://t.co/hYD7eOHMlC",2020-05-04 16:54:45
"Imagine if all the energy @senatemajldr put into defending businesses who don't protect their workers was put into...protecting workers? 

It boggles my mind that Republicans rush to defend bad behavior, instead of you know—protecting human lives. https://t.co/uFc9OaKUHB",2020-05-04 13:47:55
"With the great weekend weather, it makes you long for visiting the Wisconsin Dells. 

Magician &amp; illusionist @RickWilcoxMagic has a magic theater there. Today he offers some magic from home. https://t.co/oZhA5cVdDD",2020-05-04 13:11:00
"52 people forced to vote or work polls in WI have COVID-19.

That we know of.

Some folks will say 52 isn't that many people.

Ask them, how many people is too much?

We need national vote-by-mail b/c one person risking their life to vote is one too many.
https://t.co/MoYtHo0rrQ",2020-05-03 23:19:23
"The last month has exemplified how President Trump failed us all.

Denial of a problem until too late.

Leaving states on their own.

Hawking unproven drugs.

Trusting corporate advisors over doctors.

We need a president that puts our lives over his ego.
https://t.co/x59S1x2MsW",2020-05-03 21:32:39
"Rudy Sanchez is a CA magician (with a beautiful view!) showing you some awesome magic with objects from around his kitchen. 

Gee, I wonder if he can do the dishes by magic too?
https://t.co/FofhrMuuS5",2020-05-03 15:34:56
"This isn’t partisan.

Everyone agrees we need more testing to reopen Wisconsin safely.

So to the protestors demanding we reopen, maybe you should be asking the White House:

Where are our testing supplies?
https://t.co/PsYN2ZzSIf",2020-05-03 14:44:48
"Monopolies always expose their weaknesses in a crisis.

In the meat industry, that means infections massively straining our supply chains &amp; inadequate safety/protection standards become breeding grounds to infect workers. 

Monopolies can’t go unchecked. https://t.co/WdWTXpScLA",2020-05-02 23:29:43
"Make no mistake—states need federal support for testing during a global pandemic.

But this administration refuses to help us.

While they drag their feet, Wisconsin has to ability to utilize local companies to make up the difference.

All hands on deck. 
https://t.co/xaAxvwlhxf",2020-05-02 20:01:19
"Magician and manager Bill Herz was kind enough to share the past weeks videos about magic you can do. 

Now he shares some tricks and bets I know you’ll enjoy.
https://t.co/PNetJKzE6s",2020-05-02 16:31:31
"Expanding workshare programs in every state is key to ending widespread layoffs.

My proposal would do just that.

Workers get to keep their jobs and collect partial Unemployment Insurance—while employers get to reduce hours, instead of workers.
https://t.co/hslv21dp9p",2020-05-01 19:39:58
"Over 30 million workers laid off in the last 6 weeks. Congress must step up.

I’m proud to join @RepDanKildee’s plan for #StrongUI to support folks feeling the pain. We must have:

✅Expanded unemployment benefits
✅Cover recent college grads &amp; students
✅Boost for work sharing https://t.co/7UbSzz34Yg",2020-05-01 18:25:32
"Every day millions of frontline &amp; essential workers go to work with out any protections.

No PPE.

No OSHA standards.

No living wage.

I stand in solidarity with all of the workers striking this #MayDay. https://t.co/Sk5sL0K9R0",2020-05-01 17:19:12
"Over 3k meat industry workers have COVID-19.

But @realDonaldTrump wants to keep plants open w/out protecting workers.

@RepDavidEPrice &amp; I are demanding workers get mandatory testing, PPE &amp; enforceable standards.

We can't protect food supply chains w/out protecting workers. https://t.co/kTL1M0fNx7",2020-05-01 16:23:10
Magician and speaker @TomPescemagic teaches a trick you can do anytime for your friends. Don’t let this one pass by. https://t.co/uvPaHrPFg6,2020-05-01 15:29:27
"Wisconsin has asked for more testing supplies for a month.
 
The federal response has been minimal.
 
While this administration drags its feet, we can work with local companies like @promega &amp; @ExactSciences to triple our testing #s.
 
My latest column: https://t.co/qKSM2s600v",2020-04-30 17:53:47
"This. We need this in every state.

27% of the nation’s coronavirus deaths have been linked to long-term care facilities .

We need to expand testing so every person—staff and residents—can be tested in nursing homes and long-term care facilities.
https://t.co/bLxV3Ad3Qw",2020-04-30 15:21:13
".@cheesymagic is a funny, mystifying magician who teaches you a great card trick. 

Plus he performs a bit of spaghetti magic. Seriously. https://t.co/PwKTt4ngF2",2020-04-30 15:14:47
"Wisconsin needs more testing.

We need federal support to increase targeted testing in nursing homes, assisted living centers, for our frontline personnel &amp; for every clinic in the state.

The federal response has been a slap in our faces.

We need better.
https://t.co/qKSM2s600v",2020-04-29 23:38:23
"$500 billion corporate giveaway?

This is outrageous.

No limits on executive pay?

No requirement to save jobs?

New proposal: Don’t do this.
 https://t.co/XtYOSoOKx8",2020-04-29 21:44:48
"TONIGHT!

Tune in to https://t.co/2AwJ4yLvH5 for my Facebook Live Town Hall at 6PM CT.

I'll be giving an update on what we're doing to combat this pandemic and provide relief to working people—join &amp; ask me your questions! https://t.co/XiXNOBl3cw",2020-04-29 20:58:31
"How can WI get the tests it needs?

1⃣Full use of the DPA➡️more US-produced supplies
2⃣Central mgmt of testing supplies—Trump is failing us
3⃣Massively expand testing in WI using local biz like @promega &amp; @ExactSciences

My latest column in @WiStateJournal:https://t.co/qKSM2s600v",2020-04-29 19:01:29
"Even if we're working from home, @USProgressives are going to demand we pass a #PeoplesRecovery.

Today @ 1PM CT tune into our first remote hearing series as we discuss proposals to end layoffs through worksharing &amp; wage guarantees for all workers.  
https://t.co/0OEBaTZVZp https://t.co/gZ9CUculjF",2020-04-29 15:14:24
"This is a global pandemic &amp; Trump thinks it's the time to reward political allies &amp; punish his Democratic enemies?

We're all facing a crisis.

We need leadership that serves everyone, every state, every territory.

Failing one of us is failing us all.
https://t.co/PCU3PN4TMI",2020-04-29 13:17:59
"Magician Alexander Boyce shows you how to do some magic with everyday objects, like sugar packets. Sweet! https://t.co/OQk3XUSPBX",2020-04-29 12:30:00
"States are waiting for the president to fully use the Defense Production Act to get us testing supplies.

What does Trump do?

Use the DPA to force workers to work in unsafe meat packing plants.

Idiotic.

Get us our tests &amp; protect workers. https://t.co/P1kQrTna4C",2020-04-28 21:52:24
"Profiles in courage:

Showing everyone that a photo-op is more important than any of their lives. https://t.co/OvZY7uKiQT",2020-04-28 20:39:34
"We have long seen this president's distaste for ""science"" &amp; ""facts.""

I think we all hoped that would take a backseat to expert advice during a pandemic.

It hasn't.

Science shouldn't be political. It's facts.

We need it now more than ever.
https://t.co/iyAanXYPjz",2020-04-28 19:19:23
"This should not be partisan.

Do you want to protect the health of your community?

Do you want to ensure everyone can safely vote in November?

If so—Democrat or Republican—you should support the @USPS AND demand we have national vote-by-mail in November.
https://t.co/hMmzbDaPEE",2020-04-28 17:20:19
"This is fairly simple.

No state—WI or any other—can reopen w/out ramping up testing.

States need federal support to do that.

The President must fully use the Defense Production Act to have U.S. companies produce testing supplies.

Why slow-walk recovery?https://t.co/cTzOm0WXK0",2020-04-28 15:40:49
