tweet,dates
"To my wife, Lisa, and all the moms out there, happy Mother's Day!",2020-05-10 17:07:26
May 8 and we still don’t have a national coronavirus testing strategy. Where are the tests? https://t.co/b4w7Ek9nRt,2020-05-08 18:55:38
"We can’t just “wait and see” what happens to the millions who’ve lost their jobs and health insurance in the middle of a pandemic. They need paychecks now.
 
The next coronavirus bill should include #PaycheckSecurity for rank-and-file workers who've lost their jobs. https://t.co/CDut9GqSn0",2020-05-08 18:07:05
"This crisis has illuminated how our safety net is not set up to help gig workers, independent contractors, the self-employed, and other non-traditional workers. 

Now is the time to start building a portable benefits system that works for all Americans. https://t.co/S7M56H3UhI",2020-05-08 16:29:12
"Today on #NationalNursesDay, I just want to say THANK YOU to all of our nurses who are on the front lines of this pandemic. I appreciate you, and I’m fighting to get you the PPE and support you need. #ThankYouNurses",2020-05-06 22:10:37
"The Trump administration is actively working to dismantle protections for pre-existing conditions and kick Americans off their health insurance in the middle of a pandemic.
 
#DropTheLawsuit now https://t.co/5x9O1HLLeQ",2020-05-06 17:58:37
Make no mistake: this rollback of protections for survivors of sexual assault and harassment recklessly violates the intent behind Title IX and will undoubtedly make students less safe. https://t.co/apjxLYHLto,2020-05-06 17:24:39
"Support continues to grow for the ILLICIT CASH Act. Thank you @LisaMurkowski and @SenatorTester for signing on to our bipartisan legislation cracking down on the anonymous shell companies used by human traffickers, terrorists, money launderers, and other criminals.",2020-05-05 20:25:57
"The Trump Administration has got to stop treating the challenges facing gig workers like business as usual. States need clear guidance from the feds so they can get help to folks who need it, without making them jump through a bunch of impossible bureaucratic hoops. https://t.co/TFucB5P85l",2020-04-30 16:35:03
"#WorldImmunizationWeek couldn’t fall at a more important time this year. Yes, #VaccinesWork. We need to invest in them now more than ever. https://t.co/4AFO5E09Jz",2020-04-29 19:32:46
"This new initiative exemplifies what we need most in this moment: coherent, factual testing data. We must do more to increase testing, and I’m proud of the work we’ve done with @JohnsHopkins to create these valuable tools that can guide our efforts. https://t.co/jspUKLZOVz",2020-04-29 18:36:38
"The Senate is back in session next week, but don’t expect any work on the coronavirus crisis.
 
No hearings. No oversight. Just packing the courts with more conservative judges.
 
The American people deserve better. https://t.co/tqgLzXNz4g",2020-04-29 15:32:37
"Americans want to exercise their right to vote, and to do it without risking their health and safety. https://t.co/CEGx4AlEPp",2020-04-29 14:44:06
"No more excuses. We need to be testing millions of Americans per day to safely scale back social distancing. 
 
Where are the tests? https://t.co/FzIP37Lzyt",2020-04-28 20:54:42
"It took some tough negotiations, but we made some important improvements to this bill. More money for small businesses. More money for testing. And more resources for hospitals and local governments who sign the paychecks for our first responders and other frontline workers. https://t.co/yMpGTdqrEi",2020-04-24 21:22:16
Good. We've been telling the Trump administration that big corporations are crowding out small businesses and their workers who desperately need this assistance. Glad we are starting to get somewhere. https://t.co/WdGY6Ok0Sx,2020-04-23 16:33:18
"Another 4.4 million Americans out of work, with many losing their health insurance.
 
Congress needs to make sure every American worker keeps receiving his or her paycheck and healthcare benefits.
 
We need #PaycheckSecurity now. https://t.co/k1lxYIkCzF",2020-04-23 14:13:50
"If I can get enough retweets for my plan with @BernieSanders @SenDougJones &amp; @SenBlumenthal to guarantee paychecks for every rank-and-file worker in America (including restaurant workers), I promise to never make you people watch me cook another tuna melt. https://t.co/RKMSNZLZLy https://t.co/uGSw0I8ZLK",2020-04-22 20:01:42
Fair warning that any Senator trying to stage an intervention/explain that mayo is not a seasoning will have to sit through my pitch for a #PaycheckSecurity program to save the wages and benefits of every rank-and-file American worker (including restaurant workers). https://t.co/4BUlT90GcZ,2020-04-22 19:17:55
"There's a reason you guys didn't let me anywhere near the kitchen when I was on Top Chef! I'm gonna continue leaving the cooking to the professionals, and support my local restaurants in Congress and with lots of carry-out orders. https://t.co/bjk0BWTSfB",2020-04-22 15:58:35
"Millions are losing their jobs and healthcare due to coronavirus, but it doesn’t have to be this way.
 
I’ve got a plan with @BernieSanders @SenDougJones &amp; @SenBlumenthal to save the wages and benefits of every rank-and-file worker in America.
 
We need paycheck security now. https://t.co/uGSw0I8ZLK",2020-04-21 17:40:40
"Remember the 2017 “ICA” report from the U.S. intelligence community unanimously concluding that Russia interfered in the 2016 election?
 
The Senate Intelligence Committee went back and checked their work. On a bipartisan basis, we found the ICA's conclusions were well-supported. https://t.co/HhbBUz2Kcs",2020-04-21 15:16:18
"I’ve heard this directly from law enforcement and healthcare workers on the front lines in Virginia, and it has got to stop.
 
The administration is supposed to be coordinating this, not making the problem worse for our hospitals and first
responders.
 
https://t.co/LmHwvic7hb",2020-04-21 13:52:34
"We must never forget the suffering and inhumanity of the Holocaust, or the moral apathy that allowed it to occur. This evening on #YomHaShoah, let us remember and let us recommit to opposing bigotry in all its forms. https://t.co/5ZHvBVejcY",2020-04-20 22:47:31
"Last month the White House promised 27 million coronavirus tests would be done by the end of March. Only a fraction of that has actually been completed, and now it’s apparently the states’ problem.
 
This is not leadership. Where are the tests? https://t.co/nyNxnx8D0Y",2020-04-20 21:52:54
"Here’s your plan:
 
Strengthen Medicaid
 
Reopen the ACA marketplaces
 
Provide COBRA assistance so laid-off workers can keep their employer-sponsored insurance.
 
And do it quickly. https://t.co/rTIwQxj16z",2020-04-20 16:41:09
"If presenting objective information about threats to the United States is treated as political disloyalty to the president, our intelligence community simply cannot function as it was intended.

The consequences of this breakdown will be measured in American lives. https://t.co/mlB65WvTKA",2020-04-20 13:52:48
"To quickly recover from the economic consequences of this pandemic, we must take bold, decisive action to save American jobs and stabilize our economy through a national paycheck security program. https://t.co/uGSw0I8ZLK",2020-04-17 22:09:59
"Millions of Americans stand to lose their health insurance in the middle of a pandemic because of coronavirus layoffs. 

Future coronavirus relief efforts must make sure these Americans are able to get covered. https://t.co/B4HLlnukip",2020-04-17 21:09:14
Thank you @VaChiefs for the work you are doing to combat this pandemic. I’m going to keep fighting to get our first responders the protective equipment and resources they need to do their jobs and stay safe. https://t.co/2QEqsx1WdG,2020-04-17 20:49:59
"April is Child Abuse Prevention Month. Even during a pandemic, there’s help and resources for abused and neglected kids. With schools closed, they’re counting on their neighbors to speak up when something’s wrong. Call @Childhelp at 1-800-422-4453 for guidance and resources. https://t.co/qHFDHYRyIg",2020-04-17 18:39:05
Both Dems and Republicans want more $$$ for the Paycheck Protection Program. We need a bipartisan deal that fixes problems with PPP and also makes sure funding for small business disaster loans doesn’t run out. https://t.co/xRx9B0gjXb,2020-04-16 22:19:40
"As the U.S. works to lead the world in 5G innovation and promote wider high-speed internet coverage, it’s all the more important to put our valuable mid-band spectrum to use. I urge the @FCC to follow the Chairman’s lead and approve Virginia-based @LigadoInsights’s application. https://t.co/YnCfqXFFfx",2020-04-16 21:46:50
"Though we cannot be together in person to mark this day, I know the @Virginia_Tech community and the whole Commonwealth is united in remembering the 32 Hokies we lost 13 years ago today. #VTWeRemember https://t.co/fOo9SrVYKa",2020-04-16 16:02:19
"Fact: Virginia’s Medicaid expansion is saving lives every day during this pandemic. But because of partisan politics, we still aren’t receiving our fair share of funding, and that’s especially hitting our rural hospitals. I’m fighting to change that.
https://t.co/d3npobXQHn",2020-04-15 21:46:11
"Congress shouldn't wait until the next crisis to swoop in and catch millions of gig workers, independent contractors, and others who've been failed by our social safety net.
 
We need to patch the holes in our system now.
 
My new @sfchronicle op-ed:
https://t.co/09nzc3j3Qn",2020-04-15 19:05:57
"Every day @SBAgov fails to get these desperately needed funds to small businesses means more jobs lost and more businesses forced to close. Know folks are working hard on this, but we really need all hands on deck from the Trump administration to fix this — now. https://t.co/c9Z33HOXGA",2020-04-14 00:52:46
"I want to wish everyone celebrating the Resurrection a happy Easter Sunday. Even while celebrating remotely, let today be a day of joy, community, and hope.",2020-04-12 18:33:47
The President seems intent on purging the intelligence community of independent leaders willing to speak truth to power. The result could be disastrous. https://t.co/gl9Eqmjsgj,2020-04-10 01:52:31
"Important that a ceasefire has been called in Yemen, given the growing challenge of COVID-19. I hope warring parties around the world will listen to the UN Secretary General’s call for a global ceasefire in order to combat this pandemic. https://t.co/VebjQh2v0h",2020-04-09 21:14:48
"Sending best wishes to everyone celebrating Passover this evening. Even if you're doing a remote Seder, social distancing during a time of family and community is not easy. I hope we can all be together next year. Chag Pesach sameach!",2020-04-08 21:50:19
"The President didn't even bother coming up with an excuse for firing the intelligence community's chief watchdog.

He fired Mr. Atkinson for following the law. https://t.co/f8vhbmPWRe",2020-04-06 14:33:41
"In the midst of a national emergency, it is unconscionable that the President is once again attempting to undermine the integrity of the intelligence community by firing yet another intelligence official, the ICIG, simply for doing his job.",2020-04-04 02:57:24
