tweet,dates
"Happy Mother’s Day! During the most difficult times, moms are always there to help you make it through. Even if you’re apart today, send them your love and a heartfelt “thank you.” https://t.co/Th3Kmmbtnv",2020-05-10 17:39:35
"As #TeacherAppreciationWeek comes to a close, once again, I'd like to express the deep gratitude I have for all of the teachers out there adapting to the #COVID19 challenges to make sure their students still receive a quality education.

From one teacher to another: thank you. https://t.co/zC0o3EFQXw",2020-05-08 22:18:46
"This is a step in the right direction. Plans to reopen our local economy must be based on science and data, and there must be a diverse set of voices at the planning table. https://t.co/YwLpCMD48v",2020-05-08 18:24:54
"The U.S. unemployment rate soared to 14.7% in April. 
 
These numbers are worse for people of color.
 
18.9% unemployment for Hispanics
16.7% unemployment for African Americans
14.5% unemployment for Asians

Millions of Americans lost their jobs. They need help NOW.",2020-05-08 14:53:04
"Put my teacher hat back on to talk to @MorenoValleyUSD students and tell them more about what I do in Congress.

A common question was: Mr. Takano, when are we going to be able to get out of the house? 😅

At least they assured me that they're still getting their homework done! https://t.co/z9PB0DrWjX",2020-05-07 19:51:41
"There are 48 million Deaf or hard of hearing people in the U.S. who are currently not getting access to the #COVID19 information they need. 

The Deaf Caucus is calling on the White House to include a sign language interpreter at every COVID-19 briefing. https://t.co/ulLgbJQlMq",2020-05-07 17:33:43
"Following yesterday’s Riverside County Board of Supervisors meeting, I want to reiterate how crucial it is for the Supervisors to listen to the expertise of Dr. Cameron Kaiser as they consider their proposal to lift the county’s COVID-19 public health orders.",2020-05-07 01:51:16
"Nurses across the country are still showing up to work to save lives, even without the PPE they need.
 
On #NationalNursesDay, let's all thank these heroes — but remember that thanking them isn't enough. We must get them the PPE and resources they need to do their job safely. https://t.co/lxznDbVdDe",2020-05-06 19:03:06
HAPPENING NOW: I'm going live with @RepRaulRuizMD to discuss the Riverside County Supervisors’ vote to lift #COVID19 public health orders. Tune in: https://t.co/hlbnRbYxoi,2020-05-05 22:39:10
"Not bad! Though, I think I should get bonus points for having read, or at least partially read, every single book on my bookshelf. https://t.co/UkiRz5tpu6",2020-05-05 15:54:15
"If you want a pizza this pie, why not challenge yourself to make one from scratch? I made this margherita pizza last week and was able to squeeze in a few conference calls while waiting for the dough to rise!
 
What's your favorite pizza topping? https://t.co/HOol320ae4",2020-05-05 03:01:13
"It’s #TeacherAppreciationWeek! I know just how hard teachers work every single day and their efforts don’t stop even during difficult times.

From one teacher to countless others: Thank you! https://t.co/3bnwpRx58t",2020-05-04 21:21:27
"Monks and nuns at Phat Tue Temple in Riverside are producing 600 face shields every day for frontline healthcare workers.

I continue to be in awe of the generosity our community is exhibiting during these difficult times. Together, we'll get through this. https://t.co/EkBZx73BD8",2020-05-04 17:41:18
"I oppose the Supervisors’ proposal because any decision to re-open our local economy must be driven by science. There would be a bigger economic loss with a resurgent virus, and an even bigger loss for our communities if more people fall ill from #COVID19. https://t.co/KjeLlcz24t",2020-05-04 15:30:18
I'm concerned by the Riverside County Supervisors’ proposal to rescind the #COVID19 public health orders made by @RivCoDoc to keep our communities safe.,2020-05-01 23:06:33
It was a pleasure to talk to the students of @PerrisHigh to say hello and check in on their distance learning experience. The #COVID19 pandemic has challenged us all but it's important that students are heard and assured that they are getting the high quality education they need. https://t.co/MMiw01Ku0H,2020-05-01 18:34:43
"|￣￣￣￣￣￣￣￣￣￣￣|       
          Worker Safety
            Over Profits
              #MayDay
|＿＿＿＿＿＿＿＿＿＿＿| 
             (\__/)    ||
             (•ㅅ•)   ||
            /  　  づ",2020-05-01 16:33:49
I stand with essential workers. #MayDay,2020-05-01 14:21:47
"The #COVID19 pandemic is affecting all of us and steps must be taken to keep people safe and to protect public health – that includes protecting immigrants in detention. 

It's concerning that officials at Adelanto ICE Detention Center aren't doing enough to protect detainees.",2020-04-30 21:19:48
"30,300,000 Americans have filed for unemployment in the past six weeks. If you lost your job or if your hours were reduced due to #COVID19, you can apply for unemployment.
 
We have put together a guide with information on how to access these benefits: https://t.co/Y9avT3dCdy https://t.co/mt6dkYHPTB",2020-04-30 16:26:16
"I spoke to Dr. Angelov Farooq to discuss the Pandemic Unemployment Assistance Program which allows people who do not ordinarily pay into unemployment like self-employed individuals, independent contractors, and gig workers, to apply and get relief during the coronavirus pandemic. https://t.co/EovKSUwicS",2020-04-30 00:50:35
"Proud to see that our community is stepping up to help in many ways, including sheltering fluffy friends! 🐶 https://t.co/6uX81zm6uE",2020-04-29 20:26:09
"Congress has approved more than $670 billion in funding to support small businesses and non-profits struggling through this crisis. Now, we need to make sure that true small businesses in our communities can access these funds.
 
My office can help you navigate this process 👇 https://t.co/1eRtSg03Sf",2020-04-29 19:39:05
"Anyone surprised that I have been a Sondheim fan since my first trip to NYC during my freshman year of college? 

Excited to be back on Bad with Money with @gabydunn to talk about the economic impact of #COVID19 and what Congress is doing to help. https://t.co/gFSo4DepSo",2020-04-29 16:40:14
This is happening today! Don't forget to register ➡️ https://t.co/4ffT0ow11I https://t.co/FElhADZWmF,2020-04-28 22:48:02
"Workers are getting sick and dying from #COVID19 because OSHA is refusing to issue emergency standards to keep workers safe.

No one should have to risk their life at work. The Trump Administration must step up and protect workers. #WorkersMemorialDay https://t.co/IggjRsTfh0",2020-04-28 21:52:23
"In less than an hour, @VetAffairsDems will be holding an entirely virtual, bipartisan, live forum on #VeteranHomelessness.

It's a first in Congress' history and it can be used as a model for House committees to be able to do their important work in the age of #COVID19. Tune in! https://t.co/LiY8w2YlRE",2020-04-28 17:58:35
"It was atrocious that in the last CARES package, undocumented people and mixed-status families were shut-out from receiving the support they need. 

“We’re all in this together” means ALL of us. We must fight for our immigrant communities in the next CARES package. https://t.co/OOndsUbbDU",2020-04-28 16:58:19
"Less than 2% of Americans have been tested for #COVID19. 

Re-opening our economy is going to require a robust testing strategy.",2020-04-28 14:31:04
"I was inspired by French cooking and made short ribs braised in fennel, celery, tomatoes, and red wine. In these uncertain, and often scary times, sometimes a little comfort food helps. These short ribs got the job done.

What's your favorite comfort food? https://t.co/nmfoai1E0Z",2020-04-28 02:56:19
"The Sikh community in Riverside has prepared and distributed more than 40,000 meals to seniors and frontline workers. 

I'm inspired by the ways our community is coming together to support each other during this crisis. They deserve a huge thank you! https://t.co/KUb4BV9kU4",2020-04-27 21:32:48
"Yes, it's true, the Trump Administration is moving forward with plans to end healthcare protections for LGBTQ+ people in the middle of a pandemic. https://t.co/q4nDOdBlmu",2020-04-27 20:26:22
