tweet,dates
"Visited with mom last night. Of course, I had to wait until 7pm because she had been dropping off flowers at the doors of some “older” ladies since 11am. The joy she receives in serving others is unparalleled. Happy Mother’s Day, mom. https://t.co/nLxvTWGftG",2020-05-10 14:02:05
"Congrats Magnolia Earl on becoming the first adopted child to be named the Gerber baby!

Seeing this success story makes me proud of our efforts to promote adoption, including fighting for the Adoption Tax Credit in Congress.

https://t.co/nltH3fEp31",2020-05-09 14:51:24
"Today marks the 75th Anniversary of VE Day - when the Allied Forces heroically defeated Nazi Germany, signaling the end of WWII in Europe.

We honor all WWII veterans and their tremendous sacrifice that led to victory. #VEDay75 https://t.co/PeeGZC6KrQ",2020-05-08 20:42:08
"General Flynn was improperly targeted by the DOJ in yet another baseless attempt to ruin the lives of those supportive of @realDonaldTrump.

Now that he's been exonerated, who will be held accountable for this egregious smear campaign of a war hero?",2020-05-08 01:52:05
"It’s stories like Tom’s from Fursty’s Restaurant that demonstrate the #PaycheckProtectionProgram is providing hope for NC small businesses. As we continue to get through this pandemic, I'll continue to fight every day for the 6th District of NC. 

Now, let’s get back to work! https://t.co/6Tl9rNh0i3",2020-05-07 20:52:39
"When we pick &amp; choose our outrage, we lose sight of our values &amp; the ability to ensure justice everywhere.

We should be angry about the abuse of power in TX w/ Shelley Luther but we should be far more outraged about it in GA w/ the killing of Ahmaud Arbery. #JusticeForAhmaud",2020-05-07 14:59:56
"Prayer is a source of strength and hope for so many Americans – a source we must recognize and protect.  This #NationalDayOfPrayer, I pray that you and your family are safe, healthy, and confident that blessed times are to come. https://t.co/8WacEIM3jC",2020-05-07 13:38:24
"Americans across our nation should never live in fear that without video evidence, crimes will go unseen, voices won’t be heard, and countless innocent lives will become forgotten.

Justice for Ahmaud Arbery needs to be ensured - and served. #JusticeForAhmaud",2020-05-07 02:30:52
"Now more than ever, we’ve seen the incredible sacrifice and bravery of our health care workers. To all our nurses, thank you for showing up, staying strong and keeping North Carolinians safe. #NationalNursesDay https://t.co/TFDUMpVxLm",2020-05-06 19:06:49
"North Carolinians’ goodwill has given hope that brighter days are ahead.

This past week, North Carolina Army National Guardsmen helped plant crops to feed families in need, filling a critical gap as volunteers have had to stay home. Thank you!

https://t.co/3AKvKUhc0k",2020-05-06 13:43:10
