tweet,dates
"Wishing a Happy Mother’s Day to my mom, my wife, and all of Oklahoma’s moms! https://t.co/KlTOIWpZYW",2020-05-10 17:25:50
"Today, on the 75th anniversary of Victory in Europe, we honor all the WWII veterans who answered the call to service and sacrificed so much for our freedom. V-E Day reminds us that our country can overcome any challenge and that good will always conquer evil. #VEDay75 https://t.co/pA3Zny1mUr",2020-05-08 14:41:08
"Taiwan has donated more than 17 million masks to countries around the world, including the US, and 100,000 of the masks are coming to Oklahoma. Thank you for being a good partner in the fight against COVID-19!

https://t.co/Cvnl6d78OV",2020-05-07 16:59:21
"There’s a saying that you will never meet an atheist in a foxhole and that’s because in times of need, we need someone to turn to. There is no better time than now to pray for our families, our leaders and our country. #NationalDayofPrayer https://t.co/UUc8f1V49q",2020-05-07 14:14:06
Thank you to all the nurses who are working on the front lines of the COVID-19 pandemic to keep our families healthy! #NursesAppreciationWeek #ThankYouNurses https://t.co/4l8cSrTgeL,2020-05-06 20:53:21
"Our country has done more COVID-19 tests than any other country in the world. Thank you, @realDonaldTrump, for your leadership during this trying time! https://t.co/W06QbDJNub",2020-05-06 19:00:23
The silent crisis of missing &amp; murdered indigenous women is wreaking havoc on our families &amp; our communities. Our priority must be to protect native women &amp; children &amp; all parties have to work together to end this epidemic of violence. #MMIW #SilentCrisis https://t.co/Jjsj1V9siK,2020-05-05 19:35:00
"DON'T FORGET ➡️ DEADLINE IS TODAY FOR SSI &amp; VA BENEFICIARIES WITH DEPENDENTS! You must enter your information on this website TODAY in order to receive the extra $500 per dependent child in addition to your $1,200 economic impact payment.

https://t.co/8PuYE1PpwA",2020-05-05 18:41:37
We are experiencing an epidemic of violence in our tribal communities. I will continue to work with my colleagues to raise awareness of the silent crisis of missing and murdered indigenous women and fight against it. #MMIW #SilentCrisis #NotInvisible https://t.co/fieXkkmodf,2020-05-05 18:27:25
During this #TeacherAppreciationWeek be sure to thank a teacher in your community for all they do for our children.,2020-05-05 16:01:00
"Thank you to all the OK teachers who are helping shape our future leaders. Even though, they are not able to be in the classroom, they are still working hard to teach their students. #TeacherAppreciationWeek https://t.co/uwHmXlY3LB",2020-05-05 16:00:01
"🚨DEADLINE TODAY FOR SSI &amp; VA BENEFICIARIES W/ DEPENDENTS🚨You must enter your information on this website TODAY in order to receive the extra $500 per dependent child in addition to your $1,200 economic impact payment. https://t.co/8PuYE1PpwA",2020-05-05 13:17:30
"The Paycheck Protection Program is working! Since the additional funding was signed into law, 20,919 small businesses in Oklahoma were able to get over $877 million in loans to help save jobs.",2020-05-04 23:30:00
Thank you to all the firefighters in our communities who put their lives on the line to save others. We appreciate your selfless service. https://t.co/26HzgqlW89,2020-05-04 21:22:15
"🚨ACTION REQUIRED FOR SSI AND VA BENEFICIARIES WITH DEPENDENTS 🚨 You must enter your information on this website by tomorrow, May 5th, in order to receive the extra $500 per dependent child in addition to your $1,200 economic impact payment.

https://t.co/8PuYE1PpwA",2020-05-04 20:41:16
"Thank you to the @usairforce for honoring Oklahoma health care workers on the front lines of the COVID-19 pandemic!

https://t.co/YqKxG7Yt0t",2020-05-01 17:48:55
"The Paycheck Protection Program helps businesses, like Impact Rehab and Wellness in Okmulgee and Warn’s Home Furnishings in Okemah, keep their doors open and their employees at work. https://t.co/DuC8YYUOrW",2020-04-30 17:59:18
"REMINDER FOR SSI &amp; VA BENEFICIARIES WITH DEPENDENTS! You must enter your information on this website by May 5th in order to receive the extra $500 per dependent child in addition to your $1,200 economic impact payment.

https://t.co/9Ek5MPHJzL…/non-filers-enter-payment-info-here",2020-04-29 18:18:08
"Got a question for me about the federal government's response to #COVID19? I am hosting a Telephone Town Hall for Oklahomans tonight at 6:40pm CT. During the call, I’ll provide an update on the COVID-19 pandemic and get your feedback. You can dial 877-229-8493, Passcode: 111439.",2020-04-28 18:26:04
Our president &amp; governor are relying on experts &amp; data to help them make the decision to reopen our economy. The federal gov already stepped up to help businesses that were affected by the shutdown w/ the #PaycheckProtectionProgram &amp; it saved millions of jobs across our country.,2020-04-28 16:39:05
"ATTENTION SSI AND VA BENEFICIARIES WITH DEPENDENTS! You must enter your information on this website by May 5th in order to receive the extra $500 per dependent child in addition to your $1,200 economic impact payment. https://t.co/8PuYE1PpwA",2020-04-25 23:55:59
