tweet,dates
"To all of our moms, especially our nurses, military and law enforcement mothers, thank you so much for all you’re doing to support your families and communities. https://t.co/9yMTjVOH6x",2020-05-10 16:45:55
"Thank you to all of our teachers like Ms. Bates, at Centennial High School in Franklin, Tennessee. Ms. Bates is part of the @USIP program aimed at teaching students about international peace &amp; conflict resolution. @wcsCHS @WCSedu 
#TeacherAppreciationWeek https://t.co/AOfyyTMma9",2020-05-09 23:46:17
"This school district turned 10 of its buses into WiFi hotspots to bridge the digital divide plaguing rural communities. What an innovative and creative way to bring distance learning to students.

https://t.co/Op112MSRM3",2020-05-09 22:18:19
"Sending a great big CONGRATULATIONS to the Class of 2020! Your class possesses so much strength and courage, and we know you will do great things. https://t.co/n7CYGgu6F1",2020-05-09 18:01:24
"With China’s censorship and government control, anything other than a top score would be shocking. https://t.co/Vk0x13yjt5",2020-05-08 19:11:01
"Authoritarian regimes like China, Russia &amp; Turkey have exploited COVID-19 to consolidate power &amp; silence critics. @SenMarkey &amp; I introduced the #ProtectingHumanRightsDuringPandemicAct to ensure the United States is at the forefront of the fight to protect human rights.",2020-05-08 17:26:00
"Thank you to all the working moms who have taken on countless essential roles for families and our communities! Being on the frontlines for not only our families, but our country, these moms do it all!",2020-05-08 16:34:57
Dr. Li took great personal risk when he sounded the alarm about COVID-19 in spite of looming threats from the #CCP. Renaming the street outside the Chinese Embassy in his honor will force the #CCP to remember that truth will always prevail. https://t.co/zoQUpqWUsP,2020-05-08 15:33:00
"Despite what Adam Schiff and his deep state minions have peddled for years, we now have verified proof that there was no collusion with Russia. https://t.co/MlJXbBdCc3",2020-05-08 12:16:06
".@GenFlynn is the victim of a plot hatched at the highest levels of the @FBI to take down @realDonaldTrump.

That’s not justice. 

It’s abuse of power. 

@SidneyPowell1",2020-05-07 20:05:46
"The War Powers Resolution is a dangerous and short-sighted attempt to limit the ability of not just @realDonaldTrump, but all future presidents to protect and defend our country.",2020-05-07 19:41:21
"On #NationalDayofPrayer, it is fitting to express our gratitude for all we have and ask for mercy and healing as we navigate the coronavirus pandemic. https://t.co/VquscrqYMD",2020-05-07 18:26:41
The coronavirus does not respect geographic borders. It is a global pandemic and therefore the effort to combat it must also be global. Yet China is focused on blocking Taiwan from attending the @WHO summit – all because Taiwan stands up to the #CCP. https://t.co/BnnpDcVfbG,2020-05-07 16:24:45
I just left @SASCMajority and I’m on my way to preside over the Senate floor. https://t.co/BZXB3tvsxg,2020-05-07 15:02:45
Psalm 91 https://t.co/flQWThZB6M,2020-05-07 12:33:52
"Adam Schiff cried for transparency when he claimed the Trump campaign colluded with Russia.

Now, he refuses to release the transcripts from the House Intelligence Committee’s Russia probe.

What is Adam Schiff hiding this time?
https://t.co/02E3ou0IGq",2020-05-07 02:04:06
"The Chinese Government spent the early days of the COVID-19 outbreak destroying testing samples, intimidating doctors, and expelling journalists who refused to publish Communist Party propaganda.
 
They lied to everyone about how dangerous this virus is, &amp; they did it on purpose. https://t.co/z1MRe5tnt9",2020-05-07 00:56:37
"#ThankYouNurses 
https://t.co/GqtcMian91",2020-05-06 23:23:11
"“A bipartisan group of 19 senators has asked the Trump administration to allow recipients of small-business coronavirus relief loans to spend more of the money on nonpayroll expenses without penalty.”
https://t.co/7mHJz152JS",2020-05-06 20:53:16
".@VernBuchanan’s companion bill to @SenatorMenendez and my SAM-C Act shows growing momentum in bringing our drug manufacturing back to the US. 

We cannot rely on Chinese supply chains anymore. https://t.co/kucQ4vBlrl",2020-05-06 20:06:10
We can’t shake hands right now because China and the @WHO sealed the deal with a handshake to keep the coronavirus a secret. https://t.co/6t8bEdPrTK,2020-05-06 19:13:49
Thank you to all of our nurses and frontline workers for your selfless sacrifice. Your hard work does not go unnoticed. #NationalNursesDay https://t.co/z0s9dwP7Or,2020-05-06 18:45:46
"Discussing my Stop COVID Act with @kevcirilli, which will hold Communist China accountable for lying to the world. https://t.co/4N1xA370Wl",2020-05-06 16:39:28
"China lied to the world and failed to #StopCOVID. 

Americans should be able to sue the Chinese Communist Party and its minions for the damage they’ve inflicted. #CCP",2020-05-06 14:36:07
