tweet,dates
"Happy Mother’s Day! I hope all the moms out there have a blessed Mother’s Day, no matter how you may be spending it. My thoughts are w/ those moms who are spending this holiday away from their families. https://t.co/YhAoxUVcqj",2020-05-10 14:34:03
"Thank you for having us, @_GlobalWIN! I enjoyed our productive discussion this morning w/ my colleague &amp; friend @DWStweets about ways in which women &amp; moms have adjusted during #COVID19. https://t.co/GxPynvwRcZ",2020-05-08 18:58:35
"Please continue to adhere to all safety guidelines as issued by our government leaders, @ALPublicHealth, &amp; @CDCgov. These guidelines are vital to the health &amp; well-being of our communities. Click below to read more about the changes made &amp; those that remain the same: https://t.co/X2LpPGD9Zq",2020-05-08 17:09:39
"I join many Americans today to lift the country up in prayer. As we face several challenges &amp; uncertainties, there’s no better time to come together &amp; pray over our great nation &amp; our resilient people. May God bless each of you, &amp; may He continue to bless this wonderful country. https://t.co/cW9kikG1yA",2020-05-07 16:10:32
"DID YOU KNOW: an 1100 ft asteroid will pass close to Earth in 2029? Days after Space Day, we are again reminded of the need for a strong space presence. The Space Launch System (SLS) managed out of @NASA_Marshall could be used for planetary protection in dealing w/ these threats. https://t.co/QSJnBRswh5",2020-05-05 18:11:50
"I'd like to give a very special THANK YOU to all of the teachers across our state &amp; nation, especially during these challenging times. We are grateful for the passion and immense work our teachers put forth to educate the youth of America! https://t.co/eSv0lIO5Ae",2020-05-05 18:01:58
Here is the flight path for the Alabama National Guard’s flyover of Montgomery. Watch now! https://t.co/kUr0u3tQe2,2020-05-05 17:06:50
"Be sure to catch the Alabama National Guard’s flyover honoring healthcare workers, first responders, essential employees, &amp; all those serving to support #COVID19 response efforts starting at noon! https://t.co/U2btOsduvd",2020-05-05 14:23:50
"During #MilitaryAppreciationMonth, we recognize the daily sacrifices made by our incredibly strong men &amp; women in uniform. Thank you for your selfless service to our country. https://t.co/Ef7qPdHNwa",2020-05-04 18:41:54
Don't miss @DannellyField's F-16s fly over hospitals &amp; communities across the state to honor our Alabama heroes working on the frontlines to combat #COVID19. The flyover will take place tomorrow beginning at noon. Please see below for the flight path in Montgomery &amp; Dothan: https://t.co/gTeD4Yfake,2020-05-04 17:33:05
"Now more than ever, it is in the best interest of the people of Alabama &amp; vital to the health &amp; well-being of all Americans that we do not deter our efforts to combat #COVID19. Read more from my Weekly Column via @yhn: https://t.co/HDQdO6TkQA",2020-05-04 13:51:17
Thank you @michaelcburgess for taking time to talk w/ hospitals from across Alabama’s Second District! We had a productive discussion about available resources that provide support for our nation’s hospitals facing challenges from #COVID19. https://t.co/jNNaP7TXoJ,2020-05-01 20:53:56
"Please keep these updates in mind as Alabama transitions today to follow @GovernorKayIvey's ""Safer at Home"" guidelines. Your participation in this process greatly impacts the state's road to recovery as we continue to combat #COVID19. https://t.co/qDNlesSGxu",2020-05-01 17:33:11
I'm grateful for the opportunity today to spend time in Troy w/ Army Secretary Ryan McCarthy &amp; Sgt. Maj. Michael Grinston visiting w/ @LockheedMartin's committed workforce. Thank you for your dedication to our men &amp; women in uniform. Great to have you in #AL02 @SecArmy @16thSma!,2020-04-29 21:49:12
"🚨To guarantee the smallest lenders &amp; their small business customers have access to the @SBAgov Paycheck Protection Program (PPP), SBA will ONLY accept loans from lending institutions w/ asset sizes less than $1 billion starting TODAY at 4:00pm until 11:59pm Eastern time.🚨",2020-04-29 18:55:37
"I'm grateful for @GovernorKayIvey's measured approach to reopen Alabama's economy. The new ""Safer at Home"" guidelines prioritize the health &amp; safety of all Alabamians, which is a critical component in the process to return to our daily routines.",2020-04-28 16:14:41
"The Paycheck Protection Program, or PPP, resumed the acceptance of applications yesterday. Here is more information from @SBAgov on how to apply: https://t.co/c4wuSKbrPe",2020-04-28 14:23:29
Please continue to protect yourself &amp; others by adhering to all guidelines put in place by our government officials. Following proper protocols will help determine how we all progress to fight #COVID19 &amp; the economic impacts it has brought w/ it. Read more from my Weekly Column: https://t.co/qPLiiHyxhh,2020-04-26 01:33:28
Thank you to all our healthcare professionals for your dedicated work in the fight against #COVID19! https://t.co/1l6wscpULm,2020-04-24 16:58:55
Today I voted in support of the bipartisan deal replenishing the Paycheck Protection Program to help American small businesses.,2020-04-23 22:20:10
It's important to remember this helpful information from @CDCgov about #COVID19. These facts &amp; tips can help protect yourself &amp; others from infection. https://t.co/xwHi4gzWyt,2020-04-23 18:21:01
"To show appreciation for our healthcare workers &amp; first responders, @McDonalds is offering ""Thank You"" meals at no charge nationwide to these frontline fighters now through May 5. Read more here: https://t.co/6NGLKgGSqi",2020-04-22 15:18:34
"The Senate just passed the Paycheck Protection Program &amp; Health Care Enhancement Act providing additional relief to combat #COVID19. The House is now prepared to pass this bill bringing support for our hospitals, expanding testing capacities, &amp; PPP funds for our small businesses.",2020-04-21 21:20:46
Please be sure to tune in now to @GovernorKayIvey’s press conference w/ the latest updates on Alabama’s #COVID19 response efforts. https://t.co/ui5yDxsfQz,2020-04-21 16:02:46
"Severe high winds passed through the Wiregrass last night, claiming the life of a Henry County resident. My deepest condolences are w/ the loved ones of Mr. Jerry Oliver Williams, Jr. Please keep those impacted in your prayers during this time.",2020-04-20 19:24:21
"I'm confident Congress will act this week to replenish the resources that have already been exhausted from the CARES Act, including the Paycheck Protection Program (PPP). It's imperative for our American small businesses affected by #COVID19 to access to these helpful resources.",2020-04-20 17:41:44
"If you are in any of these risk areas, be sure to stay informed on weather alerts &amp; warnings from your local weather source. https://t.co/ChISmtBaSG",2020-04-19 17:40:17
