tweet,dates
"There is a disease more devastating than COVID-19 and it’s on the rise. It’s called ignorance.

https://t.co/PY1HL5Pbha",2020-05-09 16:42:58
https://t.co/M0CH3Eo6vf,2020-05-08 22:27:17
I ran 2.23 miles today in memory of Ahmaud Arbery. I am horrified by his murder and the racism that motivated it. I am extremely disappointed by the way it was handled by officials. We have so much more work to do to truly achieve equal justice under the law. #IrunwithMaud,2020-05-08 21:16:55
More national service opportunities can give a new generation of Americans the opportunity to leave their mark and play a major role in our national recovery. Let's #Stand4Service and expand @AmeriCorps and other @TheCorpsNetwork programs. https://t.co/aQy1wPYd9L,2020-05-08 17:08:52
"#COVID19 is disproportionately impacting Tribal nations. That's why I've introduced legislation to eliminate the cost-share requirements tied to emergency protective measures, which will allow Tribal governments to access 100% of the funding they need. https://t.co/vh460WSUoY",2020-05-08 14:28:01
"Peggy McCracken runs the Checkerboard Area Food Pantry, which serves rural areas like Cuba and Gallina, as well as the Navajo communities of Torreon and Ojo Encino. During the #COVID19 crisis, the pantry has provided food to hundreds of families in need.#HometownHeroesNM https://t.co/pHSwLXyKhe",2020-05-07 22:52:50
"Our health care professionals have shown grace and compassion as they work around the clock to save New Mexicans' lives. Krista Mericle is a registered nurse in Tucumcari, serving the local hospital's patients as well as working in the emergency department. #NationalNursesDay https://t.co/CeS7jxAa69",2020-05-07 00:09:28
"COSMIAC is a @UNMengineering research center that normally focuses on military and aerospace technology, but as the pandemic hit, they knew they could put their skills and equipment to great use by manufacturing PPE for front line workers. #HometownHeroesNM https://t.co/WIyKVaNxUl",2020-05-05 23:16:00
"In times of crisis, Americans have always embraced service to their nation. That's why I'm pushing to expand national service programs that will build our recovery and add opportunities for @TheCorpsNetwork programs.
 
To emphasize reasons why we need to expand these programs:",2020-05-05 20:46:36
"Tomorrow, the Supreme Court will hear cases challenging a Trump admin rule that exempts employers from providing the #ACA birth control benefit.
 
Women's health decisions shouldn't depend on where they work. Ideological views shouldn't interfere with their choices. #HandsOffMyBC",2020-05-05 19:34:17
"Tracy Hausermann is a 2nd grade teacher at Mitchell Elementary School in Albuquerque. The transition to at-home learning has been difficult for teachers and students alike, and Tracy has been working hard to stay in touch with her students and their parents. #HometownHeroesNM https://t.co/9VNBAPbXHU",2020-05-04 21:04:23
"Hundreds of child care centers across New Mexico have been forced to close or serve just a percentage of the children they normally would. To help stabilize the industry, we must prioritize emergency funding for child care in further #COVID19 legislation. https://t.co/ZWXTJweJyr",2020-05-04 19:48:31
".@Protect_NM will be accepting PPE donations at three Albuquerque locations tomorrow, May 2. Drive by between 10 a.m. and 4 p.m. to drop off face masks and shields, gowns, and gloves that will go straight to health professionals on the front line of the crisis. https://t.co/FwklvmBL7x",2020-05-01 19:21:03
"If you’re a student interested in attending a U.S. service academy, my staff is hosting virtual information sessions May 4-7 where you can learn about the nomination process and have your questions answered. Sessions run from 6 to 8 p.m MT. Register here: https://t.co/8OLFyeeBx0 https://t.co/VYIqp2CBrU",2020-05-01 15:51:06
"Monica Topham, the executive director of Deming's Play Sharity Children's Museum and Toy Library, has utilized Play Sharity's maker-space and lending library to organize a community volunteer effort called #DemingSHARES. #HometownHeroesNM https://t.co/bTO6QxwOD4",2020-05-01 00:06:30
My staff and I have been working around the clock to help get critical supplies like PPE to the health providers who need them. Thank you to @AFResearchLab and the @NSAGov Laboratory for Physical Sciences for helping coordinate a donation of face shields to ABQ’s VA Hospital. https://t.co/RfjyDDHdOA,2020-04-30 22:15:55
"Before states reopen, the Trump admin has a responsibility to direct @OSHA_DOL to take steps to ensure workers have clear guidance on what is needed to ensure safe workplaces. I'm proud to join @PattyMurray &amp; @SenatorBaldwin to call on Secretary Scalia to address this at once. https://t.co/c6FTERkXml",2020-04-30 21:36:55
Our public lands are my greatest source of sanity in what has become quite a crazy world. Join me in defending them against this effort to exploit them. https://t.co/aqrS4FQfF2,2020-04-30 20:42:07
"We can't allow the pandemic to prevent us from preparing for wildfire season. I'm calling on the Forest Service to provide clear plans for how it will ensure the protection of communities, critical infrastructure, and firefighter safety. https://t.co/raf8dlokDz",2020-04-30 20:04:06
"When cities across America have laid off their cops, firefighters and EMTs, who will be there when you dial 911?  No one. That’s the McConnell Municipal Plan.  

America, this is not leadership, it’s shameful.
https://t.co/9m5WNNAicW",2020-04-29 18:22:33
"Melisa Hart had to close her Albuquerque fabric store, Stitchology, due to #COVID19. But that didn't stop her from using her business and resources to help the community. #HometownHeroesNM https://t.co/hwR17LXcsV",2020-04-28 23:21:52
"If McConnell calls the Senate into session next week, it should not be to pack the courts with his unqualified nominees.

The Senate should be holding public oversight hearings on shortages of testing supplies and PPE and why small business loans were given to huge corporations.",2020-04-28 17:47:50
"States have ALREADY stepped up. What we need is a cohesive strategy, increased manufacturing capacity and coordination of the testing supply chain.
 
https://t.co/cledFJLj5x",2020-04-28 15:21:29
Small Businesses and nonprofits in New Mexico -- did you apply for the Paycheck Protection Program yet? The SBA reopened the application process today after we passed legislation to increase the funding from the CARES Act.  Learn how to apply here: https://t.co/SOEwkNgC0O,2020-04-27 21:33:48
I'm calling for an immediate and thorough investigation by both Department of Treasury and Department of Interior Inspectors General to identify the source and motivation for the release of private tribal information.,2020-04-27 14:18:50
"The first step in any responsible plan to reopen the country must be to scale up a much more comprehensive nationwide testing infrastructure to track, trace, and effectively respond to the spread of the virus. Read more in my op-ed in @thenewmexican: https://t.co/c6eBkeM3Uw",2020-04-26 13:41:05
