tweet,dates
"20 years ago today, on #MothersDay, I organized members of my community to join the Million Mom March in DC to demand action to end gun violence. 1/5 https://t.co/5HEY50mHVf",2020-05-10 16:45:11
"Today, and every day, we honor the women who guide us, inspire us, and push us forward. #HappyMothersDay  💙🌞🌸 https://t.co/fXqpoMEAee",2020-05-10 15:56:48
"The health and wellbeing of Americans is at stake. We need our leaders to fight to protect our health care, not take it away. The White House’s position in this case is legally — and morally — wrong. https://t.co/ExjLTstq34",2020-05-08 18:32:19
"Michael Flynn lied to the FBI.
Michael Flynn admitted it. 
Michael Flynn is not above the law...unless he broke the law for Donald Trump. 
https://t.co/mBsPOfzc39",2020-05-08 02:10:46
No one should go hungry. Join our conversation on how food insecurity is impacting families in our region here: https://t.co/RIRxguY3ae #FamiliesFirst https://t.co/K0O9MYoPxc,2020-05-07 23:34:50
Ny'Ques was just 13 when his life was cut short by the gun violence epidemic that impacts our community every day. There have been 17 fatal shootings in Chester in the last 4 months. We will not become numb to this violence. These families deserve justice. https://t.co/Q1o2LrEQpV,2020-05-07 19:46:22
"“This program is the single most powerful anti-hunger tool that we have and one of the most important economic development tools.”  No family should go hungry and we MUST push for the expansion of SNAP.

https://t.co/Tz8ISaFGwj",2020-05-07 19:00:27
"Ahmaud Arbery was gunned down in the street. Our country is in crisis but we cannot look away. #AhmaudArbery and his family deserve justice. 
https://t.co/OXR0mmVDEu",2020-05-07 17:45:28
"I know that this has been an incredibly challenging time filled with uncertainty. We have compiled a list of resources available to constituents during #COVID19 below. If you have any questions, please call our office at 610-626-2020. We are here to help. https://t.co/BNc2IXJlLW",2020-05-07 17:00:38
TONIGHT: We are hosting a Facebook Live discussion on the impact of food insecurity on families in our region. I'll be joined by some amazing speakers from organizations who are on the frontlines of this issue. Join us at 7PM. https://t.co/0LQ5kJJYhT,2020-05-07 15:28:02
Today is #NationalNursesDay. I am so proud of my niece Sarah and all of the nurses who go to work each day unsure of what the day might bring but certain of their calling. 1/2 https://t.co/xYyAysZBWZ,2020-05-06 22:08:55
This ⬇️ https://t.co/XjmG5cKORN,2020-05-06 21:05:28
I'm excited to announce that we are making the Congressional Art Competition VIRTUAL this year and we want everyone to participate. #StayHomeMakeArtPA5 #StayHome (THREAD) https://t.co/VXmw37PK9T,2020-05-06 18:07:33
"Reproductive rights are human rights. 

Period. 

Grateful to @PAAttorneyGen for defending these rights. 

#HandsOffMyBC https://t.co/5nnyqDgePV",2020-05-06 14:55:54
"Be it in front of the classroom or from their kitchen tables, our teachers go above and beyond to keep our children learning &amp; safe. They meet challenges head-on, empower, and inspire the next generation of leaders. Thank you for everything you do. #TeacherAppreciationWeek https://t.co/XUxQkzCwlq",2020-05-05 20:00:19
"We all feel a sense of urgency to help our community during this extraordinary time, and one of the easiest things that each of us can do to help, right now, is to participate in the #2020Census. 

Let me tell you why... (thread)",2020-05-05 17:49:14
"WE ARE LIVE. I’m joined by Michael Taub, who serves as Veterans Project Director @HAPlegal, for Coffee with your Congresswoman. We’re answering questions about the challenges our Veterans are facing + how our office can help. Join us: https://t.co/ZtGCPXU45L #ForThePeople https://t.co/w5qqx2owVl",2020-05-05 15:08:55
"Thank you to members of @DelcoCouncil for organizing this diaper pick-up for families in our community. This event will take place Wednesday, free of charge, for families in need. Details below ⬇️ https://t.co/8SalHsjJSw",2020-05-05 12:45:13
"Last week was jam packed with virtual meetings with state and local officials, health care professionals, and committee meetings, as we share the latest information and respond to the evolving challenges of this pandemic. Take a look at our weekly recap:  https://t.co/c1o3Vkg5v9",2020-05-04 23:00:10
"The #DelcoStrong Small Business Support Program will offer $1.75 million in grants for small businesses affected by COVID-19. Eligible applicants can apply for up to $7,500 to use for rent, utilities, and inventory.

Visit https://t.co/GjDVlAS7vp https://t.co/WIPMcbt6Tq",2020-05-04 19:26:44
"‼️URGENT: Non-filers who receive SSI or VA benefits and have dependent children under 17 must fill out the IRS form BY MAY 5TH to get the $500 economic impact payment for each of their dependents. 

➡️➡️ Click here to fill out the form: https://t.co/oBY2VNQVnZ",2020-05-04 17:49:33
"This crisis has only intensified the fundamental inequalities of our nation. Today, as we honor the courage of the #FreedomRiders and all the heroes of the civil rights movement, we must recommit ourselves to continuing this fight for justice and equality. https://t.co/BwNIU429V5",2020-05-04 13:45:12
"On Tuesday, Michael Taub, Veterans Project Director of the Homeless Advocacy Project, will join us for Coffee with your Congresswoman. We’ll answer your questions about challenges our Veterans are facing and how our office can help. Join us on Facebook live at 11am! https://t.co/DB9sxvpPIL",2020-05-03 20:35:07
"U.S. Women’s Soccer is an inspiration to us all. We are in this fight, together💪🏼 https://t.co/Oq0R1XK5vu",2020-05-03 13:17:07
"A beautiful story! Congratulations to you and your family, @RepMaxRose 💙https://t.co/C8cCvn2JOx",2020-05-02 14:49:15
Congress continues our work to prevent internet giants from taking advantage of small businesses and consumers. https://t.co/uCMyzJ04eZ,2020-05-02 12:35:57
Dr. Fauci does not work for the White House. He works for the American people. The American people deserve to hear from Dr. Fauci. https://t.co/98DCo94jKq,2020-05-01 23:39:58
Grateful for @RepOMara’s leadership during these difficult times. Support our community this weekend at this contactless food drive thru! Details below ⬇️ https://t.co/cPkXVVjmRT,2020-05-01 20:24:24
