tweet,dates
"Why did Trey Gowdy go on TV in May 2018 and say the FBI did what our fellow Americans would have wanted them to do? And that it had nothing to do with @realDonaldTrump?

When we wanted subpoena power, it was Paul Ryan and Gowdy who wouldn't give it to us. https://t.co/EbS5O9wbWG https://t.co/sQDmo2ohkt",2020-05-09 01:47:00
"Given all we've learned, this is hard to understand. https://t.co/dcwSRyNC8W",2020-05-09 01:34:01
"TONIGHT: I'll be on @seanhannity to discuss the latest revelations from the deep state, including how Obama's FBI set a trap for Michael Flynn to go after @realDonaldTrump. TUNE IN to @FoxNews at 9:05pm ET/8:05pm CT",2020-05-08 23:29:24
"The Democrats lied to the American people.

There was no collusion. Obama's FBI set a trap for Michael Flynn to go after @realDonaldTrump.

It was all a setup. And the more we learn, the more we're proven right. https://t.co/WlwMhJedr7",2020-05-08 23:09:38
"President @realDonaldTrump's team is here for America, ready to work, and we're inspired by our President.

While we want to work together to send provisions to our people, @SpeakerPelosi and @SenSchumer just want to set up new committees to investigate rather than work together. https://t.co/MBTtLMtpU8",2020-05-08 18:13:01
"""Let's devote resources to help those folks who are the most vulnerable. We did that in Florida, and I think some of these other states we've seen did not do that; they took their eye off the ball."" -@GovRonDeSantis https://t.co/8WEYrwjIHt",2020-05-08 16:14:20
"History will not be kind to what people in the Obama Department of Justice did to put our country through a baseless investigation for over two years. 

We're starting to see who the real criminals are. https://t.co/ymIROoR7Rb",2020-05-08 14:31:55
"It's great to see honor restored to General Flynn's good name.

The boomerang has come back on many House Democrats - @RepAdamSchiff and @SpeakerPelosi have egg on their face.

Adam Schiff was caught in a lie and then used an impeachment over Ukraine to cover up that lie. https://t.co/14iO9yFOLn",2020-05-07 22:08:22
"TONIGHT: I'll be on @LouDobbs to discuss the latest on COVID-19, breaking news from the Department of Justice, and more. TUNE IN to @FoxBusiness at 5:05pm ET/4:05pm CT",2020-05-07 18:58:08
"I have received updates from @GovRonDeSantis, @NikkiFriedFL, @JimmyPatronis, and @JaredEMoskowitz regarding the two fires in Northwest Florida.

Local governments are cooperating with emergency responders for a max effort.

Please continue to follow local warnings and updates.",2020-05-07 00:55:50
"Godspeed to our firefighters who are battling this fire burning in Santa Rosa County, FL. Residents should continue to monitor @SRC_EM and @bereadyescambia for the latest updates.

My prayers are with my fellow Northwest Floridians in Santa Rosa County.

https://t.co/gdlEmTczZH",2020-05-06 22:37:19
"Instead of bailing out Chinese businesses in the United States, we should seize their assets and put them in receivership to pay damages to Americans who have suffered as a consequence of the Wuhan Virus. https://t.co/BEt3ArOrnZ",2020-05-06 19:37:50
"""We're going to be debuting the first mobile lab in an RV that we're going to take around with @HealthyFla and @FLSERT. 

We're going to take it to nursing homes...this is going to be another great part of our effort to protect our senior citizens."" -@GovRonDeSantis https://t.co/2lZep0rnlT",2020-05-06 17:37:39
"Why are we three years away from @realDonaldTrump's election still learning about the things our own corrupt government did to try and derail him?

This should have been out in the open way before now. We need to show the American people how deep the plot was to go after @POTUS. https://t.co/mCR2jbJ48g",2020-05-06 16:19:56
"China stole our health. Now they threaten our national security. 

https://t.co/ATgPw7lPKm",2020-05-06 13:43:42
"Our law enforcement agencies need to ground DJI drones immediately.

https://t.co/JXZw0XgSlM",2020-05-05 20:36:14
"MUST-READ: ""'A Trojan Horse Operation': Matt Gaetz Warns Tucker Carlson About Chinese Drones Spying On Americans""

(via @DailyCaller @DavidKrayden)

https://t.co/gVZkZ2MPQN",2020-05-05 19:28:12
