tweet,dates
"#COVID19 has transformed the lives of students in Hawaii and across the country. Our teachers have rushed to adapt to our new normal, but Congress needs to step up and address the challenges they're facing. 

Read on to see the actions we can take. https://t.co/ou5IZVbfOY",2020-05-10 00:31:18
"I want to extend a special mahalo to all of our educators during #TeacherAppreciationWeek. Thank you for keeping our students connected during this challenging time.

While schools are closed, teachers are working harder than ever. Is there a teacher you want to thank? https://t.co/ZPnaCX354G",2020-05-08 21:15:55
Thank you for standing up for what is right. Thank you for everything you’ve done and everything you’ve sacrificed. https://t.co/I8gh2DjMY1,2020-05-08 20:09:59
"During #NationalNursesWeek, we thank you for the compassionate care you're giving on the frontlines of the coronavirus pandemic every single day. We couldn't get through this crisis without you.

We should be thanking the nurses in Hawaii everyday for what you do. Stay safe. https://t.co/TfOmeUUYND",2020-05-08 17:02:19
"Bill Barr doesn’t care if we see his corruption right out in the open because in his America, the crime isn’t lying to the FBI, it’s telling the truth about @realDonaldTrump.",2020-05-08 00:46:42
"Hey Mr. Attorney General, ever heard of the rule of law?  Out the window in Barr and @realDonaldTrump’s America.",2020-05-07 22:26:20
"Where did the coronavirus come from?
🚫 5G Towers
🚫 GMOs
🚫 A flu vaccine from the 2010s
 
While doctors and nurses fight the coronavirus pandemic, they're also fighting mass disinformation. We can #StopTheInfodemic if @Facebook, @Jack, and @SusanWojcicki step up.",2020-05-07 21:11:09
"Instead of focusing on our frontline workers, small businesses, or families, Mitch McConnell convened the Senate to confirm Justin Walker, an anti-health care nom, during a pandemic.
 
Republican priorities are clear. And they don't include health care or relief for Americans. https://t.co/sqRNpPMAJK",2020-05-06 18:39:46
"Regard for truth and science parted company from @realDonaldTrump long ago in his all-consuming desire to protect himself.

Now he’s going to shut down the Coronavirus Task Force to deny a platform for Dr. Fauci and Dr. Birx to speak the truth about this pandemic. https://t.co/AkN4kwhGBq",2020-05-05 23:03:45
"Mitch McConnell has seriously misplaced priorities. Millions of Americans are depending on Congress to take decisive action due to #COVID19.

And what's he bringing the Senate back for? Confirming yet another anti-health care judicial nominee like Justin Walker. Give me a break. https://t.co/1JRXFrqSSg",2020-05-04 23:00:56
