tweet,dates
I joined a letter calling on @EPAAWheeler to waive burdensome regulations on our country’s refineries. https://t.co/LZr3LNgTK9,2020-05-20 18:30:43
Not everyone is able to do their job from home. Many workers are on the frontlines every day to provide us with the goods and services we need. Their work is not unnoticed and I thank them for their dedication.,2020-05-18 21:07:16
"In the middle of this pandemic, it’s heartwarming to see stories of businesses giving back to their communities. From making hand sanitizer to making mobile hospital rooms, Wyoming is full of generosity. See a few of these stories here: https://t.co/1bIPGKfWw4",2020-05-15 19:37:50
"Easing regulatory requirements, like paperwork and other red tape, is an important step in addressing the impact of COVID-19 on businesses. I signed a letter urging Senate leadership to consider commonsense regulatory relief for businesses small and large. https://t.co/gsmG47asxX",2020-05-14 19:22:42
"Police officers dedicate their lives so our communities are safe. I was proud to cosponsor the Senate resolution declaring this National Police Week. I send my sincere thank you to Wyoming police, sheriffs, rangers, corrections officers, game wardens and highway patrol. https://t.co/cr5tyIgXAb",2020-05-14 17:15:40
"Congress has heard growing concerns from producers about the intensifying problems in our cattle industries, like price manipulation. I joined a letter with @SenatorFischer &amp; @SenJohnBarrasso calling on @TheJusticeDept to investigate these serious claims. https://t.co/MznFV9EGcw",2020-05-12 20:43:23
"Preparation is key when it comes to combating COVID-19. We’re fighting this virus at the same time scientists are learning about it, so we need to be nimble. https://t.co/DfX5gKUo6m",2020-05-12 19:05:56
The meat and poultry industries are facing critical backlogs. The best solution to the problem is getting processing facilities back up and running at capacity and to have state-based solutions.,2020-05-12 13:23:03
Our energy sector has been hit hard during the coronavirus pandemic. I joined a letter urging the administration to take action against large American financial institutions that discriminate against American energy companies and their workers. https://t.co/StuEeZRtUx,2020-05-08 22:20:25
"Developing new testing for COVID-19 is critical for our nation. We’re having to scramble to catch up, and that means we are conducting early stage research at the same time we are trying to move products through advanced development stages. https://t.co/xbtK33oeNO",2020-05-07 18:19:20
Thank you to Wyoming nurses and health care workers for their dedication to keeping our state healthy. Nurses across Wyoming and the nation are working especially hard during this pandemic and their work does not go unnoticed. Remember to thank a nurse today. #NationalNursesDay,2020-05-06 20:24:17
Drugs or other therapies that fight COVID-19 could be an important bridge between social distancing and a vaccine that would allow us to regain some semblance of normalcy with less fear of severe health consequences.,2020-05-05 14:40:04
Thank you to all the Wyoming educators! Learning is one of our most valuable tools and teachers work hard – and are often working even harder during virtual learning – so students are ready for their futures. Remember to show your appreciation this week. https://t.co/fPsct3t8t2,2020-05-04 15:03:58
"A domestic rare earths supply chain is crucial for national security. I joined a letter urging the administration to support the development of a domestic supply chain, which would reduce our dependence on foreign minerals critical for military readiness. https://t.co/xNzauOl0Gd",2020-04-28 19:46:34
Thank you to Taiwan – home to one of Wyoming’s sister cities – for making and sending protective masks to help our state stay safe while fighting the virus. It’s great to see we can still count on our trade partners across the ocean in times like these. https://t.co/lbEAw9eNU7,2020-04-25 16:02:00
Thank you to the banks and community lenders that work to keep Wyoming employed. Our state received more than $800 million in small business loans to keep people employed even when there aren’t sales to cover wages.,2020-04-24 20:36:27
"To Wyoming neighbors always helping others - thank you. That's what we folks in Wyoming do. From community food drives to making masks and so much more, I'm proud of the generosity that is coming out of our state.",2020-04-24 16:15:36
I’m pleased to see the administration working to strengthen our country’s uranium industry. A strong domestic uranium industry is critical for national security. https://t.co/07kyDyR8cV,2020-04-23 18:59:58
The Senate passed another COVID-19 package that aims to provide relief for our country. It would include $310 billion for the Paycheck Protection Program and $100 billion for hospitals and testing. The bill still needs to be passed by the House and signed by the president. https://t.co/ecjX7yoEmn,2020-04-21 22:16:57
"Happy National Parks Week! While most of our parks are currently closed, their beautiful landscapes give us something to look forward to. Wyoming is proud to be home to the first national park. To celebrate while distancing, I encourage you to share a photo of your favorite park. https://t.co/H7hJsOiBR0",2020-04-18 14:27:00
I look forward to working with my colleagues and the Administration on a task force to address when and how we can begin to restart our economy. https://t.co/ua6b2GGkKO,2020-04-16 18:02:52
Want to know where your economic assistance check is? The Treasury Department launched a “Get My Payment” web app to track the status of payments and enter direct deposit information if needed. https://t.co/YlyixFe6xS https://t.co/lGWP7HFh4B,2020-04-15 17:05:28
"The Wyoming Food Bank of the Rockies is holding a number of food drives throughout the state to help those in need. To encourage social distancing, stations are set up so volunteers place food directly in your trunk or back of your car. Find a location: https://t.co/d2Mqngl4LW",2020-04-09 15:22:08
