tweet,dates
"This week, I had the opportunity to join @NASSspine for their webinar on #COVID19 Updates from the Hill. https://t.co/x1bZNn2jel",2020-05-09 22:05:00
Thank you to the #blueangels for their #flyover in honor of our health care heroes. #NotAllHeroesWearCapes https://t.co/W6i4BsAYIv,2020-05-09 21:03:00
The SNS has been put under significant stress throughout our #COVID19 response. @HouseCommerce has the responsibility to hold hearings to learn from this crisis and consider legislation to further our pandemic preparedness efforts. https://t.co/uHlAAq69AJ,2020-05-09 20:17:58
"Again, Dems are pushing a partisan agenda and not putting forward solutions. 

The FIRST #COVID19 hearing in @HouseCommerce should focus on how to prevent a second wave, support health care heroes, and help Americans during this crisis. https://t.co/VmnAlUJOJ8",2020-05-08 23:16:04
"The jailing of Shelley Luther was completely unnecessary. 

Small biz owners have been hit hard by #COVID19 and putting them behind bars when they are trying to save their life's work should not happen. 

RT if you agree. https://t.co/ePiKxpiPqv",2020-05-08 22:27:46
"On #ThisDayInHistory 40 years ago medical innovation prevailed and polio was eradicated. 

I have no doubt that American ingenuity will prevail again against #COVID19",2020-05-08 20:31:00
"Today, marks the 75th Anniversary of V-E Day. Let us remember the sacrifices of WWII Americans who risked everything to achieve victory over tyranny in Europe. https://t.co/4QNfGsTOQJ",2020-05-08 19:15:00
"It is #MentalHealthAwarenessMonth. It can be difficult to talk about things related to mental health that is why it is important to #EndTheStigma. Here are a few resources if you are struggling. 

National: https://t.co/BI0iWSLDMF  
North Texas Area: https://t.co/QG4u7mnGDy https://t.co/jQjePQ0Pjr",2020-05-08 18:40:00
"Throughout this public health crisis we have seen public servants step up to the challenge. Thank you to 
@NIHDirector for singing us into #PublicServiceRecognitionWeek https://t.co/bTRZHaB0bJ",2020-05-08 18:29:05
The world needs more heroes like Dr. Li Wenliang. China must be held accountable for silencing this hero and for the damage caused by their dishonesty. https://t.co/XuvGPQBgat,2020-05-08 17:57:01
"During a @RulesRep hearing about this task force, I said it needed to be a 50/50 split in order for them to investigate issues actually related to #COVID19 https://t.co/pt1x2xebcF",2020-05-08 16:45:32
It is time for our economy to once again become the envy of world. https://t.co/GOodPPpwU2,2020-05-08 16:23:19
"I appreciate @GregAbbott_TX for issuing an EO to stop jailing biz owners whose biz were shut down due to #COVID19

Texans want to save their life's work. Govt should find solutions for them to do so safely. 

#Tunein to @FoxFriendsFirst tmrw to hear me talk about this issue.",2020-05-08 01:53:23
It is important that we control our supply chains and not rely on China for the majority of ingredients that make up our pharmaceuticals. #COVID19 has taught us that. https://t.co/MPrCccQP19,2020-05-08 01:12:48
"🚨ATTENTION VETERANS🚨
Check out this guide to stay up to date on the latest changes to economic impact payments. Do you need to update your information? Find the latest news @IRSNews &amp;
https://t.co/yZOHqEfmCf",2020-05-07 23:47:00
"📺 #TuneIn tomorrow morning to @FoxFriendsFirst at 5:15 am EST. 

I will be joining the show to discuss the latest news with Texas re-opening.",2020-05-07 23:27:00
". @TexasDSHS put out a helpful app - Texas Health Trace helps to track and mitigate the spread of #COVID19 in Texas. 

https://t.co/bYfUF1LGQw",2020-05-07 22:47:00
American companies are stepping up and doing all that they can during this crisis. Thanks to @Nike for providing sneakers to our health care workers battling #COVID19 https://t.co/wk0wGTDNnd,2020-05-07 22:04:16
"National Day of Prayer: On #NationalDayofPrayer I pray that this great nation not only heals from this virus physically, but also for the benefit of the economy. We can bounce back and we will. Keeping my thoughts on those fighting  #COVID19 on the frontlines and at home. https://t.co/nkVD38e809",2020-05-07 21:50:00
"Each year in the spring, my office participates in this nationwide competition to showcase the talent of high school students. Starting today through May 17, you can vote for your favorite artwork to be named the “Texas Choice” winner!

https://t.co/tOyNDUZdog https://t.co/dCQ4zrrumB",2020-05-07 21:26:00
"COVID19 has significantly disrupted the livelihoods of all Americans. I sent a letter to @realdonaldtrump thanking him for suspending visas for immigrants. 

https://t.co/CO3QcrcP2q",2020-05-07 21:24:48
Thank you @realDonaldTrump and @GovAbbott for your efforts to ensure those on the front lines have the necessary supplies to defeat #COVID19 https://t.co/J8ruZFpJBi,2020-05-07 20:33:45
