tweet,dates
"Mothers make a tremendous impact in the lives of their children through their strength, love, and care. Grateful to my mom and my wife for being there for their kids.

To all the Moms in our country, thank you for all you do to bless the people in your life! https://t.co/boQMfhKSTZ",2020-05-10 15:00:00
"To our nation's teachers during Teacher Appreciation Week: Thank you!

Now, more than ever, you've found creative and unique ways to help students learn, contributing ultimately to the success of the entire country. We are grateful for you!",2020-05-05 20:31:40
"Millions in taxpayer dollars sent to the WHO, as they've seemingly turned a blind eye to COVID-19 propaganda from the Chinese Community Party and at times parroted the same talking points.

Why should the U.S. fund an entity that does not further the interests of our republic? https://t.co/Kg1cFfw96F",2020-04-30 18:11:11
"Yesterday, two of the @GOPoversight subcommittees I'm on met via teleconference with @US_FDA to discuss pharmaceutical supply chain security.

We must work together to secure our critical supply chains and reduce our reliance on China for our drugs and essential ingredients.",2020-04-28 13:10:44
"The Small Business Administration reopened the Paycheck Protection Program this morning. Small business owners should apply to this loan program as soon as possible. 

I want the families across our part of Texas who depend on small businesses to know there is help available.",2020-04-27 15:36:34
"The government of China has taken advantage of the good will the U.S. has shown for years. Now the Chinese Communist Party has manipulated the coronavirus pandemic at every turn — in spite of the heartbreaking human toll. 

Discussed the latest with @OANN:
https://t.co/fESJzfp05x",2020-04-24 15:00:35
"Small businesses owners in Texas and across the country: more funding is available to deal with the economic shutdown imposed by coronavirus.

Next up – reopening our economy. https://t.co/NMHeE5dclp",2020-04-24 01:41:50
"Many small businesses in Texas benefitted from the Paycheck Protection Program, and thanks to the passage of additional funding today, many stuck in limbo will now have access to the loans they need to support their employees through this economic shutdown.",2020-04-24 01:37:18
"Social Security beneficiaries with dependent children under age 17 who did not file a tax return in 2018 or 2019 need to go the IRS Non-filer tool at the link below so they can receive the $500 payment for each child. Deadline is TODAY.

https://t.co/qUo1NxKvML",2020-04-22 15:02:08
"Good news for today ➡️ Cheniere announced it has pledged more than $1 million to organizations that provide essential services to those most in need and at risk during the COVID-19 outbreak.

https://t.co/vnDpTR1x2v",2020-04-20 14:37:34
"The Paycheck Protection Program is serving as a lifeline to our nation’s small businesses and workers during this pandemic. Now it's run dry. Congress should prioritize American small businesses and families instead of political agendas. What’s the hold up, Speaker Pelosi?",2020-04-16 17:34:17
"You can submit your information at the link below if you did not file taxes in 2018 or 2019 in order to receive your rebate check. 

No further action is needed by taxpayers who filed tax returns in 2018 and 2019 and most seniors and retirees.
https://t.co/WvVm6dXc08",2020-04-16 13:36:00
"As we work to mitigate COVID-19, we must be careful to ensure our constitutional rights are preserved.

Joined my @freedomcaucus colleagues in signing this letter to @POTUS encouraging individual privacy protections be respected — even by Big Tech — and especially in a crisis. https://t.co/2oWdjlCF6N",2020-04-15 19:02:00
"This week, I've spoken with a number of healthcare providers across south Texas. These folks are daily on the frontlines of the national response to COVID-19. I'm working to ensure their story is being heard. 

I signed onto this letter to ensure they get the support they need: https://t.co/0L2yOPGhdO",2020-04-15 14:07:43
"The American spirit has been evident despite the COVID-19 pandemic as communities all across the country have pulled together to take care of each other. 

Here's a good news story from Jackson County:
https://t.co/RG33tVVQM3",2020-04-14 16:10:25
"This Easter Sunday, may we reflect on the importance of faith as we remember the death and resurrection of Jesus Christ. He is risen!

John 11:25-26 https://t.co/6BgwebkNGp",2020-04-12 18:52:15
"Our country is facing an unprecedented epidemic that threatens our public health and our economic security. While I have reservations about some of the provisions in the CARES Act and the enormous cost, I was on the House floor and answered yes to the voice vote. (1/2)",2020-03-27 21:30:06
"Small businesses across the nation and at home in Texas are suffering as a result of the coronavirus. I've heard from many local business owners who don't know what the future may hold.

There is more in the works, but @SBAgov is offering disaster loans: https://t.co/ODB1LFoCfE",2020-03-24 16:57:23
