tweet,dates
"Happy #MothersDay to the mothers and motherlike figures who raised us and raise us up every day. We are inspired by their grace, strength, and wisdom. https://t.co/Rrnb0Iqxr2",2020-05-10 15:00:00
"I’m a cosponsor of the #MedicareCrisisProgram Act to expand Medicare and Medicaid eligibility and ensure all Americans have guaranteed access to health care during #COVID19. As Americans lose their jobs and lose their healthcare, we must provide this coverage for them. https://t.co/zuo7VnODdE",2020-05-08 21:16:05
"Nurses have lost their lives at work during #COVID19. This #NationalNursesWeek, I support @NationalNurses as they demand protections to do their jobs safely – we must get PPE to the frontlines of this pandemic immediately! 
https://t.co/9ttCBsypK5",2020-05-08 20:41:13
".@GovernorTomWolf has announced that Allegheny County will move from red to yellow on May 15. Testing and contract tracing will continue. For information about restrictions on work and social interactions, visit https://t.co/GhD1iJRU9S.",2020-05-08 18:50:06
"I’m an original cosponsor of the Emergency Rental Assistance and Rental Market Stabilization Act, which is being introduced today with substantial support in both the House and Senate! We must keep up momentum on this crucial bill to provide #RentReliefNow.",2020-05-08 16:57:28
"Most people don’t think about our public health system until it’s too late. We need to keep our public health system strong and our health care system affordable for all. This shouldn’t be a lesson we have to keep learning. 
https://t.co/FAurIycBw2",2020-05-08 16:07:38
"75 years ago, WWII ended in Europe. Thank you to our servicemembers – and our allies who fought alongside them – for their bravery and sacrifice during this conflict. #VEDay75 https://t.co/Mau7eobX7W",2020-05-08 15:18:56
Congress should be focused on ensuring health care for all Americans during #COVID19 – not expanding the Hyde Amendment and limiting access to reproductive health care. I signed a letter to House Leadership opposing efforts to deny abortion care in upcoming relief packages. https://t.co/vGKlmL0eJL,2020-05-07 17:57:04
.@POTUS’ proposed payroll tax cut will benefit large corporations and harm Social Security for our most vulnerable during #COVID19. I’m a cosponsor of the Emergency Social Security Benefits Improvement Act and the Social Security 2100 Act to #ExpandSocialSecurity!,2020-05-07 17:06:47
"BREAKING: @PALaborIndustry has announced that self-employed individuals, independent contractors, and gig workers who are not normally eligible for unemployment compensation can begin filing backdated claims for Pandemic Unemployment Assistance.
https://t.co/k3ZoMZpBuW",2020-05-07 16:30:27
".@SenateMajLdr doesn’t think we need this legislation? Black Americans are STILL being killed by violent racists. In February, I voted for the Emmett Till Anti-Lynching Act to make lynching a federal crime. @SenateMajLdr standing in the way of justice for so many victims. https://t.co/X1zfDw3YIW",2020-05-07 16:10:51
"Ahmaud Arbery was an innocent, unarmed man hunted down and shot while jogging near his own home. The killers have admitted what they’ve done, but no arrest or murder charge has been made. 

We need #JusticeforAhmaud and his family NOW.",2020-05-07 16:10:01
"Thank you, @NLIHC! I’ve been fighting for affordable housing throughout my service in Congress, and I’ve always appreciated your work to make decent housing a reality for all Americans. https://t.co/CpP5R3qXZ7",2020-05-07 14:22:19
"I’ve cosponsored H.R. 6314, the Emergency Rental Assistance Act, and I’m pleased to see lots of non-profit support for this important #RentReliefNow bill. We need emergency rental assistance to protect Americans who are facing housing instability and homelessness during #COVID19. https://t.co/LNUZxkR508",2020-05-06 21:39:24
"Our nation needed a strong federal response to #COVID19. @POTUS assigned a team of inexperienced volunteers to buy emergency medical equipment. They ignored established suppliers and pursued leads from cronies and political allies of @realDonaldTrump. 
https://t.co/HjvS7Prmao",2020-05-06 20:58:54
"Nearly half of Americans surveyed reported #COVID19 has harmed their mental health, so it’s important to take care of yourself and your friends and family. If you're having a mental health crisis, text NAMI to 741-741 or call 1-800-273-8255 for help. #MentalHealthAwarenessMonth",2020-05-06 18:45:21
"Nurses show us every day the true meaning of dedication, compassion, and hard work, especially as they work long hours to save lives during #COVID19. This #NationalNursesDay, I want to thank our nurses and pledge to ensure that they have the resources they need. #ThankYouNurses https://t.co/7kTnUg2IIk",2020-05-06 18:40:20
.@BetsyDeVosED just finalized a rule that undermines existing Title IX protections for survivors of sexual assault.,2020-05-06 18:30:56
"Today, #SCOTUS will hear oral arguments in Trump v. Pennsylvania. The Affordable Care Act made birth control accessible to millions of women for the first time – and @POTUS is changing it to let employers deny them coverage for contraception. https://t.co/jaXH8kShok",2020-05-06 13:41:25
"The Brighton Center has become a terrible example of how #COVID19 endangers residents and workers. I joined @RepConorLamb in sending a letter to @CMSgov calling for more frequent, thorough inspections of nursing homes and long-term care facilities. https://t.co/IQvPxkqcfO",2020-05-05 19:50:33
"Many families don’t know where to turn for help during #COVID19. @NEXTPittsburgh has compiled a guide to finding food, housing, financial, and health assistance in #PGH that you may find useful.  
https://t.co/uCbsL24XaZ",2020-05-05 19:33:09
"Today is #TeacherAppreciationDay! During #TeacherAppreciationWeek, we recognize the incredible value of our teachers. Thank you to all of the teachers in #PGH who continue to shape students’ lives during these difficult times. https://t.co/NjDDNXvIbJ",2020-05-05 19:00:01
"Community Health Centers are essential to protecting vulnerable populations, but they operate on thin margins that have already been stretched due to #COVID19. I signed a letter urging House and Senate leadership to reauthorize and fund CHCs in any forthcoming legislation.",2020-05-05 18:21:13
"Now more than ever, we must ensure all Americans have access to care. Any effort to deny LGBTQ+ Americans access to basic health services on the basis of their sexual orientation and gender identity is wrong. https://t.co/YjPOsVTFsp",2020-05-05 17:49:46
"Haven’t filled out the #Census2020 yet? Want to help our community access resources for hospitals 🏥, schools 📒, and other programs? 

You can respond to the 2020 Census now at https://t.co/owCyzOJtqJ, by phone, or by completing the paper form mailed to your address. https://t.co/kqVFT6bpyj",2020-05-05 17:13:37
"We must ensure nursing homes have adequate #COVID19 testing to protect vulnerable residents. I signed a letter asking @HHSgov and @CMSgov to allocate a portion of the $25 billion in CARES Act funding for testing in long-term care facilities.
https://t.co/U7EeJgWbww",2020-05-05 14:16:37
"This Public Service Recognition Week, I want to highlight and commend some of the government employees who continue serving our nation despite significant personal risk during #COVID19. https://t.co/EngIgHlEbD",2020-05-05 13:45:26
"A one-time payment of $1,2000 won’t cut it for most American families. I’m a cosponsor of the Emergency Money for the People Act to provide ample recurring payments for at least six months to those who are hardest hit during #COVID19.",2020-05-04 21:32:35
"⏰SSI and VA recipients who do not typically file taxes and have qualifying dependents, there is ONE DAY LEFT to receive $500 for your dependents this year.⏰ Register below.
https://t.co/xc13d3ZqQC",2020-05-04 20:53:40
"I’m pleased that Pittsburgh, McKeesport, and Allegheny County are receiving nearly $12 million in public housing operating funds from the CARES Act to help our public housing authorities to keep housing safe during #COVID19. More still needs to be done to help families in need.",2020-05-04 20:32:17
"Millions of Americans can’t afford to pay their rent this month. We must include resources to provide #RentReliefNow in the next #COVID19 relief package. While the CARES Act was an important first step, more must be done to help renters.",2020-05-04 20:28:23
"On May 4, 1961, the first Freedom Riders began their journey throughout the south to boycott segregation on public buses. Today, as we honor the #FreedomRiders and all the heroes of the civil rights movement, we must recommit ourselves to their fight for justice and equality. https://t.co/SYaT6APQyL",2020-05-04 20:24:51
"It’s not too late to respond to the #2020Census! Complete your Census:
✉️By mail
📞By phone
💻Online at https://t.co/owCyzOJtqJ",2020-05-03 19:53:50
I joined my friend @whipclyburn to offer this plan to connect all Americans. Broadband is an essential service. We can’t afford to wait. https://t.co/3mV3iacQ4R,2020-05-02 20:18:21
I'm pleased that @ICANN rejected the sale of the .Org registry to a PE firm. .Org identifies public interest organizations around the world like @UN or @HeinzEndow in #Pittsburgh. It’s critical that .Org continue to be managed to benefit nonprofits and the communities they serve.,2020-05-01 22:53:28
"Census Day was one month ago – and so far, only half of #PGH has responded to the #2020Census! The Census helps to get our community the resources it needs for hospitals and schools. Complete your #2020Census by mail, phone, or at https://t.co/owCyzOJtqJ. https://t.co/S5pqA6in80",2020-05-01 18:11:08
"Teachers are working tirelessly to provide their students with learning and support during #COVID19. This #TeacherAppreciationMonth, thank you to the teachers in #PGH who are educating the next generation. #SendTeachersLove https://t.co/6192asx3tn",2020-05-01 17:15:00
May is #MentalHealthAwarenessMonth. We must raise awareness about mental health and fight stigma to support people with mental illness and their families. No one should suffer in silence due to stigma or fear of discrimination. #MHM https://t.co/v1nLKc1ngv,2020-05-01 16:21:31
"On this #InternationalWorkersDay, as people around the world celebrate the dignity of work and past improvements in wages and working conditions, #COVID19 makes it more important than ever to support policies to help them.",2020-05-01 16:13:06
"#COVID19 has made the health disparities that have long existed in America all the more apparent. During #MinorityHealthMonth, I’m standing with @CAPAC @HispanicCaucus @TheBlackCaucus to take on the structural inequalities that contribute to these disparities. #NMHM2020",2020-04-30 20:02:13
"Millions of Americans are unable to telework, take their classes online or access telehealth during #COVID19 because they do not have broadband. Today, I’m joining my colleagues in introducing the House Democratic Plan to Connect All Americans to Affordable Broadband Internet.",2020-04-30 17:18:22
