tweet,dates
"Women Empowerment, minority Latino-American peoples, and the forgotten peoples of Territories.

Ageless positivity and classic Latino subtlety hidden behind unrelenting energy and expression. 

This is the embodiment of a diverse America. 

So damn proud. https://t.co/mILaQOW17s",2020-02-05 08:11:36
"Territories are under the plenary power of Congress. The House represents the People, the Senate represents the Republic. 

Territories have Delegates in the House; the role of Territories as a part of the Republic, should also Senate representation.

https://t.co/XUen9XCdDC",2019-12-22 04:21:48
The unanimous passage of H.R. 1365 is a testament of the full support Guam has in both parties to bring closure to our Greatest Generation. (link: https://t.co/Ygm4ceo8FW) https://t.co/F6y3TiU1Vg… #Guam #GBG,2019-07-25 04:56:08
"Speaker Pelosi attends Guam Liberation Gala, confirms HR 1365 will be voted on next week with strong bi-partisan support. https://t.co/Hk4Z8zxCk8",2019-07-18 13:14:59
https://t.co/zbPRKhmf0e,2019-07-18 12:28:58
https://t.co/gl3ay5ZbFq,2019-07-18 12:28:13
"A powerful tribute to a powerful history shared, and the ultimate respect paid. https://t.co/tPLH9XzbPv",2019-07-17 13:10:57
I am proud to announce that I am an original cosponsor of HR 3631. This bill will increase federal funding to Guam's Medicaid program and prevent a lapse in Medicaid coverage on Guam. https://t.co/QH9CnmGA3t,2019-07-10 15:46:44
"Guam's liberation gala will be held this year after a multi-year hiatus on July 17th in Washington D.C. The Honorable Nancy Pelosi, @SpeakerPelosi has already confirmed her attendance as the guest of honor, for the gala. https://t.co/BxAH6ZE4rN",2019-07-09 15:53:23
Happy 4th of July from Guam!,2019-07-04 15:30:32
"Great meeting with Secretary of the Navy Mr. Richard Spencer.
We had discussions ensuring that Guam builds goodwill between the community and the military. Our offices will be working on legislation to help build high paying, sustainable multi-million dollar industries Guam. https://t.co/9BCfjwPX0h",2019-07-02 18:28:41
"U.S. Department of the Interior endorses passage of H.R. 1365. As H.R. 1365 advances from the Natural Resources Committee, Congressman San Nicolas continues to secure support for its passage. I am deeply grateful for the plain urgency and clear support from the DOI. https://t.co/VIW1ZzAyvX",2019-06-26 21:27:30
"Payment of Guam's World War II reparations moves closer to reality, after the HNR committee cleared Con. San Nicolas bill H.R. 1365 for a full U.S. House of Representatives vote. https://t.co/OIWpfLKzcG",2019-06-20 13:02:22
"Success comes with sacrifice. The Simon Sanchez graduates know this all too well, and earned their place on stage. Congratulations to the 2019 graduating class of Simon Sanchez! https://t.co/2G4xh4NKfA",2019-06-14 19:51:36
"The Tiyan Titans are unafraid of challenges, and welcome the opportunity to ""become"" that is a part of change.
Congratulations to the Tiyan High School class of 2019! https://t.co/Q0O6tFK1i4",2019-06-14 19:49:37
