tweet,dates
"President Lincoln said  “All that I am or ever hope to be, I owe to my angel mother” and those wise words are felt by many today. 
#HappyMothersDay to all those wonderful mothers out there. We certainly wouldn’t be here without you. https://t.co/nTO89SojkA",2020-05-10 15:50:09
"It appears you were ill-informed Bob. Sharing this manipulated video is beneath you &amp; we expect more from journalists. For the record my full quote said “Covid-19 isn’t a Republican problem or a Democrat problem, it’s an American problem.”

#StrongerTogetherEvenWhenApart https://t.co/pAPwbeQzSB",2020-05-09 01:20:32
"On #VEDay  we remember the leadership of General Eisenhower, who helped turn the tide of the war to victory. While we're not able to gather to dedicate his Memorial as planned today, let’s honor his legacy. Follow @IStillLikeIKE #VEDay75 https://t.co/1WcQjgRyC0",2020-05-08 17:50:27
"Today is the 75th anniversary of victory in Europe. Nazi German was defeated and freedom rings today because of the heroes sacrifice. 

#VEDay75 https://t.co/eGT3KefWw2",2020-05-08 16:01:58
"Thank you to all the nurses throughout Idaho, you've been heroes during this crisis. 

#NursesAppreciationWeek https://t.co/0PA957FUe8",2020-05-06 18:47:44
"This #bipartisan sentiment is certainly worth sharing. Thank you @ButchOtter, @whmanny, and Walt
 for this well timed piece.

https://t.co/aotuCBqg7S",2020-05-06 00:06:49
"I am thankful to @SecretarySonny  for today’s announcement on food purchases, especially for dairy and potatoes. There's still more work needed to help our Idaho farmers and ranchers but this announcement is welcome news. 

https://t.co/i5SxWXQzgH",2020-05-05 17:20:11
"The future is in great hands because our students are in great hands. To the profession that creates all other professions, thank you! #TeacherAppreciationDay https://t.co/vNqLAM2WGm",2020-05-05 16:20:35
"Kathy and I are deeply saddened to hear the news of John’s passing.
He will forever be remembered as a man who cared deeply about Idaho’s natural resources and wildlands and bringing people together to discuss these issues. 

Read more here: https://t.co/mKGEfs8sEc https://t.co/QHF9bMHfOO",2020-05-04 15:15:04
Join me in wishing a Happy Birthday to our former Governor and my friend @SenatorRisch. Idaho wouldn’t be the same without your leadership. https://t.co/IjB5nQUt2H,2020-05-03 16:20:17
"President @realDonaldTrump and @SecBernhardt  are working to reopen our National Parks in a safe and responsible way. I applaud this effort, access to public land is a wise way to social distance.

https://t.co/foylxy1tpE",2020-04-29 18:45:00
#RecreateResponsibly https://t.co/3Hg2lT1SmV,2020-04-29 16:01:54
"Small businesses are the lifeblood of rural communities, and this grant funding for a Revolving Loan Fund could not have come at a better time. 

https://t.co/v2NbBnFrpF",2020-04-29 14:20:08
The @INL is getting involved to help mitigate the impacts of #COVID19 https://t.co/pLvLdojOvY,2020-04-28 18:18:37
ICYMI https://t.co/0AvXzo7LLe,2020-04-27 16:08:58
"When flying isn’t an option and votes need to be cast, you load up the car and drive. https://t.co/btiGGdUPzY",2020-04-26 15:52:24
"Cranney Farms putting Idaho generosity and @IdahoPotato on the map  @LiveKellyRyan 
#familyfarms

https://t.co/a4Rycgor24",2020-04-24 19:09:08
"Today kicks off #supportlocalgems, we’ll look for opportunities today to lend a hand of support to small businesses in our community. #supportsmallbusiness https://t.co/GvELjhMqBR",2020-04-24 15:00:41
I want to applaud Idaho based @Albertsons for committing $50 million to fight hunger across the country. This hunger relief effort will feed families during this crisis and will bless the lives of many. https://t.co/W34W2kgI6A,2020-04-23 14:04:20
