tweet,dates
Awesome flyby by @180thFW over Dayton today. Thank you to everyone fighting #COVID19 on the frontlines #SaluteOhio https://t.co/Dw5B4oJkhp,2020-05-07 19:05:55
"I joined @RepBobGibbs, @RepMarcyKaptur, &amp; 86 of our colleagues in supporting future federal legislation addressing #COVID19 to forgive Medicare accelerated payments’ interest rates &amp; pursue full loan forgiveness for hospitals &amp; other providers. Read more: https://t.co/VWVSGQVEYf",2020-05-05 16:36:29
"This week I am introducing the Employer &amp; Employee #COVID Protection Act to eliminate barriers to reopening businesses, get Americans back to work, &amp; empower employees to decide for themselves if they feel safe in their workplace. Read more here: https://t.co/82qdYREf86",2020-05-05 16:11:58
A beautiful rainbow in Dayton tonight. Hoping everyone is staying safe in #OH10 https://t.co/FHkOEvnpHP,2020-05-04 00:41:49
".@GDRTA is set to receive $75M from @FTA_DOT as a result of #CARESact, which I supported. RTA provides access to essential services such as grocery stores, healthcare facilities, &amp; other businesses critical to daily life.",2020-04-27 19:18:42
"I am saddened to hear of the passing of a Dayton icon &amp; one of my dear friends, Zoe Dell Nutter. She was a dancer, philanthropist, educator, &amp;, above all, a pioneer for women in aviation. Few people approach life with the passion and energy that Zoe Dell did.",2020-04-22 20:46:20
.@Liz_Cheney ditto. https://t.co/yUBcP7pBUD,2020-04-18 15:57:18
.@The_WSRI is a trusted source of innovation in the Dayton community. The $11.6 million award will allow WSRI &amp; @AFResearchLab to continue to work towards our nation’s technology transfer goals to ensure our war fighters are provided capabilities as quickly as possible.,2020-04-17 16:54:07
"Buddy, I was coming for the vote before you had anything to do with it. I contributed to your opponent because I believe that you don't belong in Congress.

BTW, I'm certain @RepLizCheney was already going to be there too. https://t.co/8JWQPk5Z4m",2020-04-16 18:57:15
Check the status of your economic impact payment by visiting https://t.co/hIZQewrJrl,2020-04-15 15:10:23
"For more info on the #CARESact stimulus payments, follow @IRSnews or visit https://t.co/qHMErGII5n https://t.co/34mqAgohHh",2020-04-14 14:52:00
.@FiveRiversHC &amp; Community Health Centers of Greater Dayton are receiving a combined $1.7M in #COVID19 relief grants from @HHSGov thanks to #CARESact. https://t.co/MMngVr6DhB,2020-04-09 12:03:27
I join the entire Dayton community in mourning Don Black. I was proud to honor Don with the first annual Black History Month Congressional Award for Community Service in 2016. Dayton Weekly News was a cornerstone of information for Dayton’s African American community.,2020-04-07 14:15:03
Cornerstone Research Group in Miamisburg has received a $7M defense contract made possible by a provision I included in #FY20NDAA. #OH10 continues to be at the forefront of providing equipment necessary for @DeptofDefense's top national security programs. https://t.co/RiDyDX6ffD,2020-04-02 17:17:35
"In a substantial win for @WrightPattAFB, @SpaceForceDoD announced its intention to transfer 5 units @ WPAFB from @usairforce to the Space Force. This announcement comes after months of my advocacy of Wright-Patt's unique capabilities in space. More info➡️https://t.co/2kQPfkZ1ht https://t.co/xGWkTkFXCP",2020-04-01 19:37:32
"Today I led several of my #OH colleagues in requesting the @DeptofDefense to provide guidance to the defense industrial base, specifically those supporting the @AFResearchLab at @WrightPattAFB during the #COVID19 pandemic. Full letter here: https://t.co/xOXtQABYhZ",2020-04-01 17:42:26
Today is Census Day. Be sure to make your voice count in #Census2020 by visiting https://t.co/lBTReHsTjL and completing the census.,2020-04-01 15:31:09
I joined @senrobportman &amp; @SenSherrodBrown in leading the  Ohio Congressional Delegation to urge @POTUS's swift approval of @GovMikeDeWine's request for a Major Disaster Declaration for #OH. Read our full letter here: https://t.co/MD4L4b89Tt,2020-03-31 17:46:24
"Today I spoke with Michelle Riley, CEO of @foodbankinc. @OHNationalGuard is currently deployed helping the foodbank &amp; I personally just made a donation. For more info on foodbank locations and drop-offs during #COVID19, visit https://t.co/vLirTiY8sO https://t.co/CpQNLRG2ih",2020-03-24 19:07:39
"My District Director participated on a call with @PremierHealthOH today for an update on coronavirus. For more information on their resources and #COVID19 testing, visit https://t.co/wi1DO1CheQ",2020-03-23 21:30:00
I’ve spoken with @DaytonUnitNAACP President Derrick Foward. Their website is a great resource for more information on coronavirus: https://t.co/rwzpyCQDAO,2020-03-23 21:00:00
"After speaking with @GDRTA CEO Mark Donaghy, please note that RTA is continuing to operate, but urges you to follow @GovMikeDeWine’s #StayHome order &amp; only use RTA if you are going to work or taking care of an essential need. More info can be found at https://t.co/rMP5rQt3Km",2020-03-23 20:30:00
"I’ve spoken to Mark Murdock, Director of Dayton VA Medical Center, regarding coronavirus. For more information and resources for veterans, please visit https://t.co/NHw1szf7Ds @DeptVetAffairs @VeteransHealth",2020-03-23 20:00:00
