tweet,dates
"There’s nothing like a mother’s love and support to give us the strength we need to succeed. 

To all the mothers across our great country and around the world, thank you. We love you and are grateful for you! #HappyMothersDay https://t.co/oeaT4SuhK2",2020-05-10 14:06:42
"The threat posed by #China’s Communist Party isn’t a partisan issue. It’s an issue ALL Americans should care about.

The #CCP is working overtime to take America down.

We must act to protect our national security. https://t.co/5eqdv9xCm7",2020-05-09 18:28:35
"LIVE TV ALERT 🚨 

Coming up at 1:30 PM on @FoxNews with @GillianHTurner to talk about joining the #China Task Force.

Be sure to tune in!",2020-05-09 17:03:17
"Saying the #Taliban’s spring offensive aimed at overthrowing the #Afghan govt is keeping the “Peace Deal” is a farce.

If the Taliban were truly serious about peace, they would enter a ceasefire &amp; release Mark #Frerichs IMMEDIATELY! https://t.co/0DnOSPcudk",2020-05-08 19:12:59
"FYI for Florida: Barber shops, hair salons and nail salons will be reopened May 11, with enhanced safety protocols. https://t.co/RZJ2kHgdhu",2020-05-08 19:09:42
"If you're in #Jacksonville today, keep your eyes peeled for the @BlueAngels &amp; @AFThunderbirds in 10 minutes! #AmericaStrong 🇺🇸 https://t.co/Vnsl15LS1D",2020-05-08 15:31:12
"LIVE RADIO ALERT 🚨

Coming up at 7:24 AM on the @MarcBernierShow.

📻 Tune in to 93.5 FM/ 1150 AM or listen here 👇
https://t.co/rVHXxzCK4L",2020-05-08 10:50:00
"On this #NationalDayOfPrayer, join me in saying a prayer for peace, for our country and for the many on our frontlines at home and around the world. https://t.co/sXnp6kg8bH",2020-05-07 18:00:00
We cannot let #China and its communist government continue on the path to a global takeover. Looking forward to joining my House colleagues on the China Task Force to protect our freedoms and our national security. https://t.co/jbigdL7wm7,2020-05-07 15:24:17
"LIVE RADIO ALERT 🚨

Coming up at 11:30 AM with @kilmeade to talk about joining the #China Task Force, #Venezuela and getting back to work in the House.

Tune in here 👇
https://t.co/S5ykJvxn9H",2020-05-07 15:00:01
"Not surprising that #China's government opposes an investigation into the origins of #COVID19. 

When the world finds out the #CCP's irresponsible behavior caused this pandemic to spread, #China's entire attempt at global dominance will crumble. https://t.co/FzssIKBIco",2020-05-07 14:33:15
"Through hard work and expertise, #Taiwan was successful in the fight against #COVID19.  

Taiwan should be allowed a seat at the table to share that expertise with the world at the World Health Assembly! @UN #TweetForTaiwan #TaiwanModel https://t.co/86C9i3QulB",2020-05-07 14:23:39
"Whether it's through college students or professors, the #CCP is stealing our research &amp; technology to later use against us.

#China is trying to take America down by cheating their way to the top.

Our national security &amp; way of life are in danger. We have to put a stop to this! https://t.co/qr1xokksFg",2020-05-07 13:00:01
"LIVE TV ALERT 🚨

Coming up at 6:15 AM on @foxandfriends to talk about #China's infiltration into American universities resulting in massive theft of our research &amp; intellectual property.

📺 Be sure to tune in!",2020-05-07 09:45:00
"I've been calling for @realDonaldTrump to replace retirement board members who approved a decision to send our military's retirement funds to #China.

This week, he did it. Thank you @POTUS for recognizing the importance of not investing in the #CCP! https://t.co/nqI1iD06Ua",2020-05-06 20:25:30
"A life well-lived. Happy 101st birthday, Jessie Corbitt! https://t.co/q2wNlE4K4v",2020-05-06 20:09:58
"Can’t wait for this launch from Florida’s Space Coast. 

This is going to be huge! @NASA @NASAKennedy @SpaceX 🇺🇸🚀 https://t.co/qCbJF1Emq2",2020-05-06 19:53:07
"Not all heroes wear capes! This photo was taken with our AdventHealth nurses pre-COVID.

Join me in thanking them and all the brave nurses for fighting on the front lines for our health and safety! #NationalNursesDay https://t.co/5Iej2NvNXA",2020-05-06 16:55:17
"While American universities are home to some of the brightest scholars, they also house a dark underbelly of Chinese espionage &amp; intellectual theft that puts our country in danger.

We must put an end to #China's nefarious plan to steal its way to the top. https://t.co/PRfmHHnlBm",2020-05-06 14:40:54
"Agreed, @RepRiggleman! It’s time to bring our supply chain back home. #AmericaStrong 🇺🇸 https://t.co/1EPfG2kERr",2020-05-05 16:23:18
".@SpeakerPelosi purposely keeps members out of session while she and Democrats create legislation behind closed doors, without our input. 

We’re only called back for a yes/no vote. 

We should ALL be back in DC working on the next steps for our country. https://t.co/mDpggISuB5",2020-05-05 16:16:14
"We know our kids miss seeing their teachers and we are grateful for all their sacrifices while making sure each student learns and grows, no matter the circumstance. To all of our teachers, thank you! #TeacherAppreciationWeek2020 🍎📚✏ https://t.co/ud0zrpn7Lj",2020-05-05 14:30:00
"Glad to see three new nominations for the Federal Retirement Thrift Investment Board among these nominees.

I hope one of their first actions is reversing our federal retirement plans funding the #CCP and #China's military!

Thank you @WhiteHouse!
https://t.co/ryIbi2YXyi",2020-05-05 13:35:28
"America’s military shouldn’t have their retirement funds paying for #China’s mass surveillance and human rights abuses.

We cannot allow ANY of these funds to be funneled to the #CCP. We have to put a stop to this practice immediately! https://t.co/ikDePA7KpR",2020-05-05 12:22:15
"LIVE TV ALERT 🚨

Coming up at 11:35 PM with @ShannonBream to talk about how our federal and state pension systems will soon be used to fund the #CCP and the #Chinese military.

📺 Be sure to tune in! https://t.co/NpCo2nPqUE",2020-05-05 03:00:05
"In times of crisis, our community bands together.💪

Thankful for everyone donating, organizing and helping with food drives to give to families in need right now. This is #servantleadership in action! #InThisTogether @Mayor_Holland https://t.co/mOTgtlRg8k",2020-05-04 18:40:51
"#China's Communist regime is actively buying influence to steal technology &amp; research from our nation's universities.

We cannot allow this rampant spying &amp; theft in our colleges. We owe it to the American people to protect our country from bad actors and their communist ideals! https://t.co/0fTlt2i805",2020-05-04 18:20:09
"Every college student deserves a shot at a great education but unfortunately, #COVID19 has threatened to end many of these dreams.
 
To help cover living &amp; healthcare costs, students will now receive cash grants DIRECTLY from their college or university through the #CARESAct! https://t.co/4HbkSJkylh",2020-05-04 17:32:27
"This #CFAwareness Month, we celebrate the life of Danny.

Danny never let his cystic fibrosis get him down. He was one of a kind.

Danny lost his battle with CF in September but his spirit lives on. We will keep fighting in his honor! #CFawareness https://t.co/DrVJAZ0BoJ",2020-05-04 17:13:28
"These are the times Americans expect their government to work for them. We can't do that by sitting around and doing nothing. We have been called to action.
 
I'm in DC now, ready to keep fighting for Florida and for America. https://t.co/moUaezGSK1",2020-05-04 16:20:22
"REMINDER FOR VETERANS — The deadline to fill out the Non-Filer form is May 5th (TOMORROW).

To ensure you receive the full amount of your stimulus check, fill out the form here: 
https://t.co/6WQG34xflM https://t.co/CULuw9CClF",2020-05-04 13:58:56
"FYI for Floridians: Florida state parks will reopen MONDAY, May 4 as part of Phase 1 to reopen our state.",2020-05-01 18:01:52
"GRADUATES, START YOUR ENGINES!🎓🏁

For this year's graduation, Flagler County seniors will finish their high school career by crossing the finish line at Daytona International Speedway!
https://t.co/N9oJjUSwD9",2020-05-01 17:32:14
"Happy #NationalSpaceDay!🚀

We are on the cusp of a space renaissance –– and Florida's positioned to play a critical role.

Looking forward to continuing the push to keep the U.S. leading in space innovation and exploration right here in our backyard. https://t.co/DiwVsOF0NR",2020-05-01 15:29:11
"LIVE RADIO HIT 🚨

Coming up at 7:24 AM with @MarcBernierShow to talk about #COVID19, our airline industry and #China. 

📻 Tune in to 93.5 FM/ 1150 AM or listen here 👇
https://t.co/rVHXxzCK4L",2020-05-01 10:50:00
"It is a complete disgrace that our military &amp; federal employees’ retirement plans will help fund #China’s Communist regime.

The #CCP is a threat to American values &amp; a danger to our way of life.

As a member of the military for 24 years, I won’t stand for this! https://t.co/iAflroFh08",2020-05-01 00:00:00
"The last thing our military should be investing their retirement plans on is #China’s Communist regime. 

We must stop this horrible decision and remove and replace ALL the board members who approved it! https://t.co/z8dOVP5nQZ",2020-04-30 20:46:14
"Fantastic news. Congrats to @blueorigin, @Dynetics and @SpaceX! 

Next stop: the Moon! 🚀 https://t.co/CV7RdXmKYO",2020-04-30 18:14:07
"I agree with @SecPompeo’s decision to cut off support from Iran to @NicolasMaduro &amp; his criminal organization.

The leaders of #Iran &amp; #Venezuela are responsible for horrific &amp; inexcusable violations of basic human rights and must be held accountable. https://t.co/5f8cIG3NJj",2020-04-30 18:02:54
"LIVE TV ALERT 🚨

Coming up at 11:30 AM on @AmericaNewsroom to talk about #COVID19 and preventing the funding of the #CCP through our service members' retirement savings plans.

📺 Be sure to tune in!",2020-04-30 15:00:01
"LIVE TV ALERT 🚨

Coming up at 11:00 AM on @newsmax to talk about #COVID19, #unemployment and returning to Capitol Hill. 

📺 Be sure to tune in!",2020-04-30 14:30:00
"Citrus greening came from China &amp; devastated Florida's citrus groves. We shouldn't expose their crops to any potential new pests &amp; diseases. 

Joined my FL colleagues to urge @USDA to reverse the decision to import new fruits from #China and #Mexico. We stand with FL growers! https://t.co/XasRgMCM86",2020-04-30 13:30:00
Go Army! Exciting new tech coming from Walter Reed to contain #corona and minimize hospital need for PPE. ⁦@SecArmy⁩  https://t.co/eXg2VbruP9,2020-04-30 13:29:47
Go Guard! #InThisTogether https://t.co/UVUo9vUJVV,2020-04-29 20:42:35
"Even from a distance, learning can still be fun! 

Thank you to all of our wonderful teachers finding creative and fun ways to teach and stay in touch with their students during this pandemic. 📚💪 
https://t.co/RsQudctZby",2020-04-29 17:32:11
"Amazing! Happy birthday, Blake! #InThisTogether https://t.co/9PLSR67WUa",2020-04-29 17:04:52
"#PaycheckProtectionProgram UPDATE: Over 475,000 loans from more than 5,100 lenders have been distributed to small businesses nationwide since re-funding the #PPP.

Glad to see PPP helping nearly 1.6M small businesses in total keep their doors open in the wake of #COVID19.",2020-04-29 14:20:15
"LIVE RADIO ALERT 🚨

Coming up at 9:15 AM on @WNZF with David Ayres to talk about stimulus checks, #PPP, re-opening #Florida and #China.

📻 Tune in at 94.9 FM/ 1550 AM or listen here 👇
https://t.co/rOIU466z7v",2020-04-29 12:31:37
"LIVE RADIO ALERT 🚨 

Coming up at 7:05 AM with @BobbyMacWVFT and @Greg_Tish on @TLHRealTalk.

📻 Tune in to FM 93.3 or listen online 👇
https://t.co/AIQSbs76Py",2020-04-29 10:56:23
"LIVE RADIO ALERT 🚨

Coming up at 5:05 PM with @MarcBernierShow to talk about #coronavirus and preventing the funding of the #CCP through our service members' retirement savings plans. 

📻 Tune in to 93.5 FM/ 1150 AM or listen here 👇
https://t.co/rVHXxzCK4L",2020-04-28 20:35:00
"It's a disgrace to our military that their retirement savings will be used to fund #China's human rights abuses, mass surveillance &amp; quest for global domination.

As a member of the U.S. military for 24 years &amp; counting, I will not stand for this. 
https://t.co/n7ou71UEBd",2020-04-28 17:31:05
"According to the #CCP, Americans are “lying through their teeth” &amp; playing ""tricks"" to deflect blame on the origin of #COVID19.
 
There's no blame to deflect. This pandemic started in #China and because of their propaganda &amp; lies, thousands died worldwide.
https://t.co/SFWPS5lrak",2020-04-28 16:46:31
"#PaycheckProtectionProgram UPDATE: Over 100,000 loans from more than 4,000 lenders have been distributed to small businesses nationwide since re-funding the #PPP.

Glad to these funds help our small businesses keep employees on payroll &amp; their doors open in the wake of #COVID19.",2020-04-28 15:26:32
The #CCP is not our friend and can't be trusted. I agree with President @realdonaldtrump in de-funding the #China manipulated @WHO. https://t.co/3r7BUDHlxT,2020-04-28 14:50:39
"To give Americans the confidence &amp; security to get back to work, President @realDonaldTrump has announced a robust testing plan to re-open our economy.
 
That plan includes:
➡ Strengthening our testing supply chain
➡ Rapid response programs
➡ Federal, state &amp; local cooperation https://t.co/8MrJzWcgms",2020-04-28 14:16:17
"LIVE RADIO ALERT 🚨 

Coming up at 8:05 AM with @RichJonesJax to talk about #COVID19 and #China.

📻 Tune in to 104.5 FM or listen online 👇
https://t.co/KEngMJlwIz",2020-04-28 11:30:00
"Children everywhere should have the opportunity to an education so they can learn and grow. 

Honored join this caucus and promote learning around the world! @GCE_US 📚💪 https://t.co/QjI5i8GpRh",2020-04-27 19:10:48
"Many of our hospitals are receiving federal loans to keep their doors open &amp; fight #COVID19.

Led a letter with 16 of my #Florida colleagues urging @HHSGov and @CMSGov to give these hospitals the flexibility needed to keep working on behalf of the health of the American people. https://t.co/fhpRnQObeb",2020-04-27 17:05:09
"GRADUATION UPDATES: Volusia County seniors and parents, click below for important updates on @volusiaschools and high school graduation back-up plans👇
https://t.co/gYwT6UwPPB",2020-04-27 16:41:06
"SMALL BUSINESS OWNERS: Today at 10:30AM the @SBAgov will resume accepting #PPP applications from approved lenders on behalf of eligible borrowers.

Glad to see these funds continue to provide a lifeline to #FL6 businesses negatively affected by #COVID19.
https://t.co/K4kaJQt07I",2020-04-27 14:09:26
"LIVE RADIO ALERT 🚨

Coming up at 7:30 AM with 
@eddeanradio to talk about #COVID19 and #China.

📻 Tune in at AM 600/ FM 101.1 or listen here 👇
https://t.co/QNYG9vyW8I",2020-04-27 11:00:00
"#China's Communist Party doesn't want to be our friend.

They want to dominate the West with their communist ideals — and if China has its way, the entire world will be subservient to their New World Order with China in charge.

Wake up, America. We have to protect ourselves. https://t.co/N4krZREON5",2020-04-25 17:47:27
"LIVE TV ALERT 🚨

Coming up at 1 PM on @FoxNews with @GillianHTurner to talk about #China's role in the #coronavirus pandemic and holding the #CCP accountable for its actions.

📺 Be sure to tune in!",2020-04-25 16:35:00
"Our brave men and women in uniform can’t have their retirement funds going to #China’s Communist Party. 

Working hard to put a stop to this crazy practice! @PeteHegseth https://t.co/6n32iTAzAE",2020-04-25 14:23:38
"STIMULUS CHECK UPDATE: @IRSnews &amp; @USTreasury just announced 88M individuals received payments worth nearly $158B nationwide in the program’s first 3 weeks. 

Of that $158B, roughly 6k Floridians received more than $11B.

Check on your payment here:  https://t.co/ctUHUIuMpK",2020-04-24 17:59:36
".@GaryYeomansFL Ford is donating $2,5000 worth of @Publix gift cards to help families in #DaytonaBeach survive #coronavirus.

Thank you for your #ServantLeadership! #InThisTogether https://t.co/3ld4I2keUe",2020-04-24 17:22:30
"BREAKING: @POTUS just signed the latest #coronavirus relief bill. 

This bill helps small businesses, strengthens our hospitals and expands testing, all of which are critical to beating this invisible enemy. 

Thank you, @realDonaldTrump. We will win against this virus! 🇺🇸",2020-04-24 16:39:53
"Good news of the day ➜ Publix bought 150,000 pounds of excess produce and 43,500 gallons of milk to donate to food banks nationwide. Another reason why we love @Publix! 
https://t.co/067afs2SNS",2020-04-24 16:31:12
"LIVE RADIO ALERT 🚨

Coming up at 1:05 PM with @GeneWexler to talk about passing phase 3.5 of the #coronavirus stimulus package and #China.

📻 Tune in to 96.5 FM or listen online 👇
https://t.co/zK3fjLf3N6",2020-04-24 16:30:00
"Safety tips to follow while boating during this pandemic:
🌊 Limit crew to family &amp; household members
🌊 Stay at least 6 ft from others while docking
🌊 Use hand sanitizer before &amp; after filling up
🌊 Make sure to pack enough supplies for the whole day on the water https://t.co/fwREuayIos",2020-04-24 16:29:05
"Our small businesses make our communities unique, so it's critical we do everything we can to help our small business owners keep employees on payroll as we fight #coronavirus.

Spoke with @CHeathWFTV about yesterday's House passage of small business relief: https://t.co/LYpu9VyEIK",2020-04-24 15:50:37
"For years, America has been dependent on a drug supply chain that starts in #China.

#COVID19 has shown us the dangers of this vulnerability.

We have to bring our drug supply back to the US and put America first again. https://t.co/ocCtP6oQT6",2020-04-24 13:35:02
"LIVE RADIO ALERT 🚨

Coming up at 7:24 AM with @MarcBernierShow to talk the newly-passed #coronavirus bill and bringing manufacturing back to America from #China.

📻 Tune in to 93.5 FM/ 1150 AM or listen here 👇
https://t.co/rVHXxzUltl",2020-04-24 10:50:00
"PASSED: Just voted YES on a bill to replenish the #PaycheckProtectionProgram for small businesses &amp; give our hospitals resources needed to fight #COVID19. 
 
This legislation is a lifeline for our small businesses &amp; healthcare workers. Help is on the way!
https://t.co/s0e5Jf6RbI https://t.co/m4mDNB5c6R",2020-04-23 22:17:04
"Our students deserve to have every opportunity for a good education, no matter where their learning takes place. 

This funding from the #CARESAct will help our K-12 students stay on the path to academic success. https://t.co/sSQybTGyk6",2020-04-23 19:40:09
"Today, the House will vote on the next phase of coronavirus economic relief. I’m in DC now to help Americans and support this bill. Here’s what’s inside it: https://t.co/R7rZItu0EF",2020-04-23 16:29:15
"LIVE RADIO ALERT 🚨

Coming up at 9:15 AM on 
@WNZF with David Ayres to talk about #coronavirus, state tax returns and phase 3.5 of the #CARESAct.

📻 Tune in at 94.9 FM/ 1550 AM or listen here 👇
https://t.co/rOIU466z7v",2020-04-23 12:40:00
"All Saints Lutheran Church in Port Orange is collecting donations to give to the Doliner Food Bank for those in need. 

This #ServantLeadership is what makes our community in #FL6 the best! #InThisTogether https://t.co/vQIWlv0Hx3",2020-04-23 12:08:23
"LIVE RADIO ALERT 🚨

Coming up at 7:35 AM on #WSBB to talk about #COVID19 and refunding #PPP.

📻 Tune in to 106.9 FM /1230 AM or listen here 👇
https://t.co/MpFqBO0u7K",2020-04-23 11:00:01
