tweet,dates
"Happy Mother’s Day to all of the amazing women who have influenced and touched our lives in the past, who do today, and will in the future. Tell them that you love them.

I thank God for these women in both my life and the lives of my children and grandchildren. https://t.co/rn9iehFkvI",2020-05-10 15:25:34
"75 years ago, the Allies declared victory over Nazi Germany in WWII. Today, we remember and honor the bravery and sacrifices made by our Greatest Generation, who fought to defend freedom around the world. #VEDay75 https://t.co/IxRLIG0au5",2020-05-08 18:48:57
"There is no true replacement for debate on the House floor, which is why it is crucial that Speaker Pelosi implement a plan to get members back to DC. As we wait, my colleagues &amp; I are finding new innovative ways to debate the important issues before us. 

https://t.co/Q1plSknu6b",2020-05-08 17:04:02
"During both good times and bad, we turn to faith for strength and hope. Today, on the #NationalDayOfPrayer, please join Tracy and me in saying a prayer for our front line workers, family, friends, and communities across Southern Illinois. https://t.co/YLpFAdY3oS",2020-05-07 17:25:36
This week is #PublicServiceRecognitionWeek. Thank you to the countless public servants across Southern IL who have been working tirelessly to keep folks safe. My colleagues on @HouseVetAffairs &amp; I also want to thank @DeptVetAffairs staff who are providing care to our veterans. https://t.co/p898XjC62l,2020-05-06 18:59:39
"While in-person classes have been canceled because of COVID-19, teachers are still working hard to educate their students. To all of our Southern Illinois teachers, thank you! #TeacherAppreciationDay https://t.co/QhpTpNqBbK",2020-05-05 17:45:00
Proud to lead my Illinois Republican colleagues in sending a letter to Governor Pritzker urging him to request FEMA support for the Illinois pork industry. Now more than ever these producers need assistance as they prepare to make difficult on the farm decisions. https://t.co/1VmMZQnEIj,2020-05-05 15:15:34
Important info for Southern Illinois farmers and agricultural producers: @SBAgov is now accepting COVID-19 Economic Injury Disaster Loan and Advance applications on a limited basis. Make sure you submit yours ASAP. https://t.co/RnRHzly2OL,2020-05-04 21:50:54
"As a former firefighter, I wanted to thank our So. IL first responders for all they do to keep our communities safe. I also wanted to share that @fema is accepting applications for Fire Prevention &amp; Safety Grants. More info⬇️#InternationalFirefightersDay
https://t.co/N5kqfV3g23",2020-05-04 19:09:01
"Doctors, nurses, grocers, truckers, and maintenance crews are going to work. Congress should be in Washington doing the work of the people. I support the plan @GOPLeader and @HouseAdmnGOP Ranking Member @RodneyDavis developed to get us back to work. https://t.co/4h9z5o9i9F",2020-05-04 16:37:42
"As we continue working to stop the spread of COVID-19, the last thing folks should have to worry about is whether they'll be safe from the virus in their own homes. @HUDgov has awarded 15 Southern IL housing authorities grants to help keep residents safe. https://t.co/UuhExwwtbP",2020-05-03 15:00:30
"The deadline for eligible veterans to claim dependents and submit their non-filer forms for their stimulus checks is TUESDAY, MAY 5th. @HouseVetAffairs has a helpful graphic to help folks determine whether or not they need to take additional action⬇️ https://t.co/clCvUvWyIM",2020-05-01 20:35:12
"As we work to ensure the health &amp; safety of Southern Illinoisans, it’s clear that COVID-19 is impacting communities across IL in different ways. Governor Pritzker should create a safe, regional &amp; data-driven plan to reopen IL that takes both health &amp; economic needs into account. https://t.co/lKzX3v74vK",2020-05-01 18:15:12
".@USDOT awarded over $8 million to @MAAirport
&amp; Veterans Airport of So. IL through the CARES Act &amp; Airport Improvement Program. These funds will help sustain these airports during the COVID-19 pandemic &amp; support jobs for So. Illinoisans working there. 
https://t.co/gcz71tu87z",2020-05-01 13:51:39
"Thanks to @POTUS @realDonaldTrump &amp; many in Congress, the federal government has taken significant action to protect families &amp; combat COVID-19 in Illinois. Check out my website to see the actions taken &amp; the aid provided by the federal government. https://t.co/LkwtbjUA5f",2020-04-28 19:59:50
"This afternoon, I participated in a conference call with the Illinois Hospital Association, Senator Durbin, Senator Duckworth, Rep. Shimkus, and hospital leaders across Southern Illinois to discuss hospital readiness and the federal response to COVID-19. https://t.co/VfEavFeQp8",2020-04-27 19:54:20
The @SBAgov has resumed accepting Paycheck Protection Programs applications. More info ⬇️ https://t.co/R5pueCHrz0,2020-04-27 17:41:02
Millions of job creators &amp; their employees are relying on the #PPP. It's all that's left for many that are struggling to survive. I was proud to vote for additional funding because hardworking Americans shouldn’t be left in limbo at the very moment they are most in need of help. https://t.co/nuMVcHSol3,2020-04-23 22:28:47
"Speaker Pelosi is pushing to create a Select Committee on the Coronavirus Crisis. She wants more bureaucracy, more partisan grandstanding, and another means to attack the president.  The federal government already has eight oversight functions over the COVID-19 response:",2020-04-23 17:20:02
"Back in DC to approve additional emergency funding for our small businesses and hospitals. Voting will look a little different today as we follow social distancing guidelines, but it’s also vitally important we continue to do our work for the American people. https://t.co/LqAUfSasot",2020-04-23 15:48:10
"My bag is packed and I’m on my way to Washington for tomorrow’s vote to provide additional funding for the Paycheck Protection Program. The PPP ran out of funds last week, making it all the more important that we get this done ASAP for our small businesses and their employees. https://t.co/nzZPgPYrHb",2020-04-22 22:50:57
"Today on Holocaust Remembrance Day, or Yom HaShoah, I wanted to share the @HolocaustMuseum's tribute to the millions of innocent victims and survivors of the Holocaust. We must continue to share their stories to ensure that history does not repeat itself. #WeRemember https://t.co/GSvsPkzbCR",2020-04-21 20:44:06
"Thank you to our Southern Illinois truck drivers, equipment operators, flight crews, maintenance workers, emergency personnel, and other essential employees who keep America moving. Your hard work has not gone unnoticed. #COVID19 #ToThoseWhoKeepUsMoving https://t.co/63EI9hkPCA",2020-04-21 17:03:39
