tweet,dates
Happy Mother’s Day to all. Thank you for what you do on a daily basis! https://t.co/zOMWSrs8fv,2020-05-10 13:02:12
"On this Military Spouse Appreciation Day, I extend my thanks and gratitude to those who ‘hold down the fort’ at home. Especially spouses of our airmen at @366FW and servicemembers at @IDNationalGuard.  #militaryspouseappreciation. https://t.co/HgBKtNrnuX",2020-05-08 14:05:59
"Understand steps you can take to protect your mobile financial data, including using passwords to lock devices to prevent access to sensitive data, mitigation tools that allow for remote device deactivation and wiping of data and alerts of suspicious activity. #WorldPasswordDay https://t.co/CRr8etwwB7",2020-05-07 16:55:27
"While #NationalTourismDay looks a little different this year, there are still safe ways to see our beautiful state. @visitidaho  https://t.co/D4upWd5noL https://t.co/aWhLiNRGyC",2020-05-06 16:51:02
New stats show we are turning the corner regarding the numbers of those being tested. The U.S. has conducted over 7 million tests—more than elsewhere in the world. Daily test numbers continue to rise and will help us effectively combat #COVID19 and get people back to work. https://t.co/zmt8zx1H7z,2020-05-06 16:44:20
"During #NationalNursesDay, I pay tribute to all those who put their lives on the line in order to help during this terrible time and every other day. You are the real heroes. https://t.co/podglOE4j0",2020-05-06 14:50:47
"The lack of data regarding missing and murdered Indigenous women (#MMIW) and girls is beyond alarming. On May 5, we acknowledge more must be done to deal with domestic violence against Native Americans. I will continue working with @GovernorLittle and @POTUS on this endeavor.",2020-05-05 21:40:27
"Congratulations to Idaho’s @NEAarts @PoetryOutLoud winner Kieran Ellis, from Kuna, ID! Read Kieran’s original poem that won this prestigious award--Drought https://t.co/cnbRxT7a4j #POL2020",2020-05-05 20:44:50
"Today, I chaired the first “hybrid” hearing of the United States Senate, with senators attending in-person and virtually. During these uncertain times, it is important for us to safely continue to work on behalf of the American people. https://t.co/c9MICwQl0v",2020-05-05 20:00:58
Idaho’s @GovernorLittle is doing a phenomenal job navigating these unfamiliar times. Thank you for your continued open communication and leadership. Idaho is in great hands! #staysafestayhealthy https://t.co/S7QH7gVLbC,2020-05-05 19:05:12
"While the COVID-19 pandemic continues to restrict demand on dairy and fresh potato products, the @USDA’s surplus commodities purchase is welcome news for Idaho farmers and producers struggling to sell and distribute goods. https://t.co/876wVCTqEZ",2020-05-05 18:33:10
Happy #NationalTeachersDay! I commend all educators who work to prepare our nation’s youth. We all know teachers who make differences in our lives. Thank you! #SendTeachersLove https://t.co/Adfu9WwHS8,2020-05-05 13:44:50
"Happy Birthday to my longtime friend and fellow Senator, @SenatorRisch https://t.co/IcNzEB30Nz",2020-05-03 14:34:38
"May is Teacher Appreciation Month. Let’s recognize excellent educators and the amazing work they do. I have seen firsthand, through the many teachers I have had, known and met with over the years, how deeply they care for their students. #SendTeachersLove https://t.co/309WfgOpJ8",2020-05-01 14:53:05
"Every April, Child Abuse Prevention Month is an opportunity to learn about the signs of child abuse and how to prevent it. I encourage you to make an effort to learn more about prevention and raising awareness: https://t.co/KpDVfPUJm4 https://t.co/t5BvgwxUPr",2020-04-29 15:59:24
The @CommerceGov @US_EDA grant to the East-Central Idaho Planning &amp; Development Association will help provide resources to assist in the growth of small businesses in Idaho. EDA grants continue to provide benefits to growth &amp; development in rural areas. https://t.co/5HiY8Qr6bU,2020-04-28 19:43:27
"April is National Sexual Assault Awareness and Prevention Month. Every 73 seconds, an American is Sexually Assaulted. One person can make a difference. https://t.co/GQhR79YRx3",2020-04-27 18:46:37
Let’s continue to #SupportLocalGems! Visit @visitidaho or https://t.co/ldk4YR7C4f for continued helpful resources and content to further rally support for small businesses of all sizes.,2020-04-27 16:21:25
"🚨🚨Idaho had over 13,000 approved loans for a total of $1,850,034,026 before #PPP funding ran out. PPP applications are now re-open. Apply quickly as possible to help employees of small businesses keep their jobs and collect a paycheck. https://t.co/KQ9rJZxZpd",2020-04-27 14:49:08
"During Medical Laboratory Professionals Week, there is no better time to celebrate and thank the thousands of heroes in laboratory coats working to support the health of patients and communities across America. #LabWeek2020 #thankyou https://t.co/ZAQxfNs6iQ",2020-04-24 22:33:33
Making certain resources are in place that support prompt and thorough forensic investigations to bring perpetrators of crime to justice is a central part of obtaining justice for crime victims. Seek Justice | Ensure Victims' Rights | Inspire Hope  https://t.co/9i7uP9VMI4,2020-04-24 21:03:24
"Today is the day! #SupportLocalGems and show them your appreciation by buying from them online, writing a review, getting a gift card, or saying thanks for all that they do to make Idaho great. https://t.co/dcotRYvXQs",2020-04-24 13:25:00
"From 10PM ET to 1AM ET today, Tomorrow, and Saturday, @IRStaxpros will conduct website maintenance on the Get My Payment App. Individuals should avoid attempting to log in to the system during that time as the IRS continues working to remit stimulus checks as quickly as possible.",2020-04-23 20:17:59
"Looking for ways to support the small businesses that make Idaho great? Tomorrow, April 24th, #SupportLocalGems and the Idahoans they employ by shopping online and supporting the gems in our communities. https://t.co/IOEiyv9cWE",2020-04-23 19:13:38
Happy Birthday to the @USArmyReserve! Twice the Citizen! https://t.co/El1NHTarhw,2020-04-23 14:35:29
"Idaho small businesses need your help! On Friday, April 24th, get online and give your business to the local shops and restaurants that make your community thrive. #SupportLocalGems https://t.co/nP4rOeKcnt",2020-04-22 21:35:19
"Small businesses employ hundreds of thousands of Idahoans, and #COVID-19 has made job security uncertain for many of our neighbors and friends. On Friday, April 24th, #SupportLocalGems and the Idahoans they employ by shopping online and supporting the gems in our communities. https://t.co/k1Y33T5oe3",2020-04-22 19:14:37
The @FBI warns fraudsters are at work in Idaho with #COVID19-related scams. Be mindful and vigilant. Verify any contacts that try to sell you something or try to obtain your personal information. https://t.co/eFmqWjVkho,2020-04-22 17:35:28
"Happy Earth Day! On this 50th anniversary, let us reflect on widely-supported programs at work in Idaho and across America that help preserve and strengthen our environment. To learn more visit: https://t.co/Ycj6v9RmJG https://t.co/f8HEsxUZZ6",2020-04-22 16:44:34
Watch this @CFPB video on what non-tax filers need to know about economic impact payments -- https://t.co/I9NTU5UlQy,2020-04-21 21:54:52
The additional funding Congress agreed to today will help additional small businesses receive money from the Paycheck Protection Program.,2020-04-21 21:35:48
#GoodNews: Businesses in Idaho and across the country have shifted normal functions to help community neighbors during the #COVID19 crisis. Listen to @KBSX915 #IdahoMatters to learn more: https://t.co/JjeUtGsBIc,2020-04-21 14:58:13
"#NationalCrimeVictimsWeek is recognized each April to raise public awareness about the rights &amp; concerns of victims &amp; survivors of crime in the U.S. This recognition provides opportunities to honor crime victims, survivors &amp; those who provide help in the aftermath of a crime. https://t.co/cYqfjYNVUI",2020-04-21 14:19:25
"The @vasaltlakecity Suicide Prevention Team has set up daily Mental Health Clinic drop-in support conference calls during COVID-19. Everyday from 12-1pm, call the following number 8007671750, code 42195. No Appointment needed. Supporting our veterans is crucial during these times https://t.co/V0rcJxdMHt",2020-04-20 19:35:17
"Did you know small businesses employ the majority of Idaho’s private sector workforce? Support local jobs and #SupportLocalGems on Friday, April 24th by shopping online, giving a gift card, or saying thank you to your favorite neighborhood spots. https://t.co/9Cx62YeWlT",2020-04-20 16:45:35
"If you are awaiting a stimulus check and are unsure of the status, follow the link below. If you have questions or need further assistance, my office is here to help. https://t.co/VMpyakGYzw",2020-04-20 16:09:16
"On this Holocaust Remembrance Day, we honor and remember the millions of victims of the Holocaust. Never Forget. Never Again. https://t.co/C61uJhr6MB",2020-04-20 13:47:51
"Before the #PPPloan ran out, Idaho had 13,627 approved loans for a total of $1,850,034,026. More small businesses still need our help. https://t.co/o1hH0LgAkl",2020-04-17 21:19:30
The @USTreasury &amp; @IRSnews announced today that they are working directly with @DeptVetAffairs to ensure Veterans &amp; their beneficiaries who receive Compensation &amp; Pension benefit payments will receive their Economic Impact Payments automatically &amp; without additional paperwork.,2020-04-17 21:06:07
".@SenToomey worked to ensure stringent oversight provisions were included in the CARES Act, and there’s no better choice than him to serve on the Congressional Oversight Commission. https://t.co/6UFrdJ96jh",2020-04-17 20:33:48
"The CARES Act has provided a critical lifeline to individuals, families and businesses across the US who have been devastated by the coronavirus pandemic. I am honored that @senatemajldr has trusted me to coordinate Senate oversight of its implementation. https://t.co/90MizlxG6g",2020-04-17 20:32:48
