tweet,dates
"Dairy is central to our Wisconsin identity. On the latest episode of the NEW Look podcast, Karen Gefvert with the @WIFarmBureau joins me to discuss the challenges Wisconsin dairies face during this pandemic and ways Wisconsinites can help out. https://t.co/J5hu7BB84b",2020-05-09 19:06:26
"Coronavirus made a tough climate for dairy farmers even more difficult. On this bonus episode of the NEW Look podcast, I’m joined by 4 industry experts to discuss the state of dairy &amp; how we can help farmers. @CongressmanGT breaks down actions we’re taking in Congress here ⬇️ https://t.co/OSbwKtQ2r2",2020-05-08 21:24:29
"Let's do it! We need citizen legislators.

Step 1: Impose term limits on Members of Congress.

Step 2: End Congressional pensions. 

Step 3: Ban former members of Congress from lobbying. https://t.co/KVHqxeBV7K",2020-05-08 20:53:13
"Great to see naval supremacy trending. While we're here, as I wrote for @TXNatSecReview, the US must rediscover the geopolitical case for seapower. At the same time, DoN must better describe its future fleet, how it will differ &amp; what it will do. https://t.co/JgOKnzLNnz https://t.co/tGIhQqMmeo",2020-05-08 16:42:37
Looking forward to joining @WTMJSteve this morning for this week’s Friday Forum! Be sure to tune in at 11:08am CT here: https://t.co/1x07k2f2iy https://t.co/lLqIk0mYlM,2020-05-08 14:09:41
"Ike, 75 years ago: ""History's mightiest machine of conquest has been utterly destroyed…Throughout the United Nations, the rejoicing bells peal forth."" Today, it's worth taking a moment to remember the everyday Americans, who, along with our allies, held fast in the face of evil. https://t.co/XIfcn7pzg1",2020-05-08 13:35:44
"ICYMI: Australian MP Andrew Hastie joined me on this week’s NEW Look podcast to discuss CCP influence in Australia and more. 

Watch the full conversation here: https://t.co/rsQB4IZJaQ

Or listen (and subscribe) on Apple podcasts here: https://t.co/hMaIYr0n6c… https://t.co/l0nM9A3QwH",2020-05-07 23:05:51
"The Five Eyes Alliance in general, and the U.S.-Australia Alliance in particular, is the foundation of the Free World. We stand with our mates in Australia and denounce the CCP’s thinly-veiled threats. https://t.co/uNOEUUR6w1",2020-05-07 22:13:04
"Now more than ever, we need to develop a bipartisan, whole of society strategy to counter the CCP’s vision for a totalitarian future. We must not let standing up to the CCP become a partisan issue. https://t.co/4poqBUKn3H",2020-05-07 21:33:08
"Not for the first time, the CCP has issued thinly-disguised threats against our ally Australia. Earlier today, I wrote to Amb @A_Sinodinos alongside my colleagues @RepJoeCourtney, @SenatorRisch and @SenatorMenendez  to make clear the US always supports our mates. https://t.co/Y27OyRjQ03",2020-05-07 18:45:41
"The CCP’s response to the Coronavirus is just a taste of the dystopian future they seek. The need for a whole of society strategy to counter their totalitarianism is more urgent than ever, and I’m proud to join my colleagues on this task force. https://t.co/cb1padSoZ0",2020-05-07 15:06:30
Great joining @hughhewitt this morning to discuss why the Navy’s decision to award the FFG (X) contract to Marinette Marine is a big win for Wisconsin and the free world. Listen to our full conversation here in case you missed it: https://t.co/im90yAnNUi,2020-05-06 22:46:59
"Good news for Northeast Wisconsin. Contaminated sites like those in Green Bay &amp; Brillion not only hinder economic development, but damage our environment. These grants ensure we have the resources we need to clean up hazardous substances in our backyard. https://t.co/UE9TacJx3a",2020-05-06 22:28:58
"We shouldn’t neglect our primary care and medical needs due to the Coronavirus. While visits might look different, our doctors and nurses are still able to provide care. Contact your healthcare provider for information on how to schedule a safe visit. https://t.co/2uJHDqJtRb",2020-05-06 21:38:40
"Brown County has worked tirelessly to expand testing capacity and control the spread of Coronavirus. If you have one or more symptoms, you can schedule an appointment at either the Resch Center or Casa Alba community testing site. Register for a test here: https://t.co/PIs5f8KyCt",2020-05-06 18:38:24
"Great news. The Marine Rotational Force in Darwin plays a key role in enhancing defense cooperation, and I'm glad this year will be no different, even as we take additional precautions with the current crisis. https://t.co/70uoAYfJu7",2020-05-06 18:22:22
HAPPENING SOON: I’m joining the @DanODonnellShow at 10:35am CT to discuss the latest Coronavirus news. Be sure to tune in here: https://t.co/qsxwAmJ9oh,2020-05-06 15:28:44
Community Health Centers play a critical role in keeping Wisconsinites healthy during this pandemic. Today I joined @RepGrothman and the WI delegation in calling on Congressional leadership to ensure these centers receive adequate funding and aren’t left behind in this crisis. https://t.co/2D9dx9ZZhI,2020-05-06 00:48:16
