tweet,dates
"The challenge of government at every level right now is to resist the inclination to seize power and micromanage every aspect of our lives--and instead work to create the best conditions possible for the American spirit to thrive again. 
https://t.co/pb2Pg0VNzB",2020-05-10 17:28:17
"Want a perfect song for today? The first time I played this for the kids, they all got a little choked up. I still do. 
Happy Mother's Day to all!

https://t.co/uMFPvs5QbY",2020-05-10 15:30:24
The same core conservative principles that have guided this country since its founding will lead our nation and our economy back to greatness. I'm grateful @realDonaldTrump shares that vision &amp; I'm ready to get back to Capitol Hill to make it a reality. We have no time to waste! https://t.co/HIfL25kag8,2020-05-08 22:48:01
"I spent 5 hours at the @WhiteHouse with @realDonaldTrump discussing the urgency of reopening LA's economy. 47 states will be partially reopened by  Sunday &amp; we can't be left behind. If we are, the reality is that the long term health of all our citizens will suffer substantially.",2020-05-08 22:03:08
It was an honor to represent both Louisiana and @RepublicanStudy today at the White House. Thank you @realDonaldTrump for your outstanding leadership during this challenging time! https://t.co/ZMKmNWKIAT,2020-05-08 19:10:01
"We can protect lives &amp; livelihoods at the same time, &amp; we have to. LA has been hit hard by the coronavirus, but certain communities were more impacted than others. That's why we are urging @LouisianaGov to implement a region-by-region approach to reopening our state’s economy. https://t.co/o39yPqw5YD",2020-05-08 14:28:20
"The Justice Dept.'s decision to drop the case against @GenFlynn is welcome news, but Congress still has a responsibility to get answers about the FBI's conduct during its investigation. More on how @Jim_Jordan &amp; I are leading the charge for an explanation⬇️https://t.co/FzWHodBqIr",2020-05-07 23:13:34
"On this #NationalDayofPrayer, let's pray for those affected by the coronavirus, our health care providers &amp; first responders, our national &amp; local officials, and for our nation's recovery. Many people are suffering today, but God is still sovereign. We are one nation, under Him. https://t.co/oXij83TOua",2020-05-07 17:30:18
"America has issued 7 million tests for COVID-19, surpassing other nations by MILLIONS. Our nation has done a remarkable job increasing testing capacity, thanks to @realDonaldTrump’s leadership and the work of the Coronavirus Taskforce. https://t.co/gYqsmdpcKq",2020-05-06 22:43:21
"Honored to be recognized as one of the most conservative members of Congress by @ACUConservative. I'll always champion the causes of individual freedom, limited gov't, rule of law, peace through strength, fiscal responsibility, free markets, human dignity &amp; the sanctity of life.",2020-05-06 16:07:42
"My good friend and colleague, @RepRatcliffe, is imminently qualified to serve our nation as the Director of National Intelligence, and @realDonaldTrump has made an excellent choice. The Senate should confirm him quickly. https://t.co/I8yxCNniPG",2020-05-05 15:22:06
I'm honored. Thank you @FreedomWorks for all you do in the fight for free enterprise and limited government. https://t.co/GzRTTc9xMc,2020-05-05 14:16:35
"FBI Director Wray once stressed ""the importance of doing things the right way, by the book.” But recent revelations from LTG Michael Flynn's case show more questions remain regarding FBI misconduct &amp; the need for reform. See @Jim_Jordan’s &amp; my letter here: https://t.co/ijbsfskpZt",2020-05-05 13:42:58
We can and we must get the economy up and running again. It IS possible to protect both lives AND livelihoods if we apply due caution and common sense. Hear more about @RepublicanStudy's solutions-oriented proposal to accomplish that in my latest interview with @BreitbartNews https://t.co/amr00z8sMP,2020-05-04 13:16:05
"America has paid dearly during this pandemic, both in lives and livelihoods. If that is found to be a direct result of China’s actions, the Chinese government must be held accountable. Congress needs to be ready and have the backbone to enact @RepublicanStudy's recommendations. https://t.co/uCNV3vuRaG",2020-05-04 13:03:53
".@RepublicanStudy's Conservative Framework for Recovery, Accountability, and Prosperity will help make sure the United States is NEVER AGAIN reliant on China for access to medical treatments and supplies during a pandemic. More in my latest interview with @BreitbartNews ⬇️ https://t.co/DxjchzCZAj",2020-05-04 12:54:09
"As the U.S. economy begins to reopen, Congress should be doing everything in its power to help American workers get back on their feet and into jobs. That should start by enacting @RepublicanStudy's worker-centric solutions to eliminate unnecessary barriers to employment. https://t.co/00dvazHYwn",2020-05-04 12:41:14
"Tune out the MSM. @realDonaldTrump's innovative response to COVID-19 has set a new precedent for presidential leadership during a national health crisis. History will show that cutting red tape, private sector partnerships &amp; letting states lead was key to overcoming this pandemic https://t.co/K35EZ2xbSB",2020-05-04 12:33:42
