tweet,dates
"Happy #NationalNursesDay to all nurses. We are grateful for all that you are doing to help those struggling with COVID-19 and all you did before this pandemic and will do after it passes. Thanks for selflessly serving our families, friends, and neighbors!",2020-05-06 15:15:46
"Thank you to @CommerceGov for opening a 232 investigation of imported electrical steel products. As the last electrical steelmaker in the U.S., Butler, PA-based AK Steel is crucial to our national security.

My statement on @SecretaryRoss' announcement: 

https://t.co/mSiZJxFvfm",2020-05-04 21:08:13
Thank you @USACE_Buffalo for all the work you do to preserve Presque Isle! https://t.co/Ha7ll71T00,2020-04-24 13:45:52
A funding increase for the #PPP is finally on its way to @POTUS! This means more businesses will be able to continue paying workers as we pivot to responsibly re-opening the economy. Read my full statement here: https://t.co/WJkwpVx3eC,2020-04-23 22:28:19
"Western PA's @NexTier bank has loaned $97 million in #PaycheckProtectionProgram funds to local businesses during the COVID-19 pandemic.

Today, CEO Clem Rosenberger joined @TeamCavuto &amp; talked about how #PPP has saved jobs in our communities.

https://t.co/d5fiI1baIM",2020-04-22 23:36:09
"Most on @SocialSecurity won’t need to do anything to receive stimulus payments, but those w/ dependent children under 17 who didn't file taxes in 2018/2019 must use the IRS non-filer tool by tomorrow (🚨) to receive the $500 payment for each child.

https://t.co/XdOtyppmxn",2020-04-21 13:15:39
"Erie, Pennsylvania residents seeking to be tested for COVID-19 will soon have another option available to them. ⬇️ https://t.co/fUwmun2nis",2020-04-20 21:11:10
"Medical providers need financial help as they fight COVID-19. Medicare advance payments are an option, but their 10.25% interest rate is too high. My colleagues and I asked @CMSGov to lower these rates to expand access to this program. ⬇️

https://t.co/GH2hhu4wh0",2020-04-16 16:25:31
"Congress must pass a clean bill to increase funding for the Paycheck Program Program so businesses can continue paying employees and get through the COVID-19 pandemic.

@SpeakerPelosi and @SenSchumer: please put people over politics and help us get this done. https://t.co/nI7YGxE0xr",2020-04-16 15:25:54
"We must stop the unfair trade practices that threaten AK Steel, the last electrical steelmaker in North America.

Thank you to the bipartisan group of Representatives who joined me today in urging @POTUS @realDonaldTrump to take action. More info here: ➡️ https://t.co/yb6LvmKjtR",2020-04-15 17:59:47
"If you haven't filed taxes in recent years, you can still provide the necessary info to receive your stimulus payment. More information and a link to the portal available from the IRS. ⬇️ 

https://t.co/XdOtyppmxn",2020-04-13 13:45:08
"Veterans who collect pensions can &amp; should receive CARES Act stimulus checks automatically even if they don't file taxes. Today, @RepRonKind &amp; I urged @USTreasury to relieve these veterans of the filing burden by coordinating with the @DeptVetAffairs.

https://t.co/iTquiKWffa",2020-04-08 21:12:12
"Western PA doctors &amp; nurses are on our front line against the coronavirus and they are working around the clock. Thank you to @POTUS and @HHSGov for recognizing the needs of our health care heroes &amp; supplying them grant funding to keep up the fight.

https://t.co/Fxt4dtbk9Y",2020-04-08 19:21:49
"Heartwarming video. WWII veteran Lou plays a harmonica for his wife Jackie who is inside the Soldiers' and Sailors' Home in Erie, Pennsylvania.

My best to Lou and Jackie, and to all who are distant from loved ones because of this virus.

#InItTogether 🇺🇸 https://t.co/tBSZsUk8fO",2020-04-07 19:46:00
"#SmallBiz owners: are you seeking a loan under the Paycheck Protection Program? Participating lenders offering #PPPloans can be found by zip code on the @SBAgov website. ⬇️

#InItTogether

https://t.co/fgai1CVA5Y",2020-04-07 17:09:56
"“We have the best doctors, the best military leaders, and the best logistics professionals anywhere in the world, and we’re orchestrating a massive federal response unlike anything our country has ever seen or done.” - @POTUS @realDonaldTrump 

https://t.co/NNvbe5FsCn",2020-04-07 14:02:53
"#SmallBiz owners: the Paycheck Protection Program is up &amp; running.  A #PPPloan through SBA is federally guaranteed if used to cover payroll &amp; other business expenses during the coronavirus pandemic. More info available from @SBAgov ⬇️

https://t.co/4LTcyUsrqB",2020-04-03 14:15:50
"Social Security recipients: you do NOT have to file a tax return to receive a stimulus payment. Per @USTreasury, you will receive the money however you receive your benefits payments automatically.

Thank you @stevenmnuchin1 for simplifying this process for seniors. https://t.co/YhLZw7PIln",2020-04-02 14:07:31
"Today I received word that I tested positive for COVID-19. My symptoms are mild, and I will continue serving Pennsylvania's 16th District from home until I fully recover.

Read my full statement here: ⬇️

https://t.co/63g1zGHK9L",2020-03-27 20:21:06
"The CARES Act is headed to @POTUS @realDonaldTrump, and help is on the way to American workers, businesses, and health care heroes. 

https://t.co/DJszPO94TK",2020-03-27 17:41:01
"The Senate CARES bill helps workers during the coronavirus pandemic by temporarily increasing unemployment benefits &amp; expanding access to the self-employed &amp; independent contractors.

Check out the @WaysandMeansGOP's analysis for more info. ⬇️

https://t.co/VvHlL1fJJa",2020-03-26 17:24:49
"Rahm Emanuel once said “never allow a crisis to go to waste.”  Chuck Schumer &amp; Nancy Pelosi are following that advice as they obstruct relief for workers &amp; businesses hurt by coronavirus shutdowns. Why? To ram through a series of progressive pet projects!

https://t.co/QkWpWAIbr1",2020-03-24 13:22:38
"At 2:00 p.m., @GovernorTomWolf &amp; Secretary of Health Dr. Rachel Levine will update Pennsylvanians on efforts to combat the coronavirus.

WHAT: Update on COVID-19 via Virtual Press Conference
WHEN: Today, 2:00 PM
WHERE: Live Stream ⬇️

https://t.co/q5q3q69sci",2020-03-20 17:29:04
"Want to know how Congress and @POTUS  @realDonaldTrump are fighting the #coronavirus and supporting Americans during this public health emergency?  Check out the detailed summary by @WaysandMeansGOP at the link below. ⬇️

https://t.co/jocxWaKQNL",2020-03-19 16:00:33
"This week I urged @USTreasury &amp; @IRSNews to delay the 2020 tax filing deadline beyond April 15 as we confront #coronavirus.

The agency has done so in prior emergencies, most recently to bring relief to victims of hurricanes Harvey &amp; Irma.

#InItTogether

https://t.co/Hm7RDXj4Ob",2020-03-19 14:01:14
"""@POTUS and I are deeply proud that the American people have already pulled together in so many ways in response to this virus, just as we’ve always done during other challenging times in our history."" -@VP 

https://t.co/pRBfKQC85S",2020-03-18 16:35:58
"Great news for America's seniors! @POTUS @realDonaldTrump is expanding access to telehealth services through Medicare.

This will allow seniors to receive safer care as we combat #coronavirus. https://t.co/T20fGMvasL",2020-03-17 18:36:00
We all have a part to play to slow the spread of #coronavirus. Young and healthy people have a crucial role in getting us through this public health emergency. https://t.co/jba898KQfs,2020-03-17 16:44:15
"Together, we can slow the spread of coronavirus, ease the burden on our most vulnerable populations, and prevent our healthcare system from being overwhelmed by new cases.

Check out @POTUS @realDonaldTrump’s coronavirus guidelines for America. https://t.co/oPTtcYhL3Q",2020-03-16 20:37:16
"Thank you @POTUS @realDonaldTrump and @VP for bringing the goverernment and private industry together to fight the #coronavirus. 

Americans will defeat this threat. https://t.co/wqf9S2mUni",2020-03-13 20:06:52
"We will defeat the #coronavirus.  Most who contract this disease will have mild symptoms, but together we can slow the spread to the elderly &amp; those with underlying medical conditions who are at particular risk.

For key info, please visit my website. ⬇️

https://t.co/JpBcCAGHpj",2020-03-13 18:20:04
Right now ➡️ @WaysandMeansGOP receiving #COVID19 briefing from @SecAzar at the #Coronavirus Command Center at @HHSGov. https://t.co/BTLehznYTL,2020-03-10 14:59:45
Important information for Pennsylvanians receiving diagnostic testing for coronavirus. https://t.co/u4BPrpuG94,2020-03-09 21:47:13
"AK Steel employs thousands in Butler, PA &amp; Zanesville, OH, &amp; as the last U.S. electrical steelmaker, is crucial to national security.

@RepBalderson &amp; I asked @POTUS to protect AK Steel with expanded tariffs on grain-oriented electrical steel.

MORE➡️ https://t.co/rwEtiFNW6E",2020-03-09 18:27:42
"🚨JUST IN🚨

U.S. employers created another 273,000 jobs in February, wages up 3% from a year earlier, &amp; unemployment dropped back to 3.5%.

GOP tax reform &amp; @POTUS @realDonaldTrump’s deregulation continue to deliver results for American workers &amp; businesses!",2020-03-06 14:02:16
A strong country needs a strong steel industry! https://t.co/RlEGbAdbkE,2020-03-05 15:19:46
"America is the most prepared nation on earth to confront #coronavirus and the threat to the general public remains low. Congress must act to keep it that way.

Democrats should stop playing politics with funding that will help state &amp; local governments keep our communities safe. https://t.co/zLQcyyfPJS",2020-03-04 16:35:42
"Steps to prevent the spread of #coronavirus are similar to those we take to avoid colds, the flu, and other illnesses. https://t.co/J7dBtqOuJD https://t.co/MaCHp2xhpp",2020-03-04 16:25:45
"Investment and hope are pouring back into Erie, Pennsylvania because of opportunity zones. 

This program is a huge part of the Great American Comeback! https://t.co/6H8c68oPOD",2020-03-04 01:53:51
The @CDCgov website is a one stop shop for information and updates regarding the coronavirus. https://t.co/7k58S4Sq95,2020-03-02 19:54:54
"Congratulations to the @ButlerEagle for 150 years of service to the city and county of Butler, Pennsylvania! https://t.co/guOCGAlS4i",2020-03-02 17:25:26
"Communist regimes have inflicted misery and death on millions of people. This ideology has no redeeming quality and should be resolutely condemned. 

House Democrats just sided with Bernie Sanders and Fidel Castro over freedom-starved Cubans. https://t.co/GPXkybYsX3",2020-02-27 22:03:11
"Medicare for All is really Medicare for None. It would destroy the program seniors depend on &amp; limit healthcare options for everyone.

Americans want us to build on what works in our healthcare system &amp; fix what doesn't, not replace their plans &amp; providers with D.C. bureaucrats. https://t.co/G2vikxNwIR",2020-02-27 17:13:54
"Once again, Erie PA is leading the nation by focusing on revitalization through #OpportunityZones. I am proud of the collaboration by so many people that is bringing investment and transformation to our region! https://t.co/im8DFhBLSs",2020-02-26 22:08:34
"We won't be able to defend ourselves if we don't have strong steel, strong farms &amp; strong manufacturing. It's just a fact of life.

Thank you @POTUS @realDonaldTrump for fighting to re-balance our trade relationship with China. Phase One is a great start!

https://t.co/2VlIoL573t",2020-02-26 20:52:07
"The Phase One trade deal has new enforcement tools to allow the U.S. to quickly &amp; effectively act on behalf of American workers &amp; farmers if China violates the agreement or engages in other unfair practices.

This is a crucial first step in re-balancing our trade relationship!",2020-02-26 16:39:19
"Liberal state &amp; local governments are forcing faith-based adoption &amp; foster care organizations to choose between their religious convictions and shutting down. 

SCOTUS can protect religious liberty &amp; preserve these vital services for America’s most vulnerable children! https://t.co/9E5yBWMDYB",2020-02-24 17:51:11
"Proud of Greenville, Pa’s own @USAttyBrady for the work he's doing to fight sanctuary city policies and keep our communities safe! https://t.co/6k9VpMG1bn",2020-02-16 14:02:31
"The Tax Cuts &amp; Jobs Act lowered tax rates so job creators would return to America after decades of fleeing to more tax-friendly shores. That's exactly what is happening.

Democrats say these businesses don't pay enough in taxes, but they won't pay anything if they aren't here!",2020-02-11 18:08:21
