tweet,dates
"Happy #MilitarySpouseAppreciationDay! 

To our nation’s wonderful military spouses, thank you for service! Your sacrifices have not gone unnoticed.🇺🇸",2020-05-09 00:24:23
"This nurses week, I stand in solidarity with @NationalNurses and nurses across the country as they demand the protections they need to do their jobs safely during the #COVID19 pandemic. We need to get PPE to the frontlines of this pandemic immediately. #ProtectNurses",2020-05-08 23:35:01
"Today, I introduced my bipartisan, bicameral legislation w/ @VetAffairsDems @MarkTakano &amp; @DrPhilRoe to address personal financial losses that some military families have suffered as a result of the stop movement order issued in response to #COVID19.

https://t.co/nXHaAVzgTq",2020-05-08 22:09:24
"75 years ago, Allied forces accepted Nazi Germany's unconditional surrender – ending #WWII in Europe.

I’m incredibly thankful for the service and sacrifices of all the brave women and men who fought during this conflict. #VEDay75 https://t.co/ZMzyTqFxwH",2020-05-08 21:02:51
Reminder! Businesses that are slowly opening are for curbside pick-up ONLY. https://t.co/ExRTkgpZVd,2020-05-08 15:37:02
"As people stay home to avoid the spread of #COVID19, victims of domestic abuse and sexual assault are particularly at risk. 

Many are trapped in their homes with their abusers, away from the resources they need to be safe.
https://t.co/09eKe03WUf",2020-05-08 00:18:36
"Myself and nine of #CA49’s Mayors are calling for the next #COVID19 relief package to provide more federal funding to cities with fewer than 500,000 residents, like those in North County San Diego and South OC. 

The health of their citizens depends on it.
https://t.co/whflBcgbwY",2020-05-07 21:57:53
"Let’s keep being counted, California! There is still time to fill out your #2020Census. 

Go to https://t.co/jdZgMmsQQC, today! https://t.co/U5hFYrPptk",2020-05-07 20:59:22
"Our best chance to beat this pandemic is by following the guidance of our public health experts. 

The Administration deliberately suppressing this information is harmful and unwise.
https://t.co/sccNr0rlvS",2020-05-07 20:05:45
"Nurses in #CA49 and across our nation have shown us time and time again what true dedication, compassion, and hard work really mean. 

This #NationalNursesDay, we must honor our health care professionals by making sure they have the resources they need to save lives. https://t.co/DXx5o61Up4",2020-05-06 23:41:20
Virtual Town Hall with Rep. Mike Levin on COVID-19 https://t.co/FRrDSNxSG2,2020-05-06 20:58:56
STARTING SOON: Be sure to tune in! https://t.co/vbg3mNGE6f,2020-05-06 20:50:56
"Great meeting today with San Diego Mayor @Kevin_Faulconer to discuss how we can work together to support the city’s needs, combat the #COVID19 crisis, and end veteran homelessness.",2020-05-06 20:27:51
"We must protect the right to vote, even in a pandemic. No one should have to risk their health to make their voice heard. I’m working with my colleagues in Congress to provide funding to expand #VBM for all Americans and to make in-person voting a safe alternative. https://t.co/T2f0k6zlyG",2020-05-06 15:30:21
"In order to safely reopen our communities, it is imperative that we have an aggressive, detailed #COVID19 national testing strategy. 

We need it NOW. 👇 https://t.co/cwkiszqsk4",2020-05-06 13:46:49
"The tourism industry is a cornerstone of the economy in our region. 

This National Tourism &amp; Travel Week, I stand with the tourism businesses and workforce in #CA49 who have been particularly hard hit by #COVID19.

P.S. Tune in for CA #VirtualRoadTrip highlights later this week! https://t.co/r4RnuNfPQB",2020-05-05 20:09:14
"Congratulations to these outstanding @MiraCosta College students selected to receive the Jack Kent Cooke Undergraduate Transfer Scholarship! #CA49People

https://t.co/w1eKBAPFoI",2020-05-05 17:41:40
"Safely opening California's businesses while also keeping our workers protected is one of my top priorities.

We are working on ways to modify the statewide stay-at-home order &amp; we want to hear from YOU. 

Fill out the California Recovery Roadmap Survey👇
https://t.co/qB5b5X7bTr",2020-05-05 16:28:22
"Teachers across the country are stepping up to meet the challenge of virtual education. 

This #TeacherAppreciationWeek, we thank you for your continued dedication to our nation’s students. 

THANK YOU. https://t.co/NSTsP8Fufd",2020-05-05 14:55:40
"On this day 59 years ago, 13 #FreedomRiders got on a public bus to fight segregation and stand up for justice.

Today, we must honor their sacrifice by remembering our role in the fight for equality for all. https://t.co/jT5OpT1I1v",2020-05-04 21:56:36
"Join me this Wednesday at 2:00pm PT for a virtual town hall with Dr. Kelly Motadel, Chief Medical Officer of @vcchealthcare. 

Submit your questions ahead of time by emailing MLevin.Press@mail.house.gov https://t.co/XJnKrLV4tN",2020-05-04 20:16:43
"I understand how important our beaches are to the community in Orange County. I want to return to a semblance of normalcy as well, but we must also continue to follow public health guidance.",2020-05-03 19:37:06
"The #CARESAct prohibited the Education Department from garnishing wages of student loan borrowers, yet @BetsyDeVosED continues to do it anyway. That’s unacceptable. #COVID19 has caused significant hardship for students, &amp; this matter must be investigated.
https://t.co/57V7DRb4r5",2020-05-02 18:43:38
"Some servicemembers are stuck with 2 housing payments because of a stop movement order issued in the midst of this pandemic. 

It's appalling that servicemembers are incurring a huge financial cost simply because they are following orders, particularly during this crisis.",2020-05-01 23:02:15
"It’s not too late to respond to the #2020Census! 

Head to https://t.co/jdZgMmsQQC to fill yours out today! https://t.co/x3PP39IU2e",2020-05-01 22:10:53
"Today, we stand behind all the essential workers in our communities. 

I am with you in the fight for equal rights, pay, and safe working conditions now and always. #MayDay https://t.co/O8EzJqgtum",2020-05-01 20:44:27
"Congratulations to our #CA49 class of 2024 service academy appointment students! 🇺🇸
https://t.co/zn59Dbimcl",2020-05-01 19:49:56
"We are facing record unemployment numbers. 1 in 6 workers have filed for unemployment in the last six weeks. 

We need a bold economic relief package that puts workers first, NOW.
https://t.co/yl9kxLx4g3",2020-05-01 14:54:22
"Great news! The President signed the Student Veteran Coronavirus Response Act into law this week.

This is critical legislation to ensure our student veterans continue receiving their education benefits during this pandemic.

https://t.co/cxbtAZ8fKB https://t.co/34RO2aDsUY",2020-04-30 19:40:14
"Thanks for nominating me for the #IStayHomeFor Challenge, @RepAdamSchiff! It's so important to remember why we are doing this.

I nominate my friends-- @RepHuffman, @RepJoeNeguse, @RepMarkTakano, @RepDelBene, and @RepGarretGraves. https://t.co/AG2X1gneC9",2020-04-30 17:43:23
👏👏 👏 https://t.co/lcBLjqlu0J,2020-04-30 16:15:11
"Congratulations to these 5 incredible @UCSanDiego professors elected into the prestigious @theNASciences. 

A very high honor! #CA49People

https://t.co/tyrVUHgrf8",2020-04-30 14:14:36
Virtual Town Hall with Rep. Mike Levin on COVID-19 https://t.co/R2TE5UQMzf,2020-04-29 20:02:57
Happening NOW! Tune in ⬇ https://t.co/vDUiQwmU1X,2020-04-29 20:00:13
"The @IRSnews has updated the ""Where's My Payment"" tool

Those eligible can now:
👉See an estimated payment date
👉See which account or address payment will be sent to
👉Add new direct deposit information
https://t.co/tYOOr9cgQr",2020-04-29 15:44:18
