tweet,dates
Happy Mother’s Day to all the wonderful mamas out there and across #AL03! https://t.co/PwQvxHGFnx,2020-05-10 14:07:01
A real American hero and life well lived. #AL03 https://t.co/LOKB5quv0o,2020-05-10 13:48:14
On Matt &amp; Aunie Show this morning - tune in here: https://t.co/SFLUA9pkXg or listen at 99.5 if in the listening area. #AL03,2020-05-07 14:32:57
"Good morning, Montgomery County!  Please RETWEET &amp; encourage your friends to complete their census. It is so important to #AL03 because federal resources are determined based on census participation, including your congressional representation!  Go to:  https://t.co/lHeOb9bAvG https://t.co/sYgktsNz7J",2020-05-07 13:42:17
"On this National Day of Prayer, please pray for our country, our health and safety as we face these unprecedented times. 🙏 https://t.co/VNLR5S32j7",2020-05-07 13:17:15
"Good morning, Tallapoosa County! Please RETWEET this post &amp; encourage your friends to complete their census.
It's important because federal resources are determined based on census participation, including your congressional representation! Go to: https://t.co/lHeOb9bAvG https://t.co/Srkqwg2ZlI",2020-05-06 13:26:04
A huge thank you today and every day!   Our nurses across #AL03 and the country are heroes! https://t.co/CsOaEZpklq,2020-05-06 12:51:52
"👋 Hey Talladega County!  Please RETWEEt and encourage your neighbors to complete their census. It is vital because federal resources are determined based on census participation, including your congressional representation!  Go to:  https://t.co/lHeOb9bAvG #AL03 https://t.co/Ew1VcZGhLg",2020-05-05 15:47:10
"Good morning, St. Clair County!  Pls RETWEET &amp; encourage your friends to complete their census. It is so important for #AL03 because federal resources are determined based on census participation, including your congressional representation!  Go to:  https://t.co/lHeOb9bAvG https://t.co/ZPZqxWVFHI",2020-05-05 13:03:24
"Under @realDonaldTrump, HHS and FEMA have
-Awarded over $18.3 M in CARES Act funding to 17 health centers across AL
-Allocated more than $449.4 M in AL from the Provider Relief Fund
-Awarded over $3.4 M to support small rural hospitals &amp; promote tele-health in rural communities https://t.co/a7acgTDMxW",2020-05-04 18:23:55
May the 4th be with you!  #wareagle #AL03 https://t.co/URVmLwCnYH,2020-05-04 16:27:25
"Good morning, Russell County!  Please RETWEET and encourage your neighbors to complete their census. It is vital for #AL03 because federal resources are determined based on census participation, including your congressional representation!  Go to:  https://t.co/lHeOb9bAvG https://t.co/iAnNmokCZr",2020-05-04 12:57:58
"Hey Randolph County!  Please RETWEET and encourage your friends to complete their census. It is important for East Alabama because federal resources are determined based on census participation, including your congressional representation!  Go to:  https://t.co/lHeOb9tbne #AL03 https://t.co/6rJwPbhOaj",2020-05-01 21:47:21
"Under @realDonaldTrump, SBA and the Treasury Dept have:
-Issued over $4.8 B in loans to over 27K Alabama small businesses
-Approved 14,433 Economic Injury Disaster Loan (EIDL) advances totaling more than $59.1 M in the State of Alabama https://t.co/0J3yUZciea",2020-05-01 18:12:35
"Thank you, @TuskegeeUniv, for this donation!  #AL03

https://t.co/heV8txwm0i",2020-05-01 15:06:38
"Good Morning, Macon County!  Please RETWEET and encourage your neighbors to complete their census. It is vital for #AL03 because federal resources are determined based on census participation, including your congressional representation!  Go to:  https://t.co/lHeOb9bAvG https://t.co/CJNiRrHHbE",2020-05-01 11:06:17
"Good morning, Lee County!  Please RETWEET and encourage everyone you know to complete their census. It is important because federal resources are determined based on census participation, including your congressional representation!  Go to:  https://t.co/lHeOb9bAvG #AL03 https://t.co/pxCk0sFASy",2020-04-30 14:33:36
"👋 Hey Cleburne County!  Please RT &amp; encourage your friends to complete their census. It is crucial for East Alabama because federal resources are determined based on census participation, including your congressional representation!  Click here:  https://t.co/lHeOb9bAvG #AL03 https://t.co/K9sfWfswkF",2020-04-29 21:16:24
"Thank you, @realDonaldTrump,  for always standing up for American #Agriculture https://t.co/2Rqy1cblBv",2020-04-29 16:45:47
"Good morning to Clay County!  Please RT and encourage your neighbors to complete their census. It is so important because federal resources are determined based on census participation, including your congressional representation!  Click here:  https://t.co/lHeOb9bAvG #AL03 https://t.co/C3ZNMh6pNM",2020-04-29 14:06:11
"Hey Cherokee County!  Please RT &amp; encourage everyone you know to complete their census. It is vital to East Alabama because important federal resources are determined based on census participation, including your congressional representation! Click here:  https://t.co/lHeOb9bAvG https://t.co/gJZZYv1XTQ",2020-04-28 20:48:44
"Good morning, Chambers County – Please retweet to encourage folks in your community to complete their census. So many important federal resources are determined by census participation, including your congressional representation!  Go to https://t.co/JkgF6RgG9J https://t.co/V4ZoSw28CJ",2020-04-28 13:24:24
"Hey 👋 Calhoun County!  Please RETWEET and encourage your neighbors to complete their census. Important federal resources are determined by census participation, including your congressional representation! #AL03 https://t.co/h3yJidE11j",2020-04-27 22:21:08
"The SBA will resume accepting PPP loan applications  this morning at 10:30 a.m. EDT from approved lenders on behalf of any eligible borrower. 

https://t.co/cXWhC42ioN",2020-04-27 11:57:47
"VIDEO:  Rogers'on House Passage of HR 266 today. #AL03
https://t.co/8oEBBuTKLj",2020-04-23 23:06:06
"This action should’ve been taken over 2 wks ago when @realDonaldTrump requested more money for PPP, or it could’ve happened last wk when the program ran out of money. Instead, Speaker Pelosi wasted time with her ridiculous partisan political games.  #AL03
https://t.co/IK8FvCP3EZ",2020-04-23 23:01:19
