tweet,dates
Kent - you have great taste. 👍🏻 https://t.co/cHrGe1BpNp,2020-05-08 16:48:15
The actions taken by China’s government to cover-up the coronavirus and its spread aren’t just negligence – they are criminal in nature. China must be held accountable. Read more in this week's column: https://t.co/bX1nzL3ZLk,2020-05-08 13:23:22
"This #NationalDayofPrayer, I encourage all South Dakotans go offer a prayer of thanks for all the gifts the good Lord has given us. https://t.co/XWJ4dLSYhB",2020-05-07 18:06:56
"Great news - @POTUS @realDonaldTrump has asked the Department of Justice to investigate suspicious meat packer pricing activity. Thank you, @realDonaldTrump, for continuing to stand up for our farmers and ranchers!",2020-05-07 15:33:53
"Jean and I live in Fort Pierre, and we love spending time with our kids and grandkids on the Mighty Mo! What’s your favorite place to visit in South Dakota? #NTTW20 #HiFromSD #SpiritofTravel https://t.co/XvEMMYFsVq",2020-05-07 15:33:00
"China's cover-up of the COVID-19 crisis isn't just negligence, it's criminal in nature. We must hold China accountable. https://t.co/5ptGrIHfYi",2020-05-07 14:19:58
"We are eternally grateful for all our nurses, especially now as they are on the front lines fighting the COVID-19 pandemic. #NationalNursesDay https://t.co/0JwiZUN8az",2020-05-06 21:19:51
"I’m about to go live on a telephone townhall with @SenJohnThune and @RepDustyJohnson to discuss the ongoing COVID-19 crisis. If you would like to participate, all you need to do is call in or click on the link below.",2020-05-06 21:13:39
"In South Dakota, we raise more cattle than we have people, yet our consumers still can’t buy the meat they want at the store. Our ranchers are losing upwards of $400 per head on cattle while the big four packers are selling boxed beef at record prices. Something isn’t right here. https://t.co/4HeD9k5WUF",2020-05-06 02:22:33
"I will be hosting a live, toll-free telephone townhall with 
@SenJohnThune and @RepDustyJohnson tomorrow, May 6, at 4:20 p.m. CT/3:20 p.m. MT, to discuss the federal response to the ongoing COVID-19 crisis. https://t.co/wkRP0wAAtg",2020-05-05 23:51:36
"Kim, thank you for your years of public service. You have spent your career advocating for your fellow farmers and ranchers. Jean and I wish you all the best whatever your next chapter may be.
 https://t.co/9F9oLDTqJI",2020-05-05 23:37:09
I’ll be live on @KOTARadio today around 4:40pm MT. Tune in or listen online at https://t.co/PXoNrumjxf,2020-05-05 22:12:51
"I’m inviting South Dakota veterans to join me for a live, toll-free tele-townhall today at 3:00 p.m. CT/2:00 p.m. MT to discuss the ongoing COVID-19 pandemic and its impact on veterans. I’ll be joined by representatives from the @VASiouxFalls and the @VABlackHills. https://t.co/YkPTVd7QWC",2020-05-05 18:24:29
"Congratulations to 13 year old Madison Grimm from Burbank, South Dakota, on winning the National Junior Duck Stamp Art Contest. Her painting of a wood duck will now grace the 2020-2021 Junior Duck Stamp. https://t.co/qseS7AWR92",2020-05-05 17:37:57
"Today and every day, we thank South Dakota’s teachers who work tirelessly to educate our children. #NationalTeacherDay #TeacherAppreciationDay https://t.co/FjwXfUOpo4",2020-05-05 15:59:25
"Cattle producers are seeing record losses, while the price of beef at the store is at a record high. The four big packers stand in the middle, controlling the market. Status quo isn’t working for producers or consumers. The DOJ needs to act to protect the integrity of the market. https://t.co/lY894dbkyo",2020-05-04 22:36:42
"During #NTTW2020, we celebrate the communities, businesses &amp; people that make South Dakota a great place to visit &amp; and the best place to live! We look fwd to when we can safely travel around the state to support the hardworking folks in our tourism industry. #HiFromSD https://t.co/KCywH8sf0U",2020-05-04 21:18:35
"I’m inviting South Dakota veterans to join me in a live, toll-free tele-townhall on Tuesday, May 5, at 3:00 p.m. CT/2:00 p.m. MT to discuss the ongoing COVID-19 pandemic and its impact on veterans. I’ll be joined by representatives from the @VASiouxFalls and the @VABlackHills. https://t.co/45H66cQutP",2020-05-04 15:21:33
"There’s no better place to celebrate America’a birthday. We look forward to having you, @realDonaldTrump! https://t.co/gBiqIUe5HO",2020-05-01 18:02:51
"I’m about to go live on a telephone townhall to discuss the ongoing COVID-19 crisis, and I would like to invite you to join the call. If you would like to participate, all you need to do is call in or click on the link below.",2020-04-30 20:29:11
"I will be hosting a live, toll-free telephone townhall today at 3:50 p.m. CT/2:50 p.m. MT, to discuss the ongoing COVID-19 crisis, and I would like to invite you to join the call. If you would like to participate, all you need to do is call in or click on the link below. https://t.co/KIOuBNFZ29",2020-04-30 15:39:58
"This week, @SenKevinCramer and I sent a letter to @USTreasury Secretary Mnuchin, urging Treasury to distribute the $8B allocated for tribes in the CARES Act in a fair and equitable manner to the 12 Bureau of Indian Affairs Regions. Read our letter here: https://t.co/4j3TNZMq7l",2020-04-29 14:44:32
"Thanks @realdonaldtrump for deeming meat packing facilities as critical infrastructure. As I wrote in my letter to POTUS, our country will face food shortages unless the administration takes swift action to keep processing plants open during this crisis. https://t.co/coB9dLa445",2020-04-29 01:32:00
