tweet,dates
"This weekend is a great chance for everyone to complete their #Census2020 and help our district #GetCounted. The census determine how many important Federal resources are distributed, so it’s critical to get an accurate count. https://t.co/u4K8bEVQgl",2020-05-10 16:00:01
Happy Mother’s Day to all the mothers and mother figures out there. We are so grateful for your compassion and dedication. https://t.co/Mxp9jqkEsV,2020-05-10 13:00:00
"Don’t forget I’ve extended the deadline for my 2020 Congressional Art Competition to May 28 to comply with shelter at home and social distancing. Learn more at the link below and check out last year’s winner, Nalani Marlowe, from Kelseyville High School! https://t.co/57coPUopHI https://t.co/gZvokIm4dS",2020-05-09 19:00:00
Unfortunately there are bad actors out there trying to take advantage of this crisis to scam people out of their Economic Impact Payments. Be sure to remain vigilant and follow these tips from the IRS on how to protect you and your family. https://t.co/8hJGS3Tm8X,2020-05-09 16:00:00
"Proud to have @ShareOur endorse my bill, the FEED Act to help connect vulnerable families and children with healthy meals and support restaurants and small family farmers who need help right now.",2020-05-09 14:52:03
"On V-E Day we remember the leadership of General Eisenhower, who helped turn the tide of the war to victory. While we're not able to gather to dedicate his Memorial as planned today, let’s honor his legacy. Follow @IStillLikeIKE #VEDay75",2020-05-08 21:00:00
"Read this story from @washingtonpost to learn more about the FEED Act, bipartisan legislation I introduced this week with the help of @chefjoseandres to help get healthy meals to those who need them and support restaurants and small farmers who are struggling during this crisis. https://t.co/EDyOS9yUaR",2020-05-08 19:00:23
"Reminder that today is the last day to take my Coronavirus Relief Survey and share your opinions and concerns with me. Click the link, it only takes a few minutes and helps me better serve our district. https://t.co/zDcVhZornh",2020-05-08 17:30:00
Hosted another Small Business Webinar to help people in our district connect with the resources they need to support small businesses during the Coronavirus crisis. Thank you to all who joined. https://t.co/bS3H7OaEC7,2020-05-08 17:08:08
Thank you to all who tuned in and asked insightful questions during last night’s Virtual Town Hall. Appreciate the engaging discussion and looking forward to connecting with you next week. https://t.co/CA4f2LDB25,2020-05-08 16:45:45
"Don’t forget, tomorrow is the last day to take my Coronavirus Relief Survey and share your opinions and concerns about how our district is responding to the Coronavirus pandemic. Takes only a few minutes and helps my work serving our district! https://t.co/zDcVhZG2LR",2020-05-08 01:00:00
"Earlier this week, I launched an initiative to recognize graduating seniors and I am excited to announce we are opening this up to college seniors! Email your name, senior photo, hometown and college to Thompson.Graduate@mail.house.gov by May 31 and we will recognize you!",2020-05-07 22:30:00
"During #TeacherAppreciationWeek, we should all take a moment to thank the teachers in our lives who have given us so much. Especially during this crisis, their dedication to our next generation is extraordinary. RT to #ThankATeacher! https://t.co/eXNMG9g7th",2020-05-07 21:30:00
Local governments are the tip of the spear keeping us safe and delivering relief from #COVID19. They need Federal support. That’s why I joined @RepCarbajal in asking @CAgovernor Gavin Newsom to ensure small and mid-sized communities get a share of Federal aid allocated to CA. https://t.co/ws37RTRcRU,2020-05-07 20:30:00
