tweet,dates
"Today, we celebrate the 75th anniversary of the Nazi surrender to the Allied Forces. Throughout World War II, the Allied Forces fought to liberate a continent and protect the freedoms we hold most dear. May we always remember the sacrifices of the Greatest Generation. #VEDay75 https://t.co/ThPQmEHj9b",2020-05-08 18:55:34
.@GovHerbert—my team and I wish you a Happy Birthday! https://t.co/VfHdkhK0I4,2020-05-07 19:21:57
"If we want to get serious about opening up our economy while keeping Americans safe, we need clear, comprehensive, and real-time data about the spread and infection rates of #COVID19. This data is critical to guide re-opening plans, especially if a second wave is expected. https://t.co/hE8HA7or4q",2020-05-07 17:01:11
"Increased #COVID19 testing is required to help get our economy re-opened while keeping Americans safe. Live now at @GOPHELP, we’re hearing about our country’s efforts to create new technologies that are being designed to produce millions of COVID-19 tests. https://t.co/sLX989Q5hq",2020-05-07 14:21:32
"Thank you, @SecBernhardt, for working with local Garfield County officials to ensure Utahns can enjoy @BryceCanyonNPS again. To echo @GovHerbert, if you’re visiting Bryce Canyon, be sure to maintain social distancing and adhere to any guidance given by park officials. https://t.co/4PUNXNsizN",2020-05-06 21:35:42
China uses its influence in international organizations to pursue its predatory path on the world stage. My @SenateForeign colleagues and I are introducing legislation to bring more transparency and accountability to US investments in these organizations. https://t.co/g2nL5pKX1s,2020-05-06 20:50:11
"On #NationalNursesDay, I'd like to recognize Utah’s nurses for their efforts to help save lives not just in our state, but across the country. To all those who are working tirelessly to care for our sick—we couldn't get through this without you!
https://t.co/CfaWBAVfri",2020-05-06 17:28:02
"To the students graduating from colleges and universities across Utah—congratulations! While I know your final semester, and graduation, look a lot different than you imagined, you should be proud of this great accomplishment. To the class of 2020: Well done, and congratulations! https://t.co/DiC0cW7HqI",2020-05-05 16:53:50
"Every day, our essential workers risk their safety for the health and well-being of our country. I’m introducing #PatriotPay to help compensate the essential workers on the frontlines of #COVID19. These unsung patriots deserve our unwavering support. https://t.co/NCznX3VgVc",2020-05-04 22:26:06
"Live soon→ I’ll be on @KSLNewsRadio discussing my #PatriotPay proposal to help ensure America’s frontline workers are rewarded for keeping us safe, healthy, and fed during #COVID19. Tune in: https://t.co/MMS8trls0Q",2020-05-04 20:10:55
