tweet,dates
".@Ilhan errs again. Great Depression #unemployment #s under FDR’s #Socialist agenda were usually MUCH worse than 14.7%!
https://t.co/feO7yj54rK

1933:24.9%
1934:21.7%
1935:20.1%
1936:16.9%
1937:14.3%
1938:19%
1939:17.2%
1940:14.6%

WW2 got USA out of FDR’s “feel good failure”! https://t.co/C6CdUZJPJh",2020-05-10 03:33:13
"https://t.co/dYsIL77PR1

USA debt $23 TRILLION in Nov.; $24 TRILLION in April; $25 TRILLION now.

FY2020 deficit: $4+ Trillion, 3x worst deficit in history (absolute $).

Financial experts say this debt path is UNSUSTAINABLE.

Citizens: PLEASE send responsible people to Congress!",2020-05-08 20:53:55
"#SanFrancisco, by city ordinance, allows #IllegalAliens to LAWFULLY register to vote AND vote in LOCAL elections. It is unknown how many Illegal Aliens ILLEGALLY vote in FEDERAL elections (with a “wink wink, nod nod” from poll workers on Election Day). https://t.co/mc2LEqftkL",2020-05-08 17:31:59
".@Revelare: I agree 100%. I have publicly encouraged Gov. Ivey to kill her shutdown orders. She does not heed my advice. Notwithstanding our disagreement, Governor Ivey’s new #shutdown order is not as bad as her prior shutdown order. Not good. Just not as bad.

#ReOpenAmerica https://t.co/CsGuaJDog7",2020-05-08 16:41:24
"https://t.co/HytYVdeo0c

#SanFrancisco #Socialist #Democrats #Coronavirus response: give away FREE drugs &amp; alcohol. These “leaders” also let #IllegalAliens LAWFULLY vote in elections.

Elsewhere in America, you are jailed for returning to work.

Has the world turned upside down?",2020-05-08 16:28:47
".@newtgingrich gets it. I wish more in Washington, and more governors &amp; mayors, truly understood the very dangerous cascading effects of shutting down America’s economy.

Economic suicide = more poverty = higher death rates &amp; less enjoyable life. https://t.co/qmPpx0NA4e",2020-05-08 16:18:42
".@GovernorKayIvey slowly but surely cuts her #shutdown order damage. Hopefully it is not too little or too late for Alabamians who have lost jobs, many permanently.

Opening: Restaurants at 50% capacity, gyms, barbershops, hair salons, etc. Good.

#ReopenAlabama &amp; #ReOpenAmerica",2020-05-08 16:11:25
"https://t.co/uoj5ha1Fn8

#CNN #MSNBC &amp; other #FakeNews media won’t air this story. It’s not in #Socialist #Democrat campaign agenda.

#Covid_19 hasn’t made USA border security problem go away.

#IllegalAliens kill 2,000+ Americans each year... &amp; infect officers with #Coronavirus.",2020-05-08 15:04:36
"LSD: You are spot on! Govt should NOT take $$ from taxpayers to use to pick winners &amp; losers, or reward businesses with best lobbyists or most campaign cash that pays Congressmen &amp; Senators for the subsidies.

Let consumers choose who lives &amp; dies in marketplace. https://t.co/vyAi8dM5sT",2020-05-08 14:48:09
"https://t.co/Fvv1W9Q48r

.@KamalaHarris @SenSanders @EdMarkey ALL want feds to “give” EVERY PERSON in USA $2,000/month! Economic stupidity strikes Congress AGAIN!

Do they not understand you have to take it (higher taxes/more debt) from Americans FIRST before giving it away? Duh!",2020-05-08 14:31:44
"Bob. Why do I comment? Many reasons. 2 stand out:

#AndrewCuomo &amp; #NewYork have worst #coronavirus death rate in USA. Cuomo must be held accountable for deadly mismanagement.

Cuomo wants America bail outs for decades of NY financial mismanagement.

Truth reduces bailout risks. https://t.co/XzvoAbOQrM",2020-05-08 13:58:42
"14.7% #unemployment rate rivals Great Depression!

BUT, 14.7% is #FakeNews. It does NOT include JOBLESS millions paid NOT to work under CARES Act “Paycheck Protection Program”.

#Shutdowns = Economic Insanity = Poverty = Higher death rates.

#ReopenAlabama &amp; #ReopenAmericaNow",2020-05-08 13:44:17
