tweet,dates
"#HappyMothersDay to the incredible women who have helped shaped this generation &amp; to those who will inspire the future generation! 

You are real-life superheroes and I can’t thank you enough for the love &amp; light you bring into our lives. #FL02 https://t.co/A6uimFQds0",2020-05-10 16:13:37
"Despite everything, we still have a great deal to be thankful for. On this #NationalDayofPrayer, I believe it’s important to reflect on that. 

Please join me in praying for this country &amp; the brave individuals going above &amp; beyond to protect &amp; care for us all. #FL02 https://t.co/fjr9fH89Zv",2020-05-07 19:28:59
America deserves more than unilateral decisions made behind closed doors. This nonsense has gone on too long. It's time to get back to work! #FL02 https://t.co/112qSxLSwE,2020-05-06 22:08:49
"Yesterday, I had the privilege of visiting with Paul &amp; Claudia at Bricks &amp; Barley Pizza. Paul &amp; Claudia also own 5 small businesses in Bay County. 

Thank you both for taking the time to chat with me &amp; for your hospitality! 

#SmallBusiness #PPPloan #FL02 https://t.co/GvnzOMkp0J",2020-05-06 21:41:51
"Today marks the start of #NursesAppreciationWeek.
 
Nurses play a vital role in our health care system. If you see a nurse this week, please join me in thanking them for their selflessness, optimism, &amp; dedication. #FL02 https://t.co/gQtZLYpFXs",2020-05-06 15:56:46
"Yesterday, I had an outstanding chat with @alexsalvinews on @OANN about my experience with #COVID19 &amp; Phase One of Florida's reopening. 

You can watch the FULL interview here: https://t.co/cPev54FiUR #FL02 https://t.co/xNE3IfDvyh",2020-05-05 22:13:22
"THANK YOU to the incredible men &amp; women who protect our communities each &amp; every day! While many of us would instinctively run from danger, these courageous individuals run toward it. Their selfless sacrifice &amp; bravery are appreciated. #FL02 #InternationalFirefightersDay https://t.co/YrpWZ53HT7",2020-05-04 17:21:15
"If you are a Social Security recipient or a veteran, TOMORROW is the deadline to add dependents under age 17. If you have dependents who fit the criteria, please be sure to fill out a non-filers form. 

You can access the non-filers tool here: https://t.co/plh5n06ptZ #FL02",2020-05-04 12:45:17
"A reminder for #veterans - The deadline to fill out the Non-Filer form is May 5th (this Tuesday). 

You can access the form here: https://t.co/plh5n06ptZ #FL02 #veteranaffairs https://t.co/PlflFgUynZ",2020-05-02 01:38:17
"Earlier this week, Tyndall Elementary School hosted a parade for students and teachers. Our teachers play such a big role in the lives of our children. I'm sure being apart has been anything but easy. THANK YOU all for what you do! We appreciate you.  #SendTeachersLove https://t.co/GbnrhHHquj",2020-05-01 19:34:19
"More good news - The St. Marks National Wildlife Refuge has announced that the historic St. Marks Lighthouse beacon will once again shine over Apalachee Bay on May 2, 2020. #FL02 https://t.co/0ovBd4oVa3",2020-04-30 15:33:27
"GREAT NEWS! The U.S. Dept of Labor has announced an additional $3,333,334 for a Disaster Recovery National Dislocated Worker Grant in response to Hurricane Michael.
This has been a priority of mine &amp; I'm so glad we can continue to rebuild. #FL02
https://t.co/GfOSOWzgxT",2020-04-30 00:00:39
"Thank you, Brandon Aldridge, for your outstanding work! So many of you have stepped up to help during this outbreak, &amp; words cannot express how truly grateful I am. 

Together, we will get through this. #FL02 

https://t.co/MSvq8GMbTf",2020-04-29 15:11:52
"Where there's a will, there's a way! 

This is a great idea &amp; I'm glad to see a community come together to honor the Class of 2020. 

https://t.co/8ZiLeg8Yeb #FL02 #Classof2020",2020-04-28 17:28:36
"IMPORTANT - VA &amp; SSI recipients who do not file a tax return but have dependents need to quickly act by May 5 to add money to their automatic Economic Impact Payment. 
Click here for more info - 
https://t.co/dpON1GV8gE #FL02 #EconomicImpactPayment",2020-04-28 02:02:45
"We're doing things a little differently this year &amp; accepting submissions for the 2020 Congressional Art Competition via email. The deadline is May 25, 2020, at 11:59PM ET. 

Click here for more info - https://t.co/NMYj89iWqv https://t.co/YsZJcP55zX",2020-04-27 17:53:15
"Speaker Pelosi has created a “House Select Committee on the Coronavirus Crisis,” but there are already EIGHT mechanisms to oversee the govt’s response. 

Why does she want to add her own select committee? #FL02 #COVID02",2020-04-23 17:37:13
"Today, the House will vote on HR 266, the Paycheck Protection Program &amp; Health Care Enhancement Act. 

Here's what you need to know about the bill: https://t.co/MGXLkllzBQ #FL02 #COVID19 https://t.co/kwDMXSAph6",2020-04-23 16:21:53
"The IRS is hosting a webinar for Main Street businesses &amp; workers on Thursday, April 23rd at 2 pm ET/1 pm CT. Visit this page for more details - https://t.co/3TJluHPLpn #SmallBusinessRelief #COVID19 #FL02",2020-04-22 18:05:05
"Social media can be a helpful resource to reach out to those you currently can't be with in person. However, social media feeds also contain a lot of misinformation. @fema has created a helpful page to clear up rumors - https://t.co/Tf4Gj6ShAV #FL02 #COVID19",2020-04-21 21:36:18
"We want to hear from you! The Paycheck Protection Program funding has been tapped out &amp; there are still so many small businesses struggling. We must replenish this resource. Thank you, @SteveScalise for putting this together! https://t.co/jSKQDFbggk #FL02 #smallbusiness",2020-04-20 14:16:48
"When the #CARESAct was passed last month, I was optimistic that Congress was going to put Americans first during this difficult &amp; unprecedented time &amp; commit to saving our small businesses. (1/3)",2020-04-16 18:57:13
"The @WHO was negligent &amp; potentially complicit in the Chinese coverup of the #Coronavirus, which has so far claimed the lives of 26,000 Americans &amp; brought the world to the brink of economic meltdown.",2020-04-15 23:48:33
"Thanks, @FoxFriendsFirst, for having me on this morning! While the number of deaths has increased, the number of new cases is decreasing daily. This is a good sign, However, expanding access to testing will give us a better idea of how bad this actually is. #FL02 #COVID19 https://t.co/8SbujsAMxP",2020-04-14 19:39:07
"Time &amp; time again our lineworkers have come to our rescue. I remember how hard they worked to get this area back up &amp; running a couple of years ago. They definitely deserve our thanks &amp; recognition.

If you have the chance today, please #thankalineworker. #FL02 https://t.co/LbtU0eajPG",2020-04-13 19:27:32
"Wishing you and your family a happy and safe Easter! 

May we use this time to reflect on our many blessings, and let us all be reminded of the importance of hope even in the darkest of times. #FL02 #Easter2020 https://t.co/TtDJt2T3lt",2020-04-12 16:04:23
"The past couple of weeks have been difficult for teachers, parents, &amp; students. This story warms my heart! Thank you, teachers, for doing your best to adapt during these times! Our students are lucky to have you. #FL02 https://t.co/9DNdXfjHFo",2020-04-11 16:41:25
"Some much-needed relief for many in #FL02 -- FEMA has announced the suspension of rent payment for the months of April, May, and June for disaster survivors living in FEMA-purchased temporary housing units. Read more here: https://t.co/MJeElBKjjt #COVID19 #HurricaneMichael",2020-04-10 17:13:12
"More hometown heroes making a difference. Thank you, @GCSC1957, for your selflessness and service.

I'm so proud to represent this district! #FL02 https://t.co/3lIdtueIY9",2020-04-10 14:23:04
"Many of you might have seen the news about my recent trip to the hospital, but I believe you all should hear it from me, as well. I'm feeling great &amp; I cannot thank you enough for all of the support. Together, we can beat this. #FL02 #COVID19 https://t.co/YSDEVO5lR3",2020-04-09 23:10:52
"I couldn't be more proud of #FL02! We saw many go beyond the call of duty following Hurricane Michael, &amp; we're seeing more do the same as we continue to combat #COVID19. From the bottom of my heart, THANK YOU! https://t.co/n5GKuJuFuC",2020-04-09 15:01:56
The SBA North Florida District Office will host 2 informational calls TOMORROW to help #smallbusiness owners get a better understanding of the resources available to them as they recover from the #COVID19 pandemic. More info here: https://t.co/IvEv6l8uXQ #FL02,2020-04-08 21:09:22
ATTN Small Business Owners: Here’s an excellent resource that shows which nearby lenders are participating in the Small Business Paycheck Protection Program - https://t.co/if54uUdCJD… #FL02 #COVID19 #SmallBusinesses https://t.co/wWLnxf7vXa,2020-04-07 23:49:04
"When we passed the CARES Act last month, we included the Paycheck Protection Program. If you own a small business &amp; are in need of assistance, please visit https://t.co/VjFs1SAU0S.

You can find more resources on my website: https://t.co/48Ww7SJTU0 #Covid_19 #FL02 https://t.co/rU5O8K8mTK",2020-04-06 21:21:34
"Some good news to start your day - 

Yesterday, #FL posted the lowest number of new #COVID19 cases since 3/30. We still have thousands of cases, but this is progress. We must keep working together to continue this trend. https://t.co/NGamUaM6Ra #FL02",2020-04-06 15:33:16
"Spouses are the unsung heroes of the U.S. military. Our Gold Star Spouses have sacrificed the most. Today, we recognize them for their selflessness and service to this country. Thank you!  #FL02 #GoldStarSpousesDay https://t.co/A6RKB3Uf5D",2020-04-05 17:21:37
A member of my staff was kind enough to share this link she's been using to create her own face masks. I encourage you to get creative &amp; send us photos or directions for your own DIY mask. #FL02 #COVID19 #Coronavirus https://t.co/EECZe8Lk6I,2020-04-04 00:52:54
.@WeRRestaurants is offering $500 grants to restaurant employees on a first-come-first-served basis. Those that are eligible will be awarded a 1-time grant of $500 that will be disbursed directly to the applicant. Applications will open on April 2. https://t.co/my2E1Qc2mb #FL02,2020-04-02 19:27:45
"Here's another feel-good story to kickstart your day.

Thank you, Brig. Gen. Patrice Melancon, for going above &amp; beyond to not only serve this country but this community! It's heroes like you that make me so proud to serve #FL02. 

https://t.co/TnBUAEOl9F",2020-04-02 15:59:43
"Governor DeSantis has issued a stay-at-home order for the entire state of Florida. Here's what that means for us. #FL02 #COVID19 #coronavirus 

Note: You WILL be able to get essential groceries. Please refrain from panic buying. https://t.co/oGCpS2expH",2020-04-01 23:05:23
"Today is #CensusDay. The Census is critical to ensuring that every American has access to the resources they need. Filling it out takes just a quick couple of minutes. 

Please take a moment to fill out yours today - https://t.co/FAY2SPCojy #FL02 https://t.co/zWEYb49kfx",2020-04-01 20:36:38
"Today, the Treasury Department &amp; the IRS announced that distribution of economic impact payments will begin in the next 3 weeks.

Here's what you need to know: https://t.co/T8CHGXK2VM #FL02 #COVID19 #coronavirus",2020-04-01 01:59:39
"Today, we celebrate National Doctors' Day. These brave men &amp; women are currently on the frontlines as we battle the #COVID19. Now more than ever, these hardworking individuals deserve our recognition &amp; gratitude. 

To my fellow doctors, THANK YOU. #FL02 https://t.co/rCGci24a7m",2020-03-30 20:23:22
Thank you to all of those who bravely served in Vietnam! Your courage &amp; dedication to this country are truly invaluable. #FL02 https://t.co/9V9hNkA7ba,2020-03-29 21:25:31
"Today, I supported the CARES Act. This bill is not perfect &amp; has a very large price tag. However, a crisis of this magnitude requires Congress to act swiftly &amp; decisively. 

Watch my FULL floor speech below. #FL02 #COVID19 #coronavirus https://t.co/zdkWk1n82A",2020-03-27 18:23:39
The House has officially passed the CARES Act. Stay tuned for updates about how to file for small business loans &amp; more. #FL02 #COVID19 #Coronavirus https://t.co/stCWQYY0Sb,2020-03-27 18:01:47
The House is scheduled to vote on the CARES Act this week. Here's what you can expect from Phase III of the #COVID19 relief legislation. #FL02 #Coronavirus https://t.co/waWFP9Vdhw,2020-03-26 18:43:53
"""We’ve come to understand the virus in much more meaningful and deep ways... Will it go away like a seasonal flu? It will. Will it come back in the fall? Probably."" 

Check out my FULL interview with the @The_News_Herald here - https://t.co/Yz44SgPjSg #FL02 #Coronavirus",2020-03-26 15:26:51
"While many parents, guardians, &amp; students are adapting to at-home schooling, I wanted to share some outstanding resources from the National Archives. Their Education staff has created a helpful list in their Education Updates blog - https://t.co/IdwdQz6RUR #FL02 #Coronavirus",2020-03-25 15:34:19
"With everything going on, it’s important to me that I show appreciation for our farmers and ranchers, who work tirelessly to provide for this country and our district. THANK YOU! #AgDay20 #FL02 https://t.co/JFIKgWD0Pr",2020-03-25 02:04:50
Thank you so much for the kind words! We're working hard to make sure those living with Alzheimer's &amp; Dementia &amp; their caretakers are properly taken care of during this chaotic time. https://t.co/XK0m8je9wX,2020-03-24 18:01:46
"Let’s face it, our community has been through A LOT in the past couple of years. But no matter the obstacle, we always pull through. Much of that is because of our small businesses, who serve as a backbone for #FL02. 

Please consider finding ways to support them. https://t.co/174HASVml1",2020-03-20 01:12:56
"UPDATE - Yesterday, I spoke with the @USDOT's Federal Motor Carrier Safety Administration Acting Admin Jim Mullen to address gaps in the grocery supply chain given the increased demand for supplies in the #Coronavirus (COVID-19) outbreak. (1/3) #FL02",2020-03-19 19:19:48
Many testing locations throughout the country are seeing long lines &amp; wait times. Take a moment to check out this helpful resource from @HealthyFla to find out if you should get tested: https://t.co/hC5yeBX9SX #FL02 #coronavirus #COVID19,2020-03-18 16:45:33
