tweet,dates
"Women lead in frontline jobs that are powering communities during this crisis. Ahead of #MothersDay, we must focus on women and families, including ensuring women have workplace, health, and other critical protections. #FrontlineMoms",2020-05-08 15:22:16
"The coronavirus has become an undeniable danger to our democratic process. Unless we significantly increase election assistance, states will not have the resources to adequately prepare during the pandemic. Read my op-ed with @RepMikeQuigley here⤵️ https://t.co/QhKS08xna6",2020-05-08 14:58:11
"Small business owners across the Lower Hudson Valley are struggling to support their families and can’t access the relief that Congress allocated to meet their needs. Because of the mismanagement of funds, I wrote to SBA requesting an oversight briefing with @AppropsDems.",2020-05-08 14:06:21
"Today, in the midst of this pandemic, and every day nurses risk their lives to care for us. With steadfast bravery and compassion, they show us what it means to be a hero.
 
Happy #NationalNursesDay! https://t.co/1zm0Jo4TeZ",2020-05-06 20:12:48
"New Yorkers, you still have time to #getcovered. The special enrollment period for the NY State Health Plan Marketplace will remain open through June 15, 2020. Don’t wait ➡️ Click here to enroll: https://t.co/6YKCY9yLaT",2020-05-06 13:01:04
"The people educating our students are the backbone of our communities. Teachers &amp; school employees are going above &amp; beyond to continue education for students, provide emotional support in this difficult time &amp; meet families where they are by being resourceful, nimble &amp; creative.",2020-05-06 01:38:13
This is no time for partisan politics. I’m proud to stand with @rosadelauro against these games. https://t.co/X6CSVJXvKr,2020-05-02 17:09:11
"220 years ago, the Library of Congress opened its doors to educate the public. To celebrate this historic milestone, the library released the LOC Collections app, where you can find books, documents, photos, music, and more. https://t.co/OHAGP99GnJ",2020-05-01 21:52:54
"31 members of the NYPD have died from COVID-19.
 
357 federal prison staff and 620 inmates nationwide have tested positive for coronavirus.
 
Congress must do more. Read my op-ed with @RepJoseSerrano:
 
https://t.co/pKF608XKMW",2020-05-01 17:04:15
"HAPPENING NOW UNTIL 11:59 PM EST: SBA is exclusively accepting applications from small lenders with less than $1 billion in assets. I have been pushing for better &amp; fairer distribution of #PPP, &amp; it’s about time SBA is beginning to be responsive to these serious concerns.",2020-04-29 23:01:33
