tweet,dates
"Don’t miss #OperationKansasStrong this afternoon as @190arw honors healthcare workers, first responders and other workers on the frontlines of our state with a flyover! https://t.co/3dIytfCKMw",2020-05-19 14:27:13
"Great news for Kansas today with the announcement @thermofisher is building an additional site near their current location in Lenexa, KS to be used in an effort to scale production up to 8 million Viral Transport Media tubes per week.",2020-05-18 12:25:40
Thank you to all of the men and women in uniform serving our nation proudly both home and abroad. We honor your bravery and sacrifice this #ArmedForcesDay and every day. #SemperFi https://t.co/kgb8q7Mui8,2020-05-17 03:09:43
I discussed the Eisenhower Memorial with @JohnHenryWUSA from @wusa9. Watch here to learn about the memorial that will be dedicated to the great Dwight D. Eisenhower this September: https://t.co/hurFzcBNII,2020-05-15 18:44:08
"This week is #NationalPoliceWeek, a week to honor and commemorate all our law enforcement in Kansas and across the nation. Thank you to all who put their lives on the line every day to keep us safe. https://t.co/y3EFXgMGkE",2020-05-13 17:15:39
I appreciated the opportunity to hear from critical witnesses during the @GOPHELP hearing today and gain some clarity regarding next steps for our state and discuss the impacts of the virus on the agriculture community.,2020-05-12 19:53:23
"ICYMI: Read about the memorial to be dedicated to Dwight D. Eisenhower and what he meant to Kansas, the country and the world as Supreme Allied Commander during WWII. https://t.co/aqwVaE0a9R",2020-05-11 19:55:44
Eisenhower’s legacy is one to remember. Read about the memorial to be dedicated to Kansas’ favorite son this fall from @BryanLowry3 at the @kcstar here: https://t.co/DiNIUbTV3M,2020-05-10 17:24:26
Wishing a Happy #MothersDay to my wife Franki and to all of the other incredible and hardworking moms! https://t.co/dplnlbsoYz,2020-05-10 14:31:48
"""Marking the 75th anniversary of VE Day and paying tribute to Eisenhower's leadership,"" read my op-ed in @thehill. https://t.co/LDOD1ki4WG",2020-05-08 20:20:39
Watch below for a sneak peek into the memorial honoring Dwight D. Eisenhower that will be unveiled this fall. #VEDay75 @IStillLikeIke https://t.co/M9ggo5PNbD,2020-05-08 19:32:01
"President Eisenhower’s hometown of Abilene knows the important role Kansas’ favorite son played in ending WWII on this day 75 years ago. Read about the memorial to honor President, Supreme Allied Commander and Abilene native, Dwight D. Eisenhower here:
https://t.co/LJmdNqdmPY",2020-05-08 18:59:09
"This week, I introduced a resolution alongside @JerryMoran to honor Dwight D. Eisenhower and commemorate the 75th anniversary of #VEDay, the day we achieved victory in Europe during WWII.
https://t.co/wWUrozyhTN",2020-05-08 18:40:54
#VEDay75 @IStillLikeIke https://t.co/m1oSYtmJDD,2020-05-08 15:52:57
"Today, we celebrate the 75th anniversary of VE Day and remember the heroic leadership of Supreme Allied Commander and Kansas' favorite son, Dwight D. Eisenhower. @IStillLikeIke  #VEDay75 https://t.co/SmyKBQ0LVF",2020-05-08 13:16:23
"I took to the Senate floor today ahead of the 75th anniversary of Victory in Europe Day on May 8th, to commemorate this historic victory and honor the Supreme Commander of the Allied Expeditionary Force, Dwight D. Eisenhower.
https://t.co/f0KbkvtOPj https://t.co/AQrZAheWiD",2020-05-07 20:54:43
"I applaud @realDonaldTrump’s nomination of Toby Crouse to be U.S. Federal District Court Judge for the District of Kansas. He's a steady, humble &amp; talented lawyer with an impressive record of experience and I look forward to introducing a fellow K-Stater to my Senate colleagues.",2020-05-07 18:32:08
