tweet,dates
All our best wishes go with you! https://t.co/jf3QlzFBxj,2020-05-09 17:33:58
"Leahy, @SenSanders , @PeterWelch and @GovPhilScott  Announce Two Vermont Contracts For New Food Box Delivery Program https://t.co/n7AQyG29WO",2020-05-08 22:04:26
"Leahy, @SenSanders And @PeterWelch Welcome Additional Small-Business Support For Vermont Farmers, Encourage USDA To Do More For Vermont Agriculture https://t.co/qInhToRlqB",2020-05-08 16:27:23
"Today’s Justice Department action under AG Barr is a bald-faced insult to its name, legacy, and to the thousands of dedicated public servants still trying their best to serve the American public. Permitting such political interference is both extraordinary and dangerous. https://t.co/lFXnMuY3dm",2020-05-07 20:12:22
"Over the years our nation’s anti-corruption laws have been slowly gutted, largely by court decisions, and it couldn’t be coming at a worse time. Congress needs to reverse that trend.  Now.  I’m working to do just that.  https://t.co/bvZGsqaZGK",2020-05-07 17:58:41
I’m thankful for the nurses at the @WRJ_VAMC for helping out at the @VABostonHC in this time of need. #NationalNursesWeek #VermontProud https://t.co/zM2eD3qA3U,2020-05-06 23:44:26
"Nurses have always been a fundamental part of our lives, but now more than ever we need to appreciate our #nurses and the sacrifices they make. #NationalNursesWeek https://t.co/l4YujXLLqh",2020-05-06 22:43:51
"As the front line of a world health crisis, nursing professionals need our support now more than ever. Their skill and commitment make lifesaving differences every day. @VTNursesAssoc #ThankYouNurses #NationalNursesWeek https://t.co/69sw07OvZF",2020-05-06 21:33:26
"Happy #NursesDay2020, incl. to Marcelle, my favorite RN. Nurses have selflessly answered the call to action, risking their own lives to treat those who are suffering from #COVID19. Congress must continue to work to provide nurses with the resources necessary to combat coronavirus",2020-05-06 20:23:03
"Instead of focusing on the pandemic engulfing our nation, Republicans on the Sen. Judiciary Comm. this AM are acting like it’s business as usual &amp; pushing ahead with a divisive judicial nominee for a seat that ISN’T EVEN VACANT UNTIL SEPTEMBER: https://t.co/sB7qU4eMOJ",2020-05-06 15:55:05
"Leahy and @RepMcGovern Lead 80 Members Of Congress In Opposing Trump Reversal On #Landmines, And Pressing For Answers To Their Detailed Questions. https://t.co/3yj7UlmB4k",2020-05-06 15:27:53
Leahy And McGovern Lead Members Of Congress In Pressing Pompeo And Mnuchin To Confirm That U.S. Policy Does Not Preclude Shipments Of Medical Equipment To Cuba To Combat COVID-19 https://t.co/FwqRbzLYLE,2020-05-05 19:27:25
"At a time that Americans are divided on many things, one agency above all others is retains virtually universal approval: @USPS and our local post offices and letter carriers. https://t.co/ZolYRVR3X4",2020-05-04 20:12:03
"Now, more than ever, the public's right to know must be guarded vigilantly. While the pandemic poses unprecedented challenges, #FOIA is still the law of the land. Read our bipartisan letter here to @TheJusticeDept asking what it is doing to ensure compliance w/ FOIA: https://t.co/sCGwqgLc29",2020-05-04 16:47:17
"As the son of printers, I’ve long believed that protecting our First Amt rights is one of our most important duties. But these are not just rights enshrined in our Constitution, they’re universal, and freedom of expression, esp. #pressfreedom, is the cornerstone of any democracy.",2020-05-03 18:48:55
"As the current crisis continues, the mail carriers, handlers and postmasters of @USPS will continue to play an indispensable role in protecting our democracy by allowing Vermonters to vote by mail and complete the vital work of the Census.",2020-05-03 17:09:42
"Vermont is a rural state, and so many elderly and disabled people would be unable to have their medications delivered to their homes without @USPS.  USPS must continue to exist, to keep service standards to rural areas, costs that Americans can afford, and delivery everywhere.",2020-05-02 14:41:15
