tweet,dates
"Although I’m thankful for our #NC10 teachers every day, this year for #TeacherAppreciationWeek I want to recognize our teachers for their continued dedication to their students in these uncertain times. Please join me in thanking our incredible teachers! https://t.co/SctVpOvnez",2020-05-08 15:07:13
Please join me in thanking nurses here in #NC10 and all across the country for everything they do to keep our communities healthy. Join me in praying for our nurses on the frontlines of our battle against the #coronavirus this #NursesAppreciationWeek. https://t.co/C5fQbyaeDw,2020-05-06 19:09:27
"Although they are no longer open to check out books, the Lincoln County Public Library is using their 3D printers to produce face mask holders for local health care workers. Thank you for continuing to serve the #NC10 community in these uncertain times! https://t.co/zAMH9EGhlK",2020-05-05 18:35:48
"From businesses producing #PPE equipment to those providing meals in our communities, I am so thankful for the many ways #NC10 continues to support one another. Click here for some inspiring stories from across #NC as together we combat the #coronavirus → https://t.co/ODou2oTWjG",2020-05-05 15:35:51
"As #NC10 communities fight the spread of the #coronavirus &amp; blunt its impact on our economy, I’ve worked to keep everyone informed on what the federal government is doing to respond. A great way to stay updated is to read my weekly newsletter → https://t.co/pNqyiGTp1d",2020-05-04 20:39:41
Very cool to see Catawba County’s parade of flashing lights to thank healthcare workers during their shift change. Please join me in praying for all of our #NC10 first responders &amp; healthcare workers as they work to combat the coronavirus. https://t.co/2qj3Rxsqtg,2020-05-04 18:52:06
"During these uncertain times, we must do what we can to support #NC10 small businesses. It is why President @realDonaldTrump signed a bill to replenish the #PPP, a much-needed program that is saving millions of jobs all across the country. https://t.co/HD8XVFfUZI https://t.co/USsJ9v3vcL",2020-04-28 18:50:43
A Hickory furniture manufacturer is making washable cloth masks and mask covers to be donated to local first responders. I am thankful for the many ways the #NC10 community has continued to support one another in these uncertain times → https://t.co/vNxOvIUYbj,2020-04-27 15:32:49
"A Denver, #NC medical device company is using resources from national labs, associated companies, and even @NASCAR to help develop a ventilators to treat those with the #coronavirus. Very cool to see #NC10 innovation at work → https://t.co/nY1Ba3bOhl",2020-04-26 17:30:00
.@NorthGastonHigh graduate Matt White is leading the @NCState team producing face shields for #NC healthcare workers battling the #coronavirus. Thank you for your hard work Matt! You make all of us here in #NC10 proud. https://t.co/IvAnUq0ACl,2020-04-25 17:00:01
