tweet,dates
Happy Mother’s Day! https://t.co/qwkJb913q5,2020-05-10 12:49:08
"75 years ago today, the world celebrated the end of World War II in Europe. Today on #VEDay, we honor the Greatest Generation for their courage and sacrifice. #VEDay75 

Take the time this weekend to read some of these heroes’ stories here: https://t.co/OIxopkr108 https://t.co/9qj7VtJQqC",2020-05-08 16:45:08
"So far, over 4 million #SmallBusinesses have been approved for the #PaycheckProtectionProgram. In #Michigan, 103,811 businesses have received #PPP funding – that’s over 103,000 businesses that have been saved by this program. https://t.co/AgO3QibSXY",2020-05-07 21:08:44
"Thank you to all nurses on this #NationalNursesDay. Now, more than ever, we are thankful for those working on the frontlines to keep our loved ones safe. Thank you for selflessly serving your communities in the fight against COVID-19 – we are all eternally grateful. https://t.co/o1VyGPLyv8",2020-05-06 20:39:13
"Some good news regarding a vaccine for COVID-19 and plans for manufacturing them in #Michigan!
https://t.co/IpTxOXlL4W",2020-05-05 18:59:10
"On this #TeacherAppreciationWeek, we are reminded of the critical role teachers play in our children’s lives. Teachers have adapted and in many cases gone above and beyond so their students can continue to learn. Join me in taking a moment to thank a teacher today! 📚📝 https://t.co/Jm31Ga9PZ6",2020-05-05 14:56:40
"The #PaycheckProtectionProgram from the @SBAgov has been a lifeline to our nation’s #SmallBusinesses, and has helped 43,000 small businesses in #Michigan alone. https://t.co/HGmHtTYXk9",2020-05-02 13:55:44
.@realDonaldTrump and his Administration have coordinated public-private partnerships that have supplied #Michigan with Personal Protective Equipment for our frontline healthcare workers. https://t.co/kjZQqMiYUp,2020-05-01 20:53:54
"#ICYMI: Listen to my full interview with Gordon Deal for my views on reopening, small business loans, and better preparing for future pandemics. ⬇️ 📻 https://t.co/JFL0tpMmdb",2020-04-29 19:05:41
"#ICYMI: I co-authored an op-ed with the President of the Michigan Chamber of Commerce (@rstudley) on the steps #Michigan should take to safely return to work while taking precautions to limit the spread of coronavirus. 

Click below to read ⬇️
https://t.co/iMzwwm7dpd",2020-04-28 13:35:56
"ICYMI: This morning I spoke with Frank Beckmann on @wjrradio about reopening Michigan. 
 
Listen to the full interview below ⬇️ 📻 https://t.co/nhnIvPYndb",2020-04-27 20:46:12
"🚨 Today, @SBAgov resumes accepting #PaycheckProtectionProgram loan applications. 
 
If you are a small business owner, you should contact your lender early &amp; often about these newly available funds. For more information on the #PPP visit the site below.⬇️
https://t.co/08jkaGpE4t",2020-04-27 14:27:23
"Finding consolidated information on legislative responses &amp; resources related to the #coronavirus can be challenging. That's why I'm pleased to share my Coronavirus Legislation &amp; Resource Guide for the folks in Michigan's 10th district. Download below ⬇️
https://t.co/OiOK2AhH5M",2020-04-24 15:42:43
"🚨 The House just passed the Paycheck Protection Program and Health Care Enhancement Act. This bill provides:

✔️Additional emergency support for small businesses
✔️Critical relief and resources to hospitals
✔️Investments to help expand testing",2020-04-23 22:24:52
"I just spoke in support of legislation that provides additional funds for the #PPP &amp; our nation’s hospitals. While I'm pleased there is finally action on these crucial items, there's still much to do. Congress must resume its work in DC to uphold our Constitutional duties. https://t.co/1JYwCeiXDW",2020-04-23 17:29:34
"This morning I spoke with Frank Beckmann on @wjrradio to discuss the phase four coronavirus relief bill passed by the Senate last night and now pending in the House, as well as the steps we need to take to reopen our economy.

Listen to the full interview below ⬇️📻 https://t.co/72gCNoY3F6",2020-04-22 16:45:34
"Today on #YomHaShoah, or Holocaust Remembrance Day, we remember and honor the six million Jews and millions others senselessly murdered by the Nazis.

We must continue to combat anti-Semitism, discrimination, and hatred in all forms. #NeverAgain https://t.co/K8xNcZtQI2",2020-04-21 19:56:14
Today I tried to seek recognition on the floor of the House of Representatives to find out how Members of Congress can get back to doing the important work of serving the American people during these challenging times. https://t.co/ColFiZlWdh,2020-04-21 16:53:34
"Before the #PaycheckProtectionProgram ran out of funding, $10B in loans went to #SmallBusinesses in Michigan – totaling over 43,000 loans. That's 43,000 businesses that #PPP is supporting in our state alone, but the need is still great. Congress must act to replenish this program",2020-04-17 20:40:22
"The #PaycheckProtectionProgram has just run out of funding. 
 
Unfortunately, additional funds for this lifeline program were blocked last week by @SenateDems. Congress must pass additional funding for this program ASAP -#SmallBusinesses cannot afford to wait for political games.",2020-04-16 15:29:40
"While businesses struggle and workers lose their jobs the Dems play politics. 

Who says it isn't business as usual in DC? #PaycheckProtectionProgram

https://t.co/qKxNql7gYL",2020-04-15 19:06:38
"🚨Update: The IRS launched a “Get My Payment” tool for folks to check their Economic Impact Payment status, confirm whether they want direct deposit or a paper check, &amp; update their direct deposit information if the IRS does not have it yet.
 
Visit⬇️
https://t.co/n5hdhaG1Gu",2020-04-15 15:19:26
"The #PaycheckProtectionProgram is a critical lifeline for small businesses nationwide. In just over a week, over 1 million loans have been approved - totaling $247 billion so far. 

That’s 1 million small businesses who are able to stay afloat and keep their employees. https://t.co/dubU8X3NUz",2020-04-14 20:32:50
"Last night, I and other members of the Michigan Delegation sent a letter to Governor Whitmer expressing our serious concern with her most recent update to the “Stay Home, Stay Safe” order (Executive Order 2020-42).",2020-04-14 15:06:05
