tweet,dates
"Jorge, Tomeu, Jose, Alirio Jose, Jose Luis and Gustavo have not held their loved ones in 901 days.

They have been denied the right to return home to the USA for over two years.

We will #NeverGiveUp until the #Citgo6 are reunited with their families on American soil! https://t.co/TZAGW698Mc",2020-05-10 17:02:43
"Mom, you’ve made sure everyday of my life is filled with unbounded, pure love, from my 1st Christmas at Fort Lewis to kicking back in Seabrook or just chillin’ with Dad. I LOVE YOU TO THE MOON AND BACK!!! Happy Mother’s Day!!! ❤️😍🥰🤩 #HappyMotherDay https://t.co/VPNIbUuT6b",2020-05-10 14:02:07
"It’s #HurricanePreparednessWeek! Be sure to:

✅ Gather supplies

✅ Trim your trees

✅ Prepare a Go Kit in case you need to evacuate

Learn more by reading this guide from @fema: https://t.co/cefdhAqEB0",2020-05-09 19:27:31
"900 days.
 
It’s more than a number; it’s a measure of the time the #Citgo6 have been separated from their families, kept from their loved ones and wrongfully imprisoned.
 
Today I am sharing their stories. #NeverGiveUp (thread) https://t.co/YIGZENZPzX",2020-05-09 15:33:25
ALL AWESOME 2020 GRADUATES!!! #KatyISD #SeniorStrong #KatyStrong https://t.co/0p34q0LYsl,2020-05-09 13:09:07
"Our #TX22 #CongressionalArtCompetition winner is…
 
🥁🥁🥁
 
Kaylee Yu from Stephen F. Austin High School with her piece “Leap of Faith!”
 
Congratulations, Kaylee, on this accomplishment and great job to all of our outstanding student-artists! https://t.co/vEdz9gVvgo",2020-05-08 21:50:59
"Heading home late yesterday from the ⁦@PearlandChamber⁩ &amp; The #ThreeMasketeers, I drove into #SiennaPlantation. Our neighbors living there clearly get it during the #COVID19 pandemic - OUR HEROES WEAR SCRUBS!!!  #NationalNursesWeek https://t.co/Q9xM8zpOWU",2020-05-08 19:25:52
Congratulations to @CHS_Rangers freshman Anisha Parsan on winning the @GeneticsSociety's 2020 DNA Essay Contest! Her hard work placed her on the top of all submissions from 39 states and 28 non-U.S. countries. You have made #TX22 very proud!,2020-05-08 17:31:03
"#OTD 75 years ago, victory in Europe was declared when Nazi Germany unconditionally surrendered to the Allied Powers. We will never forget the bravery &amp; sacrifice made by all of our veterans who fought to preserve democracy &amp; defeat the Nazi regime. #VEDay https://t.co/VCkrnfiS90 https://t.co/hhix964UBz",2020-05-08 16:01:54
"We will #NeverGiveUp until the #Citgo6 are reunited with their families in the USA.

The wrongful imprisonment of Jorge, Tomeu, Jose Luis, Alirio Jose, Gustavo and Jose continues into its 899th day today as the world responds to #COVID19.

These men must be released! https://t.co/TuS14CsHiF",2020-05-08 15:31:03
