tweet,dates
"Wishing a Happy Mother’s Day to my amazing mom, my wife Jodi, and all the moms out there! Thank you for all that you do!

For many, this Mothers Day might look a little different. My thoughts are with the moms who are spending this special day away from their families this year. https://t.co/mHoyF1vUDp",2020-05-10 15:26:46
"Happy Fishing Opener, Minnesota! I’m happy to be out on the lake with my family and I hope you all have a chance to do the same! https://t.co/XaJnYjyWAZ",2020-05-09 21:09:13
"On the 75th anniversary of VE Day, let us remember the members of the Greatest Generation who bravely answered the call to serve and fought to protect the many freedoms we enjoy today. https://t.co/5Y4NgK3vpz",2020-05-08 21:31:22
"On this National Day of Prayer, I join with Minnesotans and many across this nation in praying for those who are struggling amid the COVID-19 crisis. We will get through this together. https://t.co/tnZogugM43",2020-05-07 17:47:18
I'm incredibly excited to hear that @3M is partnering with the @DeptofDefense to boost N95 mask production! This is a great step towards ensuring a sustainable supply chain and resupplying the Strategic National Stockpile. More info here: https://t.co/2OpA7YWHMr,2020-05-06 23:10:37
Thanks for having me! Small businesses are the backbone of our economy so I will continue to help them weather this pandemic. https://t.co/FHUdmoz9w0,2020-05-06 21:54:04
"Today, I joined @EPAAWheeler in announcing a Brownfield Grant worth $600,000 for #MN08. This is exciting news as these funds will be used to transform contaminated sites into community assets, helping to unleash the economic engine. Learn more: https://t.co/W3KHcPqAxX",2020-05-06 16:10:53
COVID-19 has exposed the dangers of reliance on China for the medications so many Americans depend on. That’s why I introduced legislation to require federal agencies to purchase drugs made in the USA &amp; reduce dependence on nations like China. Learn more: https://t.co/JJiabM5s87 https://t.co/dqemNzupZ6,2020-05-05 17:09:00
"May is National Teacher Appreciation Month, so I want to thank all of Minnesota's educators for their unwavering commitment to our students, especially now during a time of remote teaching and virtual learning. https://t.co/q9HzuwkXPW",2020-05-04 17:25:48
"Millions of Minnesotans have already received their Economic Impact Payments from the IRS to help mitigate the effects of COVID-19.
 
To check on the status of your payment or for more information, please visit https://t.co/A398UaslRd. https://t.co/Neb0Q5s2Tg",2020-05-01 15:45:09
"Thanks to the 4,200 Minnesotans who joined my telephone town hall last night! I appreciated the productive discussion.

If you missed this event, you can click the following link to sign up for the next one: https://t.co/rA4xkMvdAH https://t.co/U2CqcLxm88",2020-04-30 18:58:13
"Now more than ever, it is important to focus on those among us dealing with stress, depression, and other mental health challenges. If you or someone you know needs help, please use one of the numbers below or visit https://t.co/WbI0DwNhFz for more resources. https://t.co/M9IVQHX5PC",2020-04-30 14:18:06
"COVID-19 has had a devastating effect on Minnesota workers. DOL has awarded over $9.8 million in emergency unemployment grants to help mitigate those effects.
 
In addition, I voted for legislation that expanded paid sick, family, and medical leave during this crisis. https://t.co/MsQichQbYa",2020-04-29 18:21:20
"The PPP has served as a critical lifeline for small businesses. The first round of PPP funding allocated $9 billion to over 46,000 small businesses in Minnesota.
 
Last week, I voted to replenish the PPP with $310 billion in funding. For more info visit https://t.co/bqaG9wqsUs. https://t.co/mPmo7SFMH0",2020-04-28 21:19:46
"COVID-19 has highlighted the deficiency of our supply chain &amp; made clear the need to domestically source critical minerals used in every sector. Today, I introduced a bill to help build a supply chain that is mined and manufactured in America!

Learn more: https://t.co/25ueaxzz72 https://t.co/0o5cD8xFjf",2020-04-28 17:57:35
"Following the passage of the CARES Act, the Department of Housing and Urban Development allocated over $53 million to assist Minnesota’s vulnerable families. https://t.co/28TDUO7esF",2020-04-27 18:26:19
"After Congress renewed its funding last week, the Paycheck Protection Program resumes TODAY. Small businesses needing assistance during the COVID-19 pandemic should immediately speak to their lender. Find out more: https://t.co/Z40KZQj9Uu",2020-04-27 14:37:41
"As we continue to fight the coronavirus, I believe we must also begin to responsibly map a path back to economic prosperity.

Check out my full op-ed here: https://t.co/PTMQCHt1Aa",2020-04-26 23:45:22
"As the federal gov’t continues to mitigate the impact of COVID-19, it is vital that MN’s tribal communities are not ignored or left behind.

Fortunately, this Administration has allocated $2.1 billion to help address the needs of MN’s indigenous people during this difficult time. https://t.co/O4t1GE0GyH",2020-04-26 18:34:00
"Yesterday, the House passed the Paycheck Protection and Health Care Enhancement Act to help more of Minnesota's small business owners and employees weather the COVID-19 pandemic. Check out my full statement: https://t.co/xv4Le0sBK8",2020-04-24 15:47:06
"Community health centers provide care to our Nation’s most vulnerable individuals and families.
 
HHS is delivering over $12 million for 16 health centers across Minnesota, including over $1.5 million for 3 located in the 8th District. https://t.co/Gu2meOgF0L",2020-04-24 15:27:24
"The Trump Admin. is coordinating Project Air Bridge to help get critical medical supplies into the US from other countries. 

We must do all we can to protect those on the front lines of the COVID-19 fight and these deliveries are vital for bolstering supply chains in Minnesota. https://t.co/OnJxrstU1y",2020-04-23 19:43:32
"The House will vote later today approve more funding for the Paycheck Protection Program. This program has played a critical role in protecting American paychecks amid COVID-19, so I'm looking forward to voting for legislation that will replenish the PPP with $310 billion. https://t.co/Zsm6RnrujC",2020-04-23 17:56:03
"I just stopped by the Family Pathways Food Shelf in Sandstone to drop off some food. 

As the COVID-19 pandemic continues, the demand on our local food banks has increased. If you are able, I encourage you to look up a food bank near you and donate as soon as possible! https://t.co/ckOp4f0Kvi",2020-04-22 23:55:47
"Happy Earth Day everyone! 

This Earth Day, I took the time to plant a tree in my backyard. As a cosponsor of the Trillion Trees Act, legislation that sets the goal of planting one trillion trees by 2050, I encourage you to do the same! https://t.co/1JVaLBBE5i",2020-04-22 22:11:01
"This is great news, especially on #NationalParkWeek! Here’s how Minnesotans can still hike and enjoy Voyageurs NPS in #MN08: https://t.co/Pi1rlj6SdE https://t.co/ryuXK2uc8U",2020-04-22 18:57:34
"April is Child Abuse Prevention Month, and across the nation, states are reporting fewer calls to child abuse hotlines. Sadly, this is not because there are fewer cases of abuse, but because fewer cases are being reported amid the COVID-19 pandemic.",2020-04-22 15:19:51
How can a Member of Congress gloat about American workers losing their jobs? This is unconscionable. The hardworking folks in this key industry provide power for our hospitals &amp; fuel for trucks delivering greatly needed food and supplies. They deserve our support &amp; gratitude! https://t.co/nOzO9tYcn9,2020-04-21 22:18:07
"As our nation fights COVID-19, Americans in the transportation sector continue to deliver food, medical equipment, and essential supplies. #Tothosewhokeepusmoving, we thank you from the bottom of our hearts for your hard work and dedication during this difficult time. https://t.co/uz0YFFa9DJ",2020-04-21 17:35:58
"Attention residents of #MN08: While many SS recipients will receive direct payments with no additional steps, those with dependents under 17 will need to fill out an additional step to claim the $500 per qualifying child. The deadline is this Wednesday: https://t.co/grGyvUOuEn",2020-04-20 23:12:48
